,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day6-18_x,WeaCon-night18-n6_x
1970-03-01,,1009.3,,,,1.4,7.9,-3.0,65,28,4.2,10.0,337.5,15.4,337.5,9.8,,3.0,,
1970-03-02,,1020.0,,,,-1.1,4.8,-7.6,44,25,3.8,9.8,315.0,15.5,315.0,9.8,,,,
1970-03-03,,1021.3,,,,0.9,6.1,-6.0,67,36,2.0,5.3,90.0,8.5,90.0,1.3,0.0,,,
1970-03-04,,1006.4,15.0,-999.0,0.5,0.5,1.8,-2.2,94,61,1.7,4.2,337.5,8.8,337.5,,5.0,,,
1970-03-05,,1009.1,,,,-1.4,3.8,-7.4,51,35,2.9,8.0,315.0,13.8,315.0,10.1,,5.0,,
1970-03-06,,1008.2,0.0,0.0,0.0,-0.6,6.7,-9.5,54,29,3.7,8.7,315.0,15.2,292.5,10.1,0.0,1.0,,
1970-03-07,,1005.4,,,,1.5,6.5,-4.5,44,28,6.5,11.3,292.5,23.5,292.5,10.1,,,,
1970-03-08,,1010.6,,,,3.0,9.6,-3.2,45,32,3.5,7.0,292.5,11.3,292.5,8.0,,,,
1970-03-09,,1017.8,,,,3.8,13.0,-7.7,63,27,2.2,6.8,202.5,12.2,202.5,9.1,,,,
1970-03-10,,1013.2,3.0,2.0,0.5,6.8,14.0,-0.9,72,45,3.6,8.0,112.5,11.2,112.5,6.3,,,,
1970-03-11,,1011.6,1.0,0.5,0.5,4.6,9.8,0.3,74,51,4.0,7.0,90.0,10.1,90.0,3.0,0.0,,,
1970-03-12,,1015.7,0.0,0.0,0.0,2.0,5.9,-0.2,66,40,2.3,3.7,45.0,6.6,45.0,,,,,
1970-03-13,,1019.2,,,,1.6,5.5,-2.1,56,31,1.4,4.0,135.0,6.2,135.0,1.3,,,,
1970-03-14,,1021.0,,,,2.8,9.4,-2.2,53,26,2.4,5.7,112.5,8.0,90.0,7.0,,,,
1970-03-15,,1024.3,0.0,0.5,0.0,2.2,6.5,-4.1,72,52,2.1,5.0,112.5,7.2,112.5,0.2,,,,
1970-03-16,,994.5,14.5,4.5,1.0,6.9,12.8,1.9,86,34,2.4,10.0,315.0,17.9,292.5,0.9,,,,
1970-03-17,,1003.4,,,,3.7,8.9,-1.6,39,27,5.7,11.7,315.0,19.1,315.0,10.4,,,,
1970-03-18,,1013.1,,,,2.6,8.8,-2.3,38,22,4.2,7.8,270.0,12.9,270.0,9.6,,,,
1970-03-19,,1013.4,,,,1.8,8.6,-3.9,47,20,4.7,10.0,315.0,18.1,315.0,9.7,,,,
1970-03-20,,1020.1,,,,1.2,7.3,-8.3,38,15,4.1,8.0,292.5,15.2,292.5,8.6,,,,
1970-03-21,,1022.9,,,,1.8,8.6,-5.5,35,17,3.6,8.0,292.5,16.7,292.5,10.2,,,,
1970-03-22,,1019.0,0.0,0.0,0.0,2.3,7.4,-5.4,60,33,1.6,3.7,157.5,6.7,135.0,2.8,,,,
1970-03-23,,1016.7,,,,2.3,9.2,-4.2,55,20,2.5,5.7,337.5,9.9,337.5,9.1,,,,
1970-03-24,,1015.6,,,,4.4,12.5,-4.2,45,25,3.1,7.7,315.0,14.0,292.5,9.4,,,,
1970-03-25,,1015.6,,,,2.7,11.4,-6.2,57,29,2.4,6.3,22.5,11.1,45.0,6.9,,,,
1970-03-26,,1020.6,,,,3.0,12.8,-7.2,61,27,2.0,5.7,135.0,8.5,135.0,10.6,,,,
1970-03-27,,1021.9,,,,5.3,14.9,-3.9,76,40,2.0,4.8,157.5,7.9,157.5,3.8,,,,
1970-03-28,,1018.7,,,,6.9,16.3,-0.9,84,34,1.9,5.2,67.5,7.3,67.5,2.2,,,,
1970-03-29,,1021.0,,,,9.1,17.1,-1.3,67,38,2.4,5.7,157.5,8.9,157.5,6.4,,,,
1970-03-30,,1014.9,,,,9.9,15.8,4.1,70,39,2.0,5.7,180.0,8.6,180.0,0.7,,,,
1970-03-31,,1016.6,,,,6.1,15.3,-1.3,51,17,2.3,5.3,157.5,8.6,157.5,9.0,,,,
