,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day6-18_x,WeaCon-night18-n6_x
1967-08-01,,1006.2,4.1,4.1,2.4,25.6,29.6,22.5,87,69,-999.0,5.3,90.0,8.0,90.0,4.3,,,,
1967-08-02,,1004.6,,,,24.6,28.5,22.2,87,74,-999.0,5.3,90.0,7.4,90.0,4.4,,,,
1967-08-03,,1002.9,,,,25.3,31.1,20.7,78,57,1.9,4.8,112.5,5.8,112.5,11.3,,,,
1967-08-04,,1003.3,,,,26.6,33.5,20.1,80,52,1.3,2.8,180.0,4.9,180.0,8.3,,,,
1967-08-05,,1002.9,0.0,0.0,0.0,26.9,33.3,22.2,88,59,1.4,5.7,0.0,8.2,0.0,3.5,,,,
1967-08-06,,1002.7,6.6,3.1,3.1,25.9,30.5,22.9,89,67,2.3,4.8,112.5,7.7,67.5,4.6,,,,
1967-08-07,,1004.4,,,,24.0,30.3,18.8,76,43,2.7,7.0,90.0,9.3,90.0,11.6,,,,
1967-08-08,,1007.6,,,,23.6,31.1,16.7,77,50,1.6,4.7,135.0,7.0,135.0,10.7,,,,
1967-08-09,,1008.6,,,,24.9,31.7,17.7,83,59,2.1,4.8,180.0,9.7,180.0,10.1,,,,
1967-08-10,,1006.8,,,,26.1,32.7,19.3,81,50,2.3,5.0,202.5,8.4,202.5,9.5,,,,
1967-08-11,,1002.8,,,,27.8,35.4,20.8,79,45,2.1,4.3,112.5,6.7,247.5,9.1,,,,
1967-08-12,,1004.3,2.2,2.1,0.4,27.5,32.9,22.9,80,60,2.3,7.8,337.5,11.4,337.5,9.9,,,,
1967-08-13,,1006.7,,,,26.8,31.7,22.6,89,68,2.3,4.8,90.0,7.4,67.5,3.3,,,,
1967-08-14,,1010.1,,,,27.2,31.0,24.6,87,69,2.3,4.5,67.5,6.2,67.5,2.8,,,,
1967-08-15,,1013.0,16.8,10.5,3.1,26.2,31.5,23.6,86,66,2.3,5.3,90.0,6.7,90.0,4.5,,,,
1967-08-16,,1010.2,,,,27.5,33.3,23.1,84,56,1.6,3.8,202.5,6.1,202.5,6.8,,,,
1967-08-17,,1007.7,0.2,0.2,0.2,27.6,33.9,23.7,83,59,2.0,5.7,67.5,8.5,90.0,5.6,,,,
1967-08-18,,1011.6,,,,25.4,30.3,22.9,80,57,2.8,5.2,112.5,8.1,112.5,10.4,,,,
1967-08-19,,1015.4,,,,24.2,30.3,17.8,80,45,2.3,6.0,90.0,7.4,112.5,10.5,,,,
1967-08-20,,1014.1,,,,24.3,28.5,18.6,84,67,1.2,3.2,292.5,4.1,292.5,3.6,,,,
1967-08-21,,1012.0,6.9,3.5,1.8,24.0,25.5,22.7,93,85,0.9,2.8,135.0,6.6,135.0,,,,,
1967-08-22,,1005.4,4.8,5.3,3.4,26.4,30.7,23.1,91,71,1.4,3.8,180.0,7.1,202.5,1.2,,,,
1967-08-23,,1002.5,0.1,0.1,0.1,26.4,29.9,23.9,87,68,-999.0,6.7,202.5,12.8,202.5,1.4,,,,
1967-08-24,,1003.2,,,,27.9,34.9,22.0,79,47,1.7,3.5,202.5,6.1,202.5,10.6,,,,
1967-08-25,,1008.2,,,,27.4,33.8,22.6,83,52,1.8,3.8,112.5,6.6,90.0,8.4,,,,
1967-08-26,,1010.7,5.3,4.7,4.5,26.4,31.0,23.2,91,75,2.4,6.0,90.0,7.8,90.0,3.6,,,,
1967-08-27,,1006.5,3.2,0.9,0.3,25.8,31.0,22.4,91,69,1.7,4.3,225.0,6.5,315.0,5.0,,,,
1967-08-28,,1003.8,,,,25.9,29.6,23.1,89,76,1.7,3.0,90.0,4.6,90.0,0.7,,,,
1967-08-29,,1001.1,0.2,0.2,0.2,26.9,32.5,22.6,87,51,1.9,6.2,67.5,9.2,67.5,3.0,,,,
1967-08-30,,1009.9,,,,22.9,27.0,20.4,83,62,4.2,7.5,67.5,10.3,90.0,5.1,,,,
1967-08-31,,1010.7,,,,21.9,25.4,19.5,83,64,1.8,4.0,112.5,5.6,112.5,0.2,,,,
