,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day830-17_x,xxx
1992-12-01,1017.8,1021.6,10.0,2.5,1.0,10.6,14.4,6.8,89,71,1.5,2.8,315.0,4.8,315.0,,,,,
1992-12-02,1013.5,1017.2,0.5,1.0,0.5,10.2,16.6,1.5,82,46,1.6,3.0,157.5,4.6,247.5,2.8,,,,
1992-12-03,1023.6,1027.5,,,,7.2,10.9,1.0,63,42,1.7,3.1,22.5,5.4,0.0,3.7,,,,
1992-12-04,1025.5,1029.3,,,,6.2,12.8,1.0,78,48,1.7,4.1,90.0,7.3,90.0,8.5,,,,
1992-12-05,1031.7,1035.5,,,,4.3,10.7,-1.8,73,41,1.5,2.7,135.0,4.6,45.0,8.7,,,,
1992-12-06,1031.2,1035.1,,,,5.6,10.7,-1.2,79,63,1.8,2.8,315.0,4.9,315.0,2.2,,,,
1992-12-07,1022.2,1025.9,3.0,9.0,1.0,9.2,13.2,4.7,89,77,1.1,2.4,270.0,3.7,225.0,0.3,,,,
1992-12-08,1005.7,1009.4,54.5,38.0,15.5,13.8,18.3,6.8,93,71,2.6,8.7,225.0,19.3,225.0,2.0,,,,
1992-12-09,1014.1,1017.9,,,,9.8,15.5,4.2,78,46,1.8,3.4,90.0,6.3,90.0,3.5,,,,
1992-12-10,1008.7,1012.3,0.5,0.5,0.5,12.2,16.4,5.6,80,67,1.9,3.9,180.0,7.0,202.5,4.2,,,,
1992-12-11,998.5,1002.1,0.0,0.0,0.0,9.8,15.6,3.3,62,26,4.0,8.7,270.0,16.9,292.5,8.3,,,,
1992-12-12,1010.9,1014.7,,,,4.4,12.1,-2.3,64,31,2.0,6.0,292.5,10.7,270.0,8.9,,,,
1992-12-13,1005.5,1009.3,,,,5.8,13.1,-1.0,73,44,2.8,8.8,202.5,17.3,202.5,8.5,,,,
1992-12-14,1004.4,1008.2,,,,6.7,13.3,-1.4,54,27,2.8,7.9,270.0,14.6,292.5,6.5,,,,
1992-12-15,1014.0,1017.8,,,,1.5,8.6,-4.1,61,27,2.4,7.0,292.5,13.3,292.5,9.1,,,,
1992-12-16,1016.0,1019.8,,,,1.3,9.4,-4.4,69,31,1.4,2.5,45.0,4.1,292.5,6.2,,,,
1992-12-17,1013.0,1016.9,,,,2.6,10.4,-4.0,72,38,1.5,2.9,45.0,5.9,45.0,7.0,,,,
1992-12-18,1013.7,1017.5,,,,3.5,10.9,-3.5,62,31,3.5,8.0,315.0,15.6,315.0,7.8,,,,
1992-12-19,1022.0,1025.8,,,,1.9,8.5,-3.1,61,35,1.7,4.6,315.0,9.8,292.5,8.9,,,,
1992-12-20,1018.2,1022.0,,,,3.6,10.3,-3.1,73,49,1.5,2.5,270.0,4.8,270.0,4.9,,,,
1992-12-21,1014.3,1018.1,0.0,0.0,0.0,6.6,11.7,0.5,73,55,2.4,5.0,112.5,9.4,90.0,6.6,,,,
1992-12-22,1011.2,1015.0,,,,7.7,14.1,1.9,74,51,1.7,4.0,315.0,7.0,337.5,8.2,,,,
1992-12-23,1002.2,1005.9,,,,5.3,12.8,-1.1,68,39,2.0,5.6,315.0,11.0,315.0,2.7,,,,
1992-12-24,1004.5,1008.3,,,,1.8,9.0,-2.9,55,31,2.6,6.5,315.0,13.5,292.5,7.9,,,,
1992-12-25,1016.9,1020.7,,,,2.0,8.2,-4.9,48,29,3.9,8.3,270.0,16.6,270.0,8.9,,,,
1992-12-26,1018.9,1022.8,,,,1.5,9.7,-4.8,67,39,1.6,3.5,292.5,6.2,292.5,8.8,,,,
1992-12-27,1013.2,1017.0,0.0,0.0,0.0,3.3,12.7,-4.5,73,41,1.2,2.7,225.0,5.4,225.0,7.2,,,,
1992-12-28,1005.3,1009.0,0.0,0.0,0.0,6.4,12.0,-0.3,79,51,1.9,5.6,45.0,11.2,45.0,1.7,,,,
1992-12-29,1011.4,1015.1,0.0,0.0,0.0,7.4,11.6,0.3,77,63,2.0,3.6,112.5,6.7,90.0,4.1,,,,
1992-12-30,1014.1,1017.9,,,,3.5,11.8,-2.2,83,39,1.2,3.4,135.0,6.2,135.0,7.0,,,,
1992-12-31,1015.3,1019.1,,,,3.3,12.1,-2.8,62,24,2.8,8.7,292.5,20.8,292.5,9.0,,,,
