,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
1963-08-31 01:00:00,,,0.5,,,,,,,,,,,,,
1963-08-31 02:00:00,,,1.9,,,,,,,,,,,,,
1963-08-31 03:00:00,,,0.3,,,,,,,,,,,,,
1963-08-31 04:00:00,,,0.0,,,,,,,,,,,,,
1963-08-31 05:00:00,,,0.1,,,,,,,,,,,,,
1963-08-31 06:00:00,,,,,,,,,,,,,,,,
1963-08-31 07:00:00,,,0.1,,,,,,,,,,,,,
1963-08-31 08:00:00,,,0.0,,,,,,,,,,,,,
1963-08-31 09:00:00,,,0.1,,,,,,,,,,,,,
1963-08-31 10:00:00,,,0.0,,,,,,,,,,,,,
1963-08-31 11:00:00,,,0.1,,,,,,,,,,,,,
1963-08-31 12:00:00,,,0.1,,,,,,,,,,,,,
1963-08-31 13:00:00,,,1.5,,,,,,,,,,,,,
1963-08-31 14:00:00,,,2.3,,,,,,,,,,,,,
1963-08-31 15:00:00,,,21.2,,,,,,,,,,,,,
1963-08-31 16:00:00,,,19.1,,,,,,,,,,,,,
1963-08-31 17:00:00,,,3.0,,,,,,,,,,,,,
1963-08-31 18:00:00,,,0.0,,,,,,,,,,,,,
1963-08-31 19:00:00,,,,,,,,,,,,,,,,
1963-08-31 20:00:00,,,,,,,,,,,,,,,,
1963-08-31 21:00:00,,,,,,,,,,,,,,,,
1963-08-31 22:00:00,,,,,,,,,,,,,,,,
1963-08-31 23:00:00,,,,,,,,,,,,,,,,
1963-09-01 00:00:00,,,,,,,,,,,,,,,,
