date,CAR_ersst
1950-01-01,
1950-02-01,-0.27
1950-03-01,-0.36
1950-04-01,-0.38
1950-05-01,-0.41
1950-06-01,-0.43
1950-07-01,-0.46
1950-08-01,-0.45
1950-09-01,-0.38
1950-10-01,-0.34
1950-11-01,-0.35
1950-12-01,-0.4
1951-01-01,-0.46
1951-02-01,-0.49
1951-03-01,-0.5
1951-04-01,-0.42
1951-05-01,-0.28
1951-06-01,-0.11
1951-07-01,0.02
1951-08-01,0.06
1951-09-01,0.08
1951-10-01,0.05
1951-11-01,0.09
1951-12-01,0.15
1952-01-01,0.19
1952-02-01,0.18
1952-03-01,0.16
1952-04-01,0.19
1952-05-01,0.18
1952-06-01,0.16
1952-07-01,0.12
1952-08-01,0.11
1952-09-01,0.08
1952-10-01,0.06
1952-11-01,-0.02
1952-12-01,-0.12
1953-01-01,-0.15
1953-02-01,-0.08
1953-03-01,0.02
1953-04-01,0.11
1953-05-01,0.1
1953-06-01,0.06
1953-07-01,0.01
1953-08-01,0.01
1953-09-01,-0.0
1953-10-01,0.01
1953-11-01,0.05
1953-12-01,0.09
1954-01-01,0.13
1954-02-01,0.14
1954-03-01,0.16
1954-04-01,0.09
1954-05-01,-0.01
1954-06-01,-0.12
1954-07-01,-0.16
1954-08-01,-0.17
1954-09-01,-0.22
1954-10-01,-0.25
1954-11-01,-0.3
1954-12-01,-0.27
1955-01-01,-0.3
1955-02-01,-0.26
1955-03-01,-0.26
1955-04-01,-0.13
1955-05-01,-0.09
1955-06-01,-0.04
1955-07-01,-0.08
1955-08-01,-0.08
1955-09-01,-0.05
1955-10-01,-0.0
1955-11-01,0.04
1955-12-01,0.0
1956-01-01,-0.06
1956-02-01,-0.09
1956-03-01,-0.07
1956-04-01,-0.06
1956-05-01,-0.17
1956-06-01,-0.23
1956-07-01,-0.25
1956-08-01,-0.2
1956-09-01,-0.17
1956-10-01,-0.13
1956-11-01,-0.08
1956-12-01,-0.03
1957-01-01,0.03
1957-02-01,0.06
1957-03-01,0.07
1957-04-01,0.06
1957-05-01,0.09
1957-06-01,0.11
1957-07-01,0.13
1957-08-01,0.17
1957-09-01,0.19
1957-10-01,0.16
1957-11-01,0.11
1957-12-01,0.05
1958-01-01,0.0
1958-02-01,0.08
1958-03-01,0.19
1958-04-01,0.31
1958-05-01,0.31
1958-06-01,0.3
1958-07-01,0.35
1958-08-01,0.39
1958-09-01,0.39
1958-10-01,0.36
1958-11-01,0.38
1958-12-01,0.36
1959-01-01,0.37
1959-02-01,0.3
