date,aao
1979-01-01,0.209
1979-02-01,0.356
1979-03-01,0.899
1979-04-01,0.678
1979-05-01,0.724
1979-06-01,1.7
1979-07-01,2.412
1979-08-01,0.546
1979-09-01,0.629
1979-10-01,0.16
1979-11-01,-0.423
1979-12-01,-0.951
1980-01-01,-0.447
1980-02-01,-0.98
1980-03-01,-1.424
1980-04-01,-2.068
1980-05-01,-0.479
1980-06-01,0.286
1980-07-01,-1.944
1980-08-01,-0.997
1980-09-01,-1.701
1980-10-01,0.577
1980-11-01,-2.013
1980-12-01,-0.356
1981-01-01,0.231
1981-02-01,0.039
1981-03-01,-0.966
1981-04-01,-1.462
1981-05-01,-0.344
1981-06-01,0.352
1981-07-01,-0.986
1981-08-01,-2.118
1981-09-01,-1.509
1981-10-01,-0.26
1981-11-01,0.626
1981-12-01,1.116
1982-01-01,-0.554
1982-02-01,0.277
1982-03-01,1.603
1982-04-01,1.531
1982-05-01,0.118
1982-06-01,0.92
1982-07-01,-0.415
1982-08-01,0.779
1982-09-01,1.58
1982-10-01,-0.702
1982-11-01,-0.849
1982-12-01,-1.934
1983-01-01,-1.34
1983-02-01,-1.081
1983-03-01,0.166
1983-04-01,0.149
1983-05-01,-0.437
1983-06-01,-0.263
1983-07-01,1.114
1983-08-01,0.792
1983-09-01,-0.696
1983-10-01,1.193
1983-11-01,0.727
1983-12-01,0.475
1984-01-01,-1.098
1984-02-01,-0.544
1984-03-01,0.251
1984-04-01,-0.204
1984-05-01,-1.237
1984-06-01,0.426
1984-07-01,0.89
1984-08-01,-0.548
1984-09-01,0.327
1984-10-01,-0.009
1984-11-01,-0.024
1984-12-01,-1.476
1985-01-01,-0.795
1985-02-01,0.215
1985-03-01,-0.134
1985-04-01,0.031
1985-05-01,-0.066
1985-06-01,-0.331
1985-07-01,1.914
1985-08-01,0.595
1985-09-01,1.507
1985-10-01,0.471
1985-11-01,1.085
1985-12-01,1.24
1986-01-01,0.158
1986-02-01,-1.588
1986-03-01,-0.77
1986-04-01,-0.087
1986-05-01,-1.847
1986-06-01,-0.619
1986-07-01,0.089
1986-08-01,-0.157
1986-09-01,0.849
1986-10-01,0.306
1986-11-01,-0.222
1986-12-01,0.886
1987-01-01,-0.95
1987-02-01,-0.708
1987-03-01,-0.133
1987-04-01,-0.286
1987-05-01,0.039
1987-06-01,-0.702
1987-07-01,-1.531
1987-08-01,1.485
1987-09-01,-0.799
1987-10-01,0.455
1987-11-01,1.06
1987-12-01,0.272
1988-01-01,-0.612
1988-02-01,0.551
1988-03-01,-0.219
1988-04-01,-0.077
1988-05-01,-0.749
1988-06-01,-1.055
1988-07-01,0.576
1988-08-01,-0.745
1988-09-01,-0.689
1988-10-01,-2.314
1988-11-01,0.401
1988-12-01,1.074
1989-01-01,0.618
1989-02-01,0.849
1989-03-01,0.632
1989-04-01,-0.573
1989-05-01,2.691
1989-06-01,1.995
1989-07-01,1.458
1989-08-01,-0.132
1989-09-01,-0.121
1989-10-01,0.136
1989-11-01,0.572
1989-12-01,-0.445
1990-01-01,-0.352
1990-02-01,1.151
1990-03-01,0.414
1990-04-01,-1.879
1990-05-01,-1.803
1990-06-01,0.093
1990-07-01,-1.215
1990-08-01,0.466
1990-09-01,1.482
1990-10-01,0.139
1990-11-01,-0.359
1990-12-01,-0.312
1991-01-01,0.869
1991-02-01,-0.852
1991-03-01,0.522
1991-04-01,-0.639
1991-05-01,-0.539
1991-06-01,-1.155
1991-07-01,-1.22
1991-08-01,0.036
1991-09-01,-0.513
1991-10-01,-0.623
1991-11-01,-0.804
1991-12-01,-2.067
1992-01-01,0.073
1992-02-01,-1.627
1992-03-01,-1.01
1992-04-01,-0.439
1992-05-01,-2.032
1992-06-01,-2.193
1992-07-01,-0.566
1992-08-01,-0.35
1992-09-01,0.435
1992-10-01,-0.319
1992-11-01,0.122
1992-12-01,0.244
1993-01-01,-2.021
1993-02-01,0.437
1993-03-01,-0.378
1993-04-01,0.087
1993-05-01,1.26
1993-06-01,1.218
1993-07-01,1.957
1993-08-01,1.083
1993-09-01,1.061
1993-10-01,0.748
1993-11-01,0.324
1993-12-01,1.028
1994-01-01,0.723
1994-02-01,1.157
1994-03-01,0.693
1994-04-01,-0.052
1994-05-01,-0.153
1994-06-01,-1.682
1994-07-01,-0.492
1994-08-01,1.91
1994-09-01,-0.947
1994-10-01,-0.578
1994-11-01,-0.793
1994-12-01,0.933
1995-01-01,1.448
1995-02-01,0.533
1995-03-01,-0.154
1995-04-01,0.649
1995-05-01,1.397
1995-06-01,-0.802
1995-07-01,-3.01
1995-08-01,-0.696
1995-09-01,1.173
1995-10-01,-0.057
1995-11-01,0.143
1995-12-01,1.47
1996-01-01,0.332
1996-02-01,-0.525
1996-03-01,0.543
1996-04-01,0.115
1996-05-01,0.983
1996-06-01,-0.252
1996-07-01,0.021
1996-08-01,-1.502
1996-09-01,-1.314
1996-10-01,0.966
1996-11-01,-1.667
1996-12-01,-0.023
1997-01-01,0.369
1997-02-01,-0.244
1997-03-01,0.701
1997-04-01,-0.458
1997-05-01,1.028
1997-06-01,-0.458
1997-07-01,0.78
1997-08-01,0.768
1997-09-01,0.122
1997-10-01,-0.595
1997-11-01,-1.905
1997-12-01,-0.835
1998-01-01,0.413
1998-02-01,0.39
1998-03-01,0.736
1998-04-01,1.927
1998-05-01,-0.038
1998-06-01,1.031
1998-07-01,1.45
1998-08-01,0.904
1998-09-01,-0.122
1998-10-01,0.4
1998-11-01,0.817
1998-12-01,1.435
1999-01-01,0.999
1999-02-01,0.456
1999-03-01,0.18
1999-04-01,0.949
1999-05-01,1.639
1999-06-01,-1.325
1999-07-01,0.316
1999-08-01,0.042
1999-09-01,-0.012
1999-10-01,1.653
1999-11-01,0.901
1999-12-01,1.784
2000-01-01,1.273
2000-02-01,0.62
2000-03-01,0.133
2000-04-01,0.233
2000-05-01,1.127
2000-06-01,0.117
2000-07-01,0.059
2000-08-01,-0.674
2000-09-01,-1.853
2000-10-01,0.347
2000-11-01,-1.537
2000-12-01,-1.29
2001-01-01,-0.471
2001-02-01,-0.265
2001-03-01,-0.555
2001-04-01,0.515
2001-05-01,-0.262
2001-06-01,0.386
2001-07-01,-0.928
2001-08-01,0.91
2001-09-01,1.161
2001-10-01,1.277
2001-11-01,0.996
2001-12-01,1.474
2002-01-01,0.747
2002-02-01,1.334
2002-03-01,-1.823
2002-04-01,0.165
2002-05-01,-2.798
2002-06-01,-1.112
2002-07-01,-0.591
2002-08-01,-0.099
2002-09-01,-0.864
2002-10-01,-2.564
2002-11-01,-0.924
2002-12-01,1.308
2003-01-01,-0.988
