date,ammsst
1948-01-01,0.66
1948-02-01,0.0
1948-03-01,1.0
1948-04-01,1.86
1948-05-01,1.3
1948-06-01,2.51
1948-07-01,1.63
1948-08-01,0.55
1948-09-01,-0.48
1948-10-01,-0.24
1948-11-01,0.72
1948-12-01,-0.93
1949-01-01,-0.2
1949-02-01,-0.47
1949-03-01,-1.13
1949-04-01,-1.22
1949-05-01,-1.88
1949-06-01,-1.55
1949-07-01,-0.19
1949-08-01,0.77
1949-09-01,0.89
1949-10-01,0.8
1949-11-01,0.16
1949-12-01,0.46
1950-01-01,0.53
1950-02-01,-1.07
1950-03-01,-1.26
1950-04-01,0.72
1950-05-01,1.05
1950-06-01,0.28
1950-07-01,0.21
1950-08-01,1.21
1950-09-01,1.26
1950-10-01,1.27
1950-11-01,1.87
1950-12-01,3.03
1951-01-01,2.14
1951-02-01,0.94
1951-03-01,2.29
1951-04-01,3.63
1951-05-01,3.7
1951-06-01,3.85
1951-07-01,2.87
1951-08-01,0.98
1951-09-01,-0.04
1951-10-01,-0.97
1951-11-01,-1.19
1951-12-01,-2.02
1952-01-01,-2.89
1952-02-01,-1.44
1952-03-01,0.92
1952-04-01,1.13
1952-05-01,2.09
1952-06-01,3.27
1952-07-01,2.36
1952-08-01,2.04
1952-09-01,2.24
1952-10-01,2.08
1952-11-01,2.25
1952-12-01,3.63
1953-01-01,3.16
1953-02-01,2.8
1953-03-01,1.32
1953-04-01,2.12
1953-05-01,2.34
1953-06-01,1.45
1953-07-01,1.45
1953-08-01,1.52
1953-09-01,1.52
1953-10-01,0.35
1953-11-01,0.69
1953-12-01,0.82
1954-01-01,0.97
1954-02-01,0.82
1954-03-01,-0.17
1954-04-01,-0.44
1954-05-01,1.68
1954-06-01,1.2
1954-07-01,0.39
1954-08-01,-0.86
1954-09-01,-1.25
1954-10-01,-1.69
1954-11-01,-1.6
1954-12-01,-1.07
1955-01-01,0.63
1955-02-01,1.62
1955-03-01,1.03
1955-04-01,1.95
