date,amon.sm
1948-01-01,0.101
1948-02-01,0.101
1948-03-01,0.101
1948-04-01,0.105
1948-05-01,0.109
1948-06-01,0.112
1948-07-01,0.116
1948-08-01,0.118
1948-09-01,0.12
1948-10-01,0.12
1948-11-01,0.122
1948-12-01,0.123
1949-01-01,0.123
1949-02-01,0.121
1949-03-01,0.119
1949-04-01,0.116
1949-05-01,0.113
1949-06-01,0.112
1949-07-01,0.109
1949-08-01,0.106
1949-09-01,0.102
1949-10-01,0.098
1949-11-01,0.095
1949-12-01,0.092
1950-01-01,0.09
1950-02-01,0.089
1950-03-01,0.086
1950-04-01,0.084
1950-05-01,0.082
1950-06-01,0.081
1950-07-01,0.082
1950-08-01,0.082
1950-09-01,0.083
1950-10-01,0.085
1950-11-01,0.087
1950-12-01,0.088
1951-01-01,0.088
1951-02-01,0.087
1951-03-01,0.085
1951-04-01,0.085
1951-05-01,0.084
1951-06-01,0.081
1951-07-01,0.081
1951-08-01,0.082
1951-09-01,0.082
1951-10-01,0.082
1951-11-01,0.081
1951-12-01,0.082
1952-01-01,0.082
1952-02-01,0.082
1952-03-01,0.083
1952-04-01,0.083
1952-05-01,0.083
1952-06-01,0.084
1952-07-01,0.086
1952-08-01,0.089
1952-09-01,0.091
1952-10-01,0.093
1952-11-01,0.094
1952-12-01,0.095
1953-01-01,0.095
1953-02-01,0.096
1953-03-01,0.099
1953-04-01,0.102
1953-05-01,0.104
1953-06-01,0.106
1953-07-01,0.107
1953-08-01,0.109
1953-09-01,0.11
1953-10-01,0.112
1953-11-01,0.114
1953-12-01,0.114
1954-01-01,0.115
1954-02-01,0.114
1954-03-01,0.113
1954-04-01,0.112
1954-05-01,0.111
1954-06-01,0.111
1954-07-01,0.111
1954-08-01,0.11
1954-09-01,0.111
1954-10-01,0.111
1954-11-01,0.11
1954-12-01,0.11
1955-01-01,0.111
1955-02-01,0.112
1955-03-01,0.113
1955-04-01,0.114
1955-05-01,0.118
1955-06-01,0.121
1955-07-01,0.124
1955-08-01,0.127
1955-09-01,0.128
1955-10-01,0.131
1955-11-01,0.133
1955-12-01,0.134
1956-01-01,0.134
1956-02-01,0.133
1956-03-01,0.135
1956-04-01,0.136
1956-05-01,0.137
1956-06-01,0.135
1956-07-01,0.133
1956-08-01,0.13
1956-09-01,0.127
1956-10-01,0.125
1956-11-01,0.124
1956-12-01,0.124
1957-01-01,0.124
1957-02-01,0.123
1957-03-01,0.123
1957-04-01,0.122
1957-05-01,0.121
1957-06-01,0.119
1957-07-01,0.115
1957-08-01,0.112
1957-09-01,0.108
1957-10-01,0.106
1957-11-01,0.103
1957-12-01,0.103
1958-01-01,0.101
1958-02-01,0.1
1958-03-01,0.1
1958-04-01,0.1
1958-05-01,0.096
1958-06-01,0.093
1958-07-01,0.09
1958-08-01,0.087
1958-09-01,0.083
1958-10-01,0.08
1958-11-01,0.078
1958-12-01,0.076
1959-01-01,0.073
1959-02-01,0.071
1959-03-01,0.071
1959-04-01,0.069
1959-05-01,0.069
1959-06-01,0.069
1959-07-01,0.067
1959-08-01,0.065
1959-09-01,0.063
1959-10-01,0.061
1959-11-01,0.06
1959-12-01,0.059
1960-01-01,0.058
1960-02-01,0.056
1960-03-01,0.055
1960-04-01,0.054
1960-05-01,0.052
1960-06-01,0.049
1960-07-01,0.046
1960-08-01,0.042
1960-09-01,0.039
1960-10-01,0.035
1960-11-01,0.031
1960-12-01,0.026
1961-01-01,0.024
1961-02-01,0.022
1961-03-01,0.021
1961-04-01,0.021
1961-05-01,0.021
1961-06-01,0.021
1961-07-01,0.023
1961-08-01,0.023
1961-09-01,0.024
1961-10-01,0.025
1961-11-01,0.025
1961-12-01,0.026
1962-01-01,0.027
1962-02-01,0.028
1962-03-01,0.029
1962-04-01,0.029
1962-05-01,0.028
1962-06-01,0.027
1962-07-01,0.025
1962-08-01,0.023
1962-09-01,0.021
1962-10-01,0.018
1962-11-01,0.015
1962-12-01,0.013
1963-01-01,0.01
1963-02-01,0.008
1963-03-01,0.005
1963-04-01,0.0
1963-05-01,-0.004
1963-06-01,-0.007
1963-07-01,-0.011
1963-08-01,-0.014
1963-09-01,-0.017
1963-10-01,-0.02
1963-11-01,-0.022
1963-12-01,-0.024
1964-01-01,-0.027
1964-02-01,-0.027
1964-03-01,-0.026
1964-04-01,-0.025
1964-05-01,-0.025
1964-06-01,-0.024
1964-07-01,-0.023
1964-08-01,-0.024
1964-09-01,-0.025
1964-10-01,-0.027
1964-11-01,-0.029
1964-12-01,-0.03
1965-01-01,-0.031
1965-02-01,-0.033
1965-03-01,-0.035
1965-04-01,-0.035
