date,atltri
1948-01-01,0.249
1948-02-01,-0.068
1948-03-01,0.204
1948-04-01,-0.371
1948-05-01,-0.585
1948-06-01,-0.363
1948-07-01,-0.379
1948-08-01,-0.36
1948-09-01,-0.407
1948-10-01,0.174
1948-11-01,0.187
1948-12-01,-0.171
1949-01-01,-0.105
1949-02-01,-0.078
1949-03-01,-0.627
1949-04-01,-0.014
1949-05-01,-0.518
1949-06-01,-0.58
1949-07-01,0.126
1949-08-01,0.612
1949-09-01,0.495
1949-10-01,0.202
1949-11-01,-0.597
1949-12-01,-0.363
1950-01-01,-0.571
1950-02-01,-1.106
1950-03-01,-0.62
1950-04-01,-0.23
1950-05-01,-0.279
1950-06-01,-0.219
1950-07-01,-0.873
1950-08-01,-0.631
1950-09-01,-0.637
1950-10-01,-0.35
1950-11-01,-0.167
1950-12-01,0.451
1951-01-01,0.306
1951-02-01,-0.438
1951-03-01,0.298
1951-04-01,1.184
1951-05-01,0.775
1951-06-01,1.146
1951-07-01,1.918
1951-08-01,0.826
1951-09-01,0.148
1951-10-01,0.231
1951-11-01,-0.009
1951-12-01,0.05
1952-01-01,-0.373
1952-02-01,0.258
1952-03-01,0.778
1952-04-01,0.3
1952-05-01,0.784
1952-06-01,1.679
1952-07-01,1.592
1952-08-01,1.618
1952-09-01,1.366
1952-10-01,1.126
1952-11-01,0.999
1952-12-01,1.744
1953-01-01,1.747
1953-02-01,1.423
1953-03-01,0.701
1953-04-01,1.294
1953-05-01,1.105
1953-06-01,0.99
1953-07-01,0.519
1953-08-01,0.049
1953-09-01,0.452
1953-10-01,0.243
1953-11-01,0.697
1953-12-01,0.44
1954-01-01,0.685
1954-02-01,0.293
1954-03-01,0.351
1954-04-01,-0.628
1954-05-01,0.163
1954-06-01,0.166
1954-07-01,0.353
1954-08-01,-0.292
1954-09-01,-0.626
1954-10-01,-0.284
1954-11-01,-0.3
1954-12-01,-0.021
1955-01-01,0.785
1955-02-01,0.893
1955-03-01,0.603
1955-04-01,0.735
1955-05-01,1.035
1955-06-01,0.875
1955-07-01,1.558
1955-08-01,1.385
1955-09-01,1.031
1955-10-01,1.197
1955-11-01,1.481
1955-12-01,1.144
1956-01-01,1.438
1956-02-01,1.206
1956-03-01,0.505
1956-04-01,0.605
1956-05-01,0.007
1956-06-01,-0.621
1956-07-01,-0.316
1956-08-01,-0.115
1956-09-01,-0.686
1956-10-01,-0.117
1956-11-01,-0.236
1956-12-01,-0.133
1957-01-01,-0.689
1957-02-01,-0.943
1957-03-01,-0.38
1957-04-01,-0.613
1957-05-01,-0.778
1957-06-01,-0.263
1957-07-01,0.162
1957-08-01,0.657
1957-09-01,0.746
1957-10-01,0.653
1957-11-01,0.157
1957-12-01,0.062
1958-01-01,0.313
1958-02-01,1.463
1958-03-01,2.006
1958-04-01,1.84
1958-05-01,1.173
1958-06-01,1.117
1958-07-01,-0.085
1958-08-01,0.016
1958-09-01,-0.049
1958-10-01,-0.162
1958-11-01,0.447
1958-12-01,0.032
1959-01-01,0.384
1959-02-01,0.202
1959-03-01,-0.64
1959-04-01,-0.83
1959-05-01,-0.379
1959-06-01,-0.538
1959-07-01,-0.462
1959-08-01,-0.12
1959-09-01,0.326
1959-10-01,-0.265
1959-11-01,-0.386
1959-12-01,-0.631
1960-01-01,-0.353
1960-02-01,0.149
1960-03-01,0.164
1960-04-01,0.114
1960-05-01,0.512
1960-06-01,0.468
1960-07-01,0.21
1960-08-01,0.524
1960-09-01,0.079
1960-10-01,0.227
1960-11-01,-0.247
1960-12-01,-0.431
1961-01-01,-0.246
1961-02-01,-0.215
1961-03-01,0.379
1961-04-01,0.838
1961-05-01,0.748
1961-06-01,0.283
1961-07-01,0.266
1961-08-01,0.469
1961-09-01,-0.122
1961-10-01,-0.415
1961-11-01,0.23
1961-12-01,0.7
1962-01-01,0.361
1962-02-01,0.186
1962-03-01,0.647
1962-04-01,0.449
1962-05-01,0.252
1962-06-01,-0.169
1962-07-01,0.419
1962-08-01,-0.256
1962-09-01,-0.067
1962-10-01,0.525
1962-11-01,0.552
1962-12-01,1.356
1963-01-01,0.816
1963-02-01,0.522
1963-03-01,-0.104
1963-04-01,-0.005
1963-05-01,-0.472
1963-06-01,-0.517
1963-07-01,-0.723
1963-08-01,-1.029
1963-09-01,-1.2
1963-10-01,-0.129
1963-11-01,-0.061
1963-12-01,-0.101
1964-01-01,-0.13
1964-02-01,0.44
1964-03-01,0.221
1964-04-01,-0.815
1964-05-01,-0.246
1964-06-01,-0.24
1964-07-01,-0.529
1964-08-01,-0.384
1964-09-01,-0.55
1964-10-01,-0.494
1964-11-01,-0.165
1964-12-01,-0.117
1965-01-01,-0.332
1965-02-01,-0.005
1965-03-01,0.304
1965-04-01,0.117
1965-05-01,0.083
1965-06-01,-0.438
1965-07-01,-0.828
1965-08-01,-0.7
1965-09-01,-0.452
1965-10-01,-0.573
1965-11-01,-0.901
1965-12-01,-0.255
1966-01-01,-0.168
1966-02-01,0.693
1966-03-01,0.513
1966-04-01,0.824
1966-05-01,-0.016
1966-06-01,-0.553
1966-07-01,-0.402
1966-08-01,-0.177
1966-09-01,-0.163
1966-10-01,-0.253
1966-11-01,0.05
1966-12-01,0.428
1967-01-01,0.642
1967-02-01,0.221
1967-03-01,-0.163
1967-04-01,0.462
1967-05-01,-0.343
1967-06-01,-0.428
1967-07-01,-0.425
1967-08-01,-0.236
1967-09-01,-0.126
1967-10-01,-0.302
1967-11-01,-0.544
1967-12-01,-0.018
1968-01-01,-0.167
1968-02-01,-0.063
1968-03-01,-0.059
1968-04-01,-0.638
1968-05-01,-0.629
1968-06-01,-1.167
1968-07-01,-1.674
1968-08-01,-1.244
1968-09-01,-1.287
1968-10-01,-0.697
1968-11-01,-0.472
1968-12-01,-0.601
1969-01-01,-0.142
1969-02-01,0.539
1969-03-01,1.198
1969-04-01,0.146
1969-05-01,-0.361
1969-06-01,-0.894
1969-07-01,-0.477
1969-08-01,-1.079
1969-09-01,-0.672
1969-10-01,-0.981
1969-11-01,-0.097
1969-12-01,0.172
1970-01-01,0.359
1970-02-01,0.344
1970-03-01,0.546
1970-04-01,0.335
1970-05-01,-0.173
1970-06-01,-0.608
1970-07-01,-0.978
1970-08-01,-0.604
1970-09-01,-1.02
1970-10-01,-0.917
1970-11-01,-0.724
1970-12-01,-0.785
1971-01-01,-0.505
1971-02-01,-0.87
1971-03-01,-0.871
1971-04-01,-0.942
1971-05-01,-0.844
1971-06-01,-1.165
1971-07-01,-0.936
1971-08-01,-1.384
1971-09-01,-1.292
1971-10-01,-0.635
1971-11-01,-0.621
1971-12-01,-0.861
1972-01-01,-1.607
1972-02-01,-1.833
1972-03-01,-1.876
1972-04-01,-1.318
1972-05-01,-2.036
1972-06-01,-1.665
1972-07-01,-1.261
1972-08-01,-1.245
1972-09-01,-1.16
1972-10-01,-1.291
1972-11-01,-1.368
1972-12-01,-2.163
1973-01-01,-2.113
1973-02-01,-1.74
1973-03-01,-1.538
1973-04-01,-0.772
1973-05-01,-0.949
1973-06-01,-0.758
1973-07-01,-0.82
1973-08-01,-1.189
1973-09-01,-1.059
1973-10-01,-1.218
1973-11-01,-1.013
1973-12-01,-0.76
1974-01-01,-2.008
1974-02-01,-2.04
1974-03-01,-2.549
1974-04-01,-3.101
1974-05-01,-2.992
1974-06-01,-2.372
1974-07-01,-2.274
1974-08-01,-2.36
1974-09-01,-2.981
1974-10-01,-2.101
1974-11-01,-1.802
1974-12-01,-1.525
1975-01-01,-1.308
1975-02-01,-2.058
1975-03-01,-2.009
1975-04-01,-1.486
1975-05-01,-1.701
1975-06-01,-1.32
1975-07-01,-0.687
1975-08-01,-0.417
1975-09-01,-0.849
1975-10-01,-1.793
1975-11-01,-1.633
1975-12-01,-1.5
1976-01-01,-1.049
1976-02-01,-1.609
1976-03-01,-2.093
1976-04-01,-1.718
1976-05-01,-1.86
1976-06-01,-1.572
1976-07-01,-0.871
1976-08-01,0.188
1976-09-01,-0.103
1976-10-01,-1.091
1976-11-01,-1.511
1976-12-01,-1.882
1977-01-01,-1.469
1977-02-01,-1.43
1977-03-01,-1.06
1977-04-01,-0.921
1977-05-01,-0.542
1977-06-01,0.192
1977-07-01,-0.156
1977-08-01,-0.366
1977-09-01,-0.823
1977-10-01,-0.685
1977-11-01,-0.57
1977-12-01,-0.875
1978-01-01,-0.472
1978-02-01,0.171
1978-03-01,0.081
1978-04-01,-0.233
1978-05-01,-0.351
1978-06-01,-1.058
1978-07-01,-0.892
1978-08-01,-0.782
1978-09-01,-0.288
1978-10-01,-0.251
1978-11-01,-0.162
1978-12-01,-0.694
1979-01-01,-0.455
1979-02-01,0.097
1979-03-01,-0.475
1979-04-01,-0.232
1979-05-01,0.017
1979-06-01,0.514
1979-07-01,0.38
1979-08-01,-0.378
1979-09-01,-0.048
1979-10-01,-0.526
1979-11-01,-0.314
1979-12-01,-0.246
1980-01-01,0.133
1980-02-01,0.169
1980-03-01,-0.247
1980-04-01,0.579
1980-05-01,0.922
1980-06-01,0.645
1980-07-01,-0.257
1980-08-01,-0.549
1980-09-01,-0.72
1980-10-01,-0.534
1980-11-01,-0.499
1980-12-01,-0.124
1981-01-01,0.307
1981-02-01,0.154
1981-03-01,1.124
1981-04-01,0.501
1981-05-01,0.353
1981-06-01,0.22
1981-07-01,-0.181
1981-08-01,0.086
1981-09-01,0.291
1981-10-01,-0.147
1981-11-01,0.18
1981-12-01,1.049
1982-01-01,0.53
1982-02-01,-0.119
1982-03-01,-0.57
1982-04-01,-0.817
1982-05-01,-0.332
1982-06-01,-0.734
1982-07-01,-0.983
1982-08-01,-0.908
1982-09-01,-0.982
1982-10-01,-1.527
1982-11-01,-1.629
1982-12-01,-1.669
1983-01-01,-1.321
1983-02-01,-0.6
1983-03-01,0.475
1983-04-01,0.327
1983-05-01,-0.0
1983-06-01,-0.034
1983-07-01,0.585
1983-08-01,0.16
1983-09-01,-0.636
1983-10-01,-0.431
1983-11-01,0.016
1983-12-01,0.416
1984-01-01,-0.064
1984-02-01,-0.414
1984-03-01,-0.582
1984-04-01,-0.252
1984-05-01,-0.017
1984-06-01,-0.703
1984-07-01,-0.659
1984-08-01,-0.314
1984-09-01,0.064
1984-10-01,-0.984
1984-11-01,-1.529
1984-12-01,-1.543
1985-01-01,-1.426
1985-02-01,-1.105
1985-03-01,-1.403
1985-04-01,-1.705
1985-05-01,-1.701
1985-06-01,-0.519
1985-07-01,-0.611
1985-08-01,-1.428
1985-09-01,-1.251
1985-10-01,-1.256
1985-11-01,-1.083
1985-12-01,-1.33
1986-01-01,-1.683
1986-02-01,-1.702
1986-03-01,-1.797
1986-04-01,-2.002
1986-05-01,-1.579
1986-06-01,-1.52
1986-07-01,-1.075
1986-08-01,-1.214
1986-09-01,-0.473
1986-10-01,-1.055
1986-11-01,-1.785
1986-12-01,-2.033
1987-01-01,-1.15
1987-02-01,-0.862
1987-03-01,0.045
1987-04-01,0.343
1987-05-01,0.445
1987-06-01,0.964
1987-07-01,0.929
1987-08-01,1.289
1987-09-01,0.628
1987-10-01,-0.119
1987-11-01,-0.23
1987-12-01,0.393
1988-01-01,0.029
1988-02-01,-0.449
1988-03-01,0.162
1988-04-01,0.646
1988-05-01,0.661
1988-06-01,0.888
1988-07-01,0.436
1988-08-01,-0.504
1988-09-01,-0.357
1988-10-01,-0.36
1988-11-01,-0.109
1988-12-01,-0.038
1989-01-01,-0.582
1989-02-01,-0.688
1989-03-01,-1.144
1989-04-01,-1.54
1989-05-01,-0.677
1989-06-01,0.75
1989-07-01,1.394
1989-08-01,0.93
1989-09-01,0.036
1989-10-01,0.272
1989-11-01,-0.408
1989-12-01,0.06
1990-01-01,-0.961
1990-02-01,-1.135
1990-03-01,-1.102
1990-04-01,-0.702
1990-05-01,0.128
1990-06-01,-0.063
1990-07-01,-0.2
1990-08-01,0.187
1990-09-01,0.665
1990-10-01,0.587
1990-11-01,0.284
1990-12-01,0.164
1991-01-01,-0.983
1991-02-01,-0.714
1991-03-01,-0.769
1991-04-01,-0.96
1991-05-01,-0.715
1991-06-01,-0.846
1991-07-01,-0.987
1991-08-01,-0.75
1991-09-01,0.286
1991-10-01,-0.564
1991-11-01,-0.239
1991-12-01,-0.329
1992-01-01,0.282
1992-02-01,0.152
1992-03-01,-0.04
1992-04-01,-0.419
1992-05-01,-0.573
1992-06-01,-0.399
1992-07-01,-0.761
1992-08-01,-1.759
1992-09-01,-1.756
1992-10-01,-0.81
1992-11-01,-0.814
1992-12-01,-0.756
1993-01-01,-0.753
1993-02-01,-0.206
1993-03-01,-0.326
1993-04-01,-0.2
1993-05-01,-0.419
1993-06-01,-0.646
1993-07-01,-1.221
1993-08-01,-0.652
1993-09-01,-0.539
1993-10-01,-1.116
1993-11-01,-1.358
1993-12-01,-1.383
1994-01-01,-1.439
1994-02-01,-1.807
1994-03-01,-1.27
1994-04-01,-1.108
1994-05-01,-1.34
1994-06-01,-1.42
1994-07-01,-1.841
1994-08-01,-1.442
1994-09-01,-1.042
1994-10-01,0.386
1994-11-01,0.168
1994-12-01,-0.229
1995-01-01,-0.004
1995-02-01,0.321
1995-03-01,0.153
1995-04-01,0.835
1995-05-01,1.807
1995-06-01,2.011
1995-07-01,1.681
1995-08-01,0.974
1995-09-01,0.634
1995-10-01,0.843
1995-11-01,1.129
1995-12-01,0.928
1996-01-01,1.31
1996-02-01,0.751
1996-03-01,0.453
1996-04-01,0.946
1996-05-01,0.415
1996-06-01,-0.179
1996-07-01,0.255
1996-08-01,0.398
1996-09-01,0.616
1996-10-01,0.404
1996-11-01,0.564
1996-12-01,0.444
1997-01-01,0.728
1997-02-01,0.677
1997-03-01,0.374
1997-04-01,1.149
1997-05-01,1.228
1997-06-01,0.872
1997-07-01,1.086
1997-08-01,0.574
1997-09-01,1.061
1997-10-01,2.063
1997-11-01,1.631
1997-12-01,1.291
1998-01-01,1.15
1998-02-01,1.744
1998-03-01,1.817
1998-04-01,1.252
1998-05-01,1.715
1998-06-01,1.652
1998-07-01,1.899
1998-08-01,2.118
1998-09-01,1.662
1998-10-01,2.154
1998-11-01,1.987
1998-12-01,1.32
1999-01-01,0.374
1999-02-01,0.613
1999-03-01,0.663
1999-04-01,0.733
1999-05-01,1.002
1999-06-01,0.912
1999-07-01,0.795
1999-08-01,1.329
1999-09-01,0.887
1999-10-01,0.413
1999-11-01,0.198
1999-12-01,0.575
2000-01-01,0.172
2000-02-01,0.48
2000-03-01,1.16
2000-04-01,0.575
2000-05-01,0.614
2000-06-01,-0.042
2000-07-01,0.521
2000-08-01,0.81
2000-09-01,0.994
2000-10-01,0.308
2000-11-01,0.684
2000-12-01,0.491
2001-01-01,0.735
2001-02-01,0.626
2001-03-01,0.71
2001-04-01,0.579
2001-05-01,0.695
2001-06-01,1.445
2001-07-01,1.166
2001-08-01,1.362
2001-09-01,1.938
2001-10-01,1.555
2001-11-01,1.865
2001-12-01,1.805
2002-01-01,2.021
2002-02-01,1.441
2002-03-01,0.857
2002-04-01,0.016
2002-05-01,-0.343
2002-06-01,-0.904
2002-07-01,-0.779
2002-08-01,0.387
2002-09-01,0.687
2002-10-01,0.738
2002-11-01,0.419
2002-12-01,0.406
2003-01-01,1.054
2003-02-01,0.54
2003-03-01,0.47
2003-04-01,0.481
2003-05-01,0.421
2003-06-01,0.547
2003-07-01,0.826
2003-08-01,1.253
2003-09-01,1.637
2003-10-01,2.438
2003-11-01,1.157
2003-12-01,1.48
2004-01-01,1.907
2004-02-01,1.75
2004-03-01,1.121
2004-04-01,0.885
2004-05-01,0.339
2004-06-01,0.888
2004-07-01,0.88
2004-08-01,1.268
2004-09-01,1.154
2004-10-01,1.429
2004-11-01,1.635
2004-12-01,1.576
2005-01-01,1.347
2005-02-01,1.624
2005-03-01,2.038
2005-04-01,2.182
2005-05-01,2.073
2005-06-01,1.856
2005-07-01,2.046
2005-08-01,2.103
2005-09-01,2.277
2005-10-01,1.489
2005-11-01,1.203
2005-12-01,1.774
2006-01-01,1.73
2006-02-01,1.297
2006-03-01,0.994
2006-04-01,1.607
2006-05-01,1.813
2006-06-01,1.689
2006-07-01,1.787
2006-08-01,2.161
2006-09-01,2.038
2006-10-01,2.046
2006-11-01,2.354
2006-12-01,1.325
2007-01-01,1.525
2007-02-01,1.635
2007-03-01,1.022
2007-04-01,1.251
2007-05-01,0.96
2007-06-01,0.816
2007-07-01,0.58
2007-08-01,0.145
2007-09-01,1.276
2007-10-01,1.624
2007-11-01,2.276
2007-12-01,1.491
2008-01-01,1.208
2008-02-01,1.224
2008-03-01,1.17
2008-04-01,0.441
2008-05-01,1.506
2008-06-01,1.932
2008-07-01,1.233
2008-08-01,0.989
2008-09-01,0.949
2008-10-01,1.107
2008-11-01,1.03
2008-12-01,
