date,brazilrain
1948-01-01,-92.0
1948-02-01,-80.0
1948-03-01,99.0
1948-04-01,-46.0
1948-05-01,-9.0
1948-06-01,48.0
1948-07-01,-36.0
1948-08-01,-11.0
1948-09-01,37.0
1948-10-01,18.0
1948-11-01,-65.0
1948-12-01,-87.0
1949-01-01,-103.0
1949-02-01,-29.0
1949-03-01,53.0
1949-04-01,5.0
1949-05-01,181.0
1949-06-01,45.0
1949-07-01,-79.0
1949-08-01,102.0
1949-09-01,138.0
1949-10-01,-93.0
1949-11-01,210.0
1949-12-01,-88.0
1950-01-01,-30.0
1950-02-01,-38.0
1950-03-01,82.0
1950-04-01,81.0
1950-05-01,-26.0
1950-06-01,-106.0
1950-07-01,-74.0
1950-08-01,-34.0
1950-09-01,-18.0
1950-10-01,-45.0
1950-11-01,-18.0
1950-12-01,-63.0
1951-01-01,-105.0
1951-02-01,-94.0
1951-03-01,-203.0
1951-04-01,-42.0
1951-05-01,-121.0
1951-06-01,85.0
1951-07-01,-74.0
1951-08-01,-80.0
1951-09-01,-101.0
1951-10-01,-98.0
1951-11-01,109.0
1951-12-01,88.0
1952-01-01,-60.0
1952-02-01,-54.0
1952-03-01,111.0
1952-04-01,20.0
1952-05-01,-46.0
1952-06-01,-96.0
1952-07-01,-84.0
1952-08-01,-37.0
1952-09-01,-87.0
1952-10-01,-8.0
1952-11-01,-59.0
1952-12-01,-30.0
1953-01-01,-80.0
1953-02-01,-73.0
1953-03-01,-119.0
1953-04-01,13.0
1953-05-01,-96.0
1953-06-01,-31.0
1953-07-01,-95.0
1953-08-01,-31.0
1953-09-01,-20.0
1953-10-01,-33.0
1953-11-01,-63.0
1953-12-01,-75.0
1954-01-01,-63.0
1954-02-01,-7.0
1954-03-01,-77.0
1954-04-01,-142.0
1954-05-01,-54.0
1954-06-01,-46.0
1954-07-01,-93.0
1954-08-01,-60.0
1954-09-01,-81.0
1954-10-01,-92.0
1954-11-01,-43.0
1954-12-01,-82.0
1955-01-01,7.0
1955-02-01,-44.0
1955-03-01,-74.0
1955-04-01,28.0
1955-05-01,1.0
1955-06-01,-87.0
1955-07-01,-83.0
1955-08-01,-23.0
1955-09-01,-9.0
1955-10-01,131.0
1955-11-01,-33.0
1955-12-01,57.0
1956-01-01,-87.0
1956-02-01,13.0
1956-03-01,-22.0
1956-04-01,-102.0
1956-05-01,-158.0
1956-06-01,-87.0
1956-07-01,-46.0
1956-08-01,163.0
1956-09-01,-69.0
1956-10-01,-68.0
1956-11-01,-47.0
1956-12-01,-72.0
1957-01-01,-9.0
1957-02-01,-95.0
1957-03-01,83.0
1957-04-01,122.0
1957-05-01,-100.0
1957-06-01,-95.0
1957-07-01,-72.0
1957-08-01,-35.0
1957-09-01,-5.0
1957-10-01,9.0
1957-11-01,-68.0
1957-12-01,-44.0
1958-01-01,-101.0
1958-02-01,-93.0
1958-03-01,-188.0
1958-04-01,-217.0
1958-05-01,-32.0
1958-06-01,-56.0
1958-07-01,-12.0
1958-08-01,-45.0
1958-09-01,2.0
1958-10-01,-93.0
1958-11-01,-54.0
1958-12-01,-70.0
1959-01-01,78.0
1959-02-01,-6.0
1959-03-01,33.0
1959-04-01,-92.0
1959-05-01,-14.0
1959-06-01,-38.0
1959-07-01,-98.0
1959-08-01,-36.0
1959-09-01,-32.0
1959-10-01,-50.0
1959-11-01,-45.0
1959-12-01,-63.0
1960-01-01,-115.0
1960-02-01,-99.0
1960-03-01,152.0
1960-04-01,-9.0
1960-05-01,-52.0
1960-06-01,-62.0
1960-07-01,-46.0
1960-08-01,-66.0
1960-09-01,-67.0
1960-10-01,22.0
1960-11-01,-63.0
1960-12-01,-38.0
1961-01-01,62.0
1961-02-01,142.0
1961-03-01,6.0
1961-04-01,2.0
1961-05-01,42.0
1961-06-01,-73.0
1961-07-01,33.0
1961-08-01,-80.0
1961-09-01,-55.0
1961-10-01,-87.0
1961-11-01,-49.0
1961-12-01,11.0
1962-01-01,-66.0
1962-02-01,-42.0
1962-03-01,25.0
1962-04-01,-37.0
1962-05-01,-60.0
1962-06-01,-32.0
1962-07-01,-32.0
1962-08-01,-29.0
1962-09-01,7.0
1962-10-01,-74.0
1962-11-01,-18.0
1962-12-01,154.0
1963-01-01,78.0
1963-02-01,68.0
1963-03-01,207.0
1963-04-01,132.0
1963-05-01,-138.0
1963-06-01,-56.0
1963-07-01,-91.0
1963-08-01,-59.0
1963-09-01,-84.0
1963-10-01,-104.0
1963-11-01,60.0
1963-12-01,329.0
1964-01-01,253.0
1964-02-01,166.0
1964-03-01,120.0
1964-04-01,161.0
1964-05-01,109.0
1964-06-01,-14.0
1964-07-01,37.0
1964-08-01,108.0
1964-09-01,208.0
1964-10-01,-26.0
1964-11-01,-60.0
1964-12-01,-68.0
1965-01-01,29.0
1965-02-01,-110.0
1965-03-01,-70.0
1965-04-01,139.0
1965-05-01,36.0
1965-06-01,252.0
1965-07-01,-45.0
1965-08-01,-34.0
1965-09-01,-62.0
1965-10-01,-23.0
1965-11-01,-65.0
1965-12-01,-70.0
1966-01-01,-100.0
1966-02-01,-10.0
1966-03-01,-81.0
1966-04-01,8.0
1966-05-01,15.0
1966-06-01,12.0
1966-07-01,91.0
1966-08-01,-54.0
1966-09-01,28.0
1966-10-01,-105.0
1966-11-01,3.0
1966-12-01,-23.0
1967-01-01,-89.0
1967-02-01,143.0
1967-03-01,76.0
1967-04-01,82.0
1967-05-01,164.0
1967-06-01,0.0
1967-07-01,40.0
1967-08-01,-22.0
1967-09-01,30.0
1967-10-01,-11.0
1967-11-01,-60.0
1967-12-01,-34.0
1968-01-01,216.0
1968-02-01,-55.0
1968-03-01,-15.0
1968-04-01,-86.0
1968-05-01,41.0
1968-06-01,-82.0
1968-07-01,16.0
1968-08-01,106.0
1968-09-01,-82.0
1968-10-01,142.0
1968-11-01,-15.0
1968-12-01,-16.0
1969-01-01,27.0
1969-02-01,-69.0
1969-03-01,155.0
1969-04-01,6.0
1969-05-01,97.0
1969-06-01,45.0
1969-07-01,156.0
1969-08-01,13.0
1969-09-01,-45.0
1969-10-01,2.0
1969-11-01,-69.0
1969-12-01,-88.0
1970-01-01,40.0
1970-02-01,-56.0
1970-03-01,-31.0
1970-04-01,66.0
1970-05-01,-165.0
1970-06-01,-63.0
1970-07-01,-73.0
1970-08-01,-14.0
1970-09-01,-89.0
1970-10-01,-52.0
1970-11-01,83.0
1970-12-01,-47.0
1971-01-01,76.0
1971-02-01,8.0
1971-03-01,-18.0
1971-04-01,-70.0
1971-05-01,102.0
1971-06-01,108.0
1971-07-01,177.0
1971-08-01,20.0
1971-09-01,59.0
1971-10-01,62.0
1971-11-01,-29.0
1971-12-01,-46.0
1972-01-01,-65.0
1972-02-01,-64.0
1972-03-01,-103.0
1972-04-01,-85.0
1972-05-01,-48.0
1972-06-01,50.0
1972-07-01,-26.0
1972-08-01,443.0
1972-09-01,-87.0
1972-10-01,-69.0
1972-11-01,-63.0
1972-12-01,207.0
1973-01-01,-10.0
1973-02-01,345.0
1973-03-01,15.0
1973-04-01,157.0
1973-05-01,45.0
1973-06-01,89.0
1973-07-01,267.0
1973-08-01,7.0
1973-09-01,105.0
1973-10-01,220.0
1973-11-01,-1.0
1973-12-01,-63.0
1974-01-01,216.0
1974-02-01,38.0
1974-03-01,65.0
1974-04-01,159.0
1974-05-01,288.0
1974-06-01,48.0
1974-07-01,-36.0
1974-08-01,-7.0
1974-09-01,320.0
1974-10-01,280.0
1974-11-01,11.0
1974-12-01,113.0
1975-01-01,26.0
1975-02-01,-25.0
1975-03-01,58.0
1975-04-01,-25.0
1975-05-01,49.0
1975-06-01,156.0
1975-07-01,163.0
1975-08-01,-18.0
1975-09-01,-9.0
1975-10-01,4.0
1975-11-01,-42.0
1975-12-01,114.0
1976-01-01,-81.0
1976-02-01,75.0
1976-03-01,10.0
1976-04-01,-15.0
1976-05-01,-62.0
1976-06-01,-74.0
1976-07-01,-77.0
1976-08-01,-43.0
1976-09-01,16.0
1976-10-01,29.0
1976-11-01,30.0
1976-12-01,-63.0
1977-01-01,88.0
1977-02-01,-24.0
1977-03-01,-9.0
1977-04-01,-3.0
1977-05-01,67.0
1977-06-01,292.0
1977-07-01,131.0
1977-08-01,-21.0
1977-09-01,-81.0
1977-10-01,14.0
1977-11-01,21.0
1977-12-01,78.0
1978-01-01,-64.0
1978-02-01,103.0
1978-03-01,-110.0
1978-04-01,-98.0
1978-05-01,101.0
1978-06-01,-15.0
1978-07-01,122.0
1978-08-01,-45.0
1978-09-01,169.0
1978-10-01,188.0
1978-11-01,373.0
1978-12-01,-13.0
1979-01-01,-71.0
1979-02-01,-47.0
1979-03-01,-79.0
1979-04-01,-156.0
1979-05-01,15.0
1979-06-01,-24.0
1979-07-01,-74.0
1979-08-01,12.0
1979-09-01,139.0
1979-10-01,-63.0
1979-11-01,274.0
1979-12-01,-79.0
1980-01-01,23.0
1980-02-01,203.0
1980-03-01,35.0
1980-04-01,-165.0
1980-05-01,-171.0
1980-06-01,16.0
1980-07-01,-62.0
1980-08-01,-26.0
1980-09-01,-34.0
1980-10-01,-117.0
1980-11-01,-21.0
1980-12-01,-46.0
1981-01-01,-4.0
1981-02-01,-48.0
1981-03-01,326.0
1981-04-01,-194.0
1981-05-01,-152.0
1981-06-01,-89.0
1981-07-01,-102.0
1981-08-01,-70.0
1981-09-01,-101.0
1981-10-01,-117.0
1981-11-01,-61.0
1981-12-01,995.0
1982-01-01,-18.0
1982-02-01,-27.0
1982-03-01,-90.0
1982-04-01,-43.0
1982-05-01,-31.0
1982-06-01,-54.0
1982-07-01,-59.0
1982-08-01,84.0
1982-09-01,-43.0
1982-10-01,148.0
1982-11-01,732.0
1982-12-01,-50.0
1983-01-01,-107.0
1983-02-01,24.0
1983-03-01,-70.0
1983-04-01,-204.0
1983-05-01,-155.0
1983-06-01,-71.0
1983-07-01,-71.0
1983-08-01,-52.0
1983-09-01,
1983-10-01,21.0
1983-11-01,-72.0
1983-12-01,4.0
1984-01-01,-12.0
1984-02-01,-10.0
1984-03-01,38.0
1984-04-01,214.0
1984-05-01,138.0
1984-06-01,111.0
1984-07-01,68.0
1984-08-01,68.0
1984-09-01,86.0
1984-10-01,128.0
