date,eofpac
1948-01-01,-0.287
1948-02-01,-0.083
1948-03-01,0.366
1948-04-01,0.016
1948-05-01,0.073
1948-06-01,-0.048
1948-07-01,-0.551
1948-08-01,-0.165
1948-09-01,-0.537
1948-10-01,-0.982
1948-11-01,-0.175
1948-12-01,-0.197
1949-01-01,-0.646
1949-02-01,0.023
1949-03-01,-1.024
1949-04-01,-0.139
1949-05-01,-0.308
1949-06-01,-0.827
1949-07-01,-0.931
1949-08-01,-0.497
1949-09-01,-1.017
1949-10-01,-1.076
1949-11-01,-1.398
1949-12-01,-1.08
1950-01-01,-1.053
1950-02-01,-2.044
1950-03-01,-1.034
1950-04-01,-1.597
1950-05-01,-1.669
1950-06-01,-1.466
1950-07-01,-1.093
1950-08-01,-0.967
1950-09-01,-1.018
1950-10-01,-0.614
1950-11-01,-1.177
1950-12-01,-0.904
1951-01-01,-0.673
1951-02-01,-0.534
1951-03-01,-0.891
1951-04-01,-0.108
1951-05-01,0.183
1951-06-01,0.589
1951-07-01,1.192
1951-08-01,1.115
1951-09-01,0.67
1951-10-01,0.995
1951-11-01,0.958
1951-12-01,0.616
1952-01-01,0.357
1952-02-01,0.562
1952-03-01,0.113
1952-04-01,0.394
1952-05-01,-0.125
1952-06-01,-0.507
1952-07-01,-0.681
1952-08-01,-0.241
1952-09-01,-0.321
1952-10-01,-0.058
1952-11-01,-0.418
1952-12-01,-0.368
1953-01-01,0.274
1953-02-01,0.476
1953-03-01,0.539
1953-04-01,1.331
1953-05-01,0.621
1953-06-01,0.655
1953-07-01,0.701
1953-08-01,0.422
1953-09-01,0.882
1953-10-01,0.162
1953-11-01,0.349
1953-12-01,-0.111
1954-01-01,0.092
1954-02-01,-0.173
1954-03-01,-0.226
1954-04-01,-1.296
1954-05-01,-1.033
1954-06-01,-1.251
1954-07-01,-1.477
1954-08-01,-1.121
1954-09-01,-1.273
1954-10-01,-1.129
1954-11-01,-1.111
1954-12-01,-1.124
1955-01-01,-1.006
1955-02-01,-0.92
1955-03-01,-1.429
1955-04-01,-1.407
1955-05-01,-1.966
1955-06-01,-1.707
1955-07-01,-1.157
1955-08-01,-1.401
1955-09-01,-1.689
1955-10-01,-1.981
1955-11-01,-2.024
1955-12-01,-1.553
1956-01-01,-1.321
1956-02-01,-0.967
1956-03-01,-1.299
1956-04-01,-1.279
1956-05-01,-1.016
1956-06-01,-1.151
1956-07-01,-1.316
1956-08-01,-1.112
1956-09-01,-1.156
1956-10-01,-0.918
1956-11-01,-0.891
1956-12-01,-0.699
1957-01-01,-0.61
1957-02-01,0.315
1957-03-01,0.589
1957-04-01,0.996
1957-05-01,1.122
1957-06-01,1.332
1957-07-01,1.47
1957-08-01,1.561
1957-09-01,0.884
1957-10-01,0.762
1957-11-01,1.094
1957-12-01,1.234
1958-01-01,1.354
1958-02-01,1.522
1958-03-01,1.381
1958-04-01,1.007
1958-05-01,0.793
1958-06-01,0.692
1958-07-01,0.563
1958-08-01,0.416
1958-09-01,-0.009
1958-10-01,0.161
1958-11-01,0.232
1958-12-01,0.302
1959-01-01,0.417
1959-02-01,0.52
1959-03-01,0.424
1959-04-01,0.658
1959-05-01,0.373
1959-06-01,-0.061
1959-07-01,-0.48
1959-08-01,-0.463
1959-09-01,-0.272
1959-10-01,-0.017
1959-11-01,-0.062
1959-12-01,-0.22
1960-01-01,-0.003
1960-02-01,-0.398
1960-03-01,-0.021
1960-04-01,-0.076
1960-05-01,-0.203
1960-06-01,-0.4
1960-07-01,-0.162
1960-08-01,-0.127
1960-09-01,0.03
1960-10-01,-0.421
1960-11-01,-0.506
1960-12-01,-0.125
1961-01-01,-0.247
1961-02-01,0.123
1961-03-01,-0.302
1961-04-01,-0.068
1961-05-01,-0.211
1961-06-01,0.166
1961-07-01,-0.898
