date,espi
1979-01-01,1.01533
1979-02-01,0.70502
1979-03-01,0.17286
1979-04-01,-0.15151
1979-05-01,-0.09556
1979-06-01,-1.1273
1979-07-01,-0.87678
1979-08-01,0.6585
1979-09-01,-0.36576
1979-10-01,-0.02439
1979-11-01,-0.21269
1979-12-01,0.34097
1980-01-01,-0.73733
1980-02-01,-0.46183
1980-03-01,0.41208
1980-04-01,-0.33693
1980-05-01,0.75912
1980-06-01,-0.13139
1980-07-01,0.5663
1980-08-01,-0.97505
1980-09-01,0.10593
1980-10-01,-0.0855
1980-11-01,0.35061
1980-12-01,-0.83272
1981-01-01,-0.59035
1981-02-01,0.38788
1981-03-01,0.81679
1981-04-01,0.71754
1981-05-01,-0.68481
1981-06-01,-0.49371
1981-07-01,-0.42197
1981-08-01,0.31676
1981-09-01,-0.9103
1981-10-01,-0.57056
1981-11-01,-0.84225
1981-12-01,-0.21343
1982-01-01,-0.66956
1982-02-01,-0.31302
1982-03-01,-0.17107
1982-04-01,-0.16953
1982-05-01,-0.04837
1982-06-01,0.43734
1982-07-01,2.21935
1982-08-01,1.64897
1982-09-01,1.88772
1982-10-01,1.94788
1982-11-01,2.95648
1982-12-01,1.96181
1983-01-01,2.46852
1983-02-01,2.05954
1983-03-01,1.54509
1983-04-01,1.43562
1983-05-01,1.53672
1983-06-01,1.42148
1983-07-01,-1.06271
1983-08-01,-0.05397
1983-09-01,-0.52924
1983-10-01,-0.72171
1983-11-01,-0.56305
1983-12-01,-0.85765
1984-01-01,-1.25177
1984-02-01,-1.33421
1984-03-01,-0.85274
1984-04-01,-1.43883
1984-05-01,-1.61688
1984-06-01,-1.12579
1984-07-01,-0.99987
1984-08-01,-1.28313
1984-09-01,-1.36597
1984-10-01,-0.66674
1984-11-01,0.1103
1984-12-01,-0.6078
1985-01-01,-0.06814
1985-02-01,-0.86248
1985-03-01,0.13296
1985-04-01,-0.87846
1985-05-01,-1.27089
1985-06-01,-0.6511
1985-07-01,-0.50059
1985-08-01,-0.52678
1985-09-01,-0.86167
1985-10-01,-0.51608
1985-11-01,-0.69526
1985-12-01,-0.29472
1986-01-01,-1.19314
1986-02-01,-0.54349
1986-03-01,-1.61581
1986-04-01,-1.0811
1986-05-01,0.21204
1986-06-01,-0.20274
1986-07-01,-0.03018
1986-08-01,0.07082
1986-09-01,0.02135
1986-10-01,0.0767
1986-11-01,0.13686
1986-12-01,1.80845
