date,glaam
1958-01-01,1.29
1958-02-01,0.96
1958-03-01,0.29
1958-04-01,0.14
1958-05-01,-0.2
1958-06-01,-0.33
1958-07-01,-0.9
1958-08-01,-1.15
1958-09-01,-1.36
1958-10-01,-1.22
1958-11-01,-0.42
1958-12-01,0.16
1959-01-01,0.3
1959-02-01,-0.43
1959-03-01,-1.36
1959-04-01,-1.37
1959-05-01,-1.03
1959-06-01,-0.03
1959-07-01,-0.09
1959-08-01,-0.04
1959-09-01,-0.18
1959-10-01,0.17
1959-11-01,0.5
1959-12-01,0.4
1960-01-01,0.12
1960-02-01,-0.14
1960-03-01,-0.36
1960-04-01,-0.34
1960-05-01,-0.94
1960-06-01,-1.25
1960-07-01,-1.58
1960-08-01,-1.67
1960-09-01,-1.35
1960-10-01,-0.89
1960-11-01,-0.06
1960-12-01,-0.03
1961-01-01,-0.38
1961-02-01,-0.58
1961-03-01,-1.07
1961-04-01,-0.79
1961-05-01,-0.81
1961-06-01,-0.0
1961-07-01,0.35
1961-08-01,-0.08
1961-09-01,-0.64
1961-10-01,-1.18
1961-11-01,-0.72
1961-12-01,-0.54
1962-01-01,-0.54
1962-02-01,-0.76
1962-03-01,-0.81
1962-04-01,-0.47
1962-05-01,-0.65
1962-06-01,-0.55
1962-07-01,-0.97
1962-08-01,-1.08
1962-09-01,-1.3
1962-10-01,-1.1
1962-11-01,-0.73
1962-12-01,-1.12
1963-01-01,-1.83
1963-02-01,-2.29
1963-03-01,-1.94
1963-04-01,-1.21
1963-05-01,-0.71
1963-06-01,-0.5
1963-07-01,-0.14
1963-08-01,0.01
1963-09-01,0.19
1963-10-01,-0.03
1963-11-01,-0.03
1963-12-01,0.28
1964-01-01,0.32
1964-02-01,0.1
1964-03-01,-0.8
1964-04-01,-1.01
1964-05-01,-1.07
1964-06-01,-0.93
1964-07-01,-1.36
1964-08-01,-1.86
1964-09-01,-2.0
1964-10-01,-1.69
1964-11-01,-1.53
1964-12-01,-1.43
1965-01-01,-1.65
1965-02-01,-1.47
1965-03-01,-1.56
1965-04-01,-1.46
1965-05-01,-1.39
1965-06-01,-1.2
1965-07-01,-1.05
1965-08-01,-1.03
1965-09-01,-0.92
1965-10-01,-0.85
1965-11-01,-0.97
1965-12-01,-0.76
1966-01-01,-0.89
1966-02-01,-0.91
1966-03-01,-0.93
1966-04-01,-0.52
1966-05-01,-0.37
1966-06-01,-0.44
1966-07-01,-0.35
1966-08-01,-0.05
1966-09-01,0.29
1966-10-01,0.05
1966-11-01,-0.28
1966-12-01,-0.89
1967-01-01,-1.13
1967-02-01,-1.05
1967-03-01,-0.91
1967-04-01,-0.82
1967-05-01,-1.06
1967-06-01,-1.0
1967-07-01,-1.06
1967-08-01,-1.18
1967-09-01,-1.48
1967-10-01,-1.51
1967-11-01,-0.96
1967-12-01,-0.95
1968-01-01,-0.58
1968-02-01,-1.19
1968-03-01,-0.74
1968-04-01,-1.04
1968-05-01,-0.63
1968-06-01,-0.65
1968-07-01,-0.04
1968-08-01,0.16
1968-09-01,-0.04
1968-10-01,-0.3
1968-11-01,-0.2
1968-12-01,0.2
1969-01-01,0.48
1969-02-01,0.96
1969-03-01,1.14
1969-04-01,0.94
1969-05-01,0.65
1969-06-01,0.54
1969-07-01,0.28
1969-08-01,0.46
1969-09-01,0.4
1969-10-01,0.43
1969-11-01,-0.02
1969-12-01,0.35
1970-01-01,0.76
1970-02-01,0.98
1970-03-01,0.34
1970-04-01,-0.42
1970-05-01,-1.03
1970-06-01,-1.32
1970-07-01,-1.62
1970-08-01,-1.95
1970-09-01,-1.89
1970-10-01,-1.27
1970-11-01,-0.85
1970-12-01,-0.75
1971-01-01,-1.45
1971-02-01,-1.63
1971-03-01,-1.77
1971-04-01,-1.04
1971-05-01,-0.74
1971-06-01,-0.32
1971-07-01,-0.35
1971-08-01,-0.4
1971-09-01,-0.47
1971-10-01,-0.26
1971-11-01,-0.36
1971-12-01,-0.35
1972-01-01,-0.41
1972-02-01,-0.09
1972-03-01,-0.08
1972-04-01,-0.05
1972-05-01,0.1
1972-06-01,0.34
1972-07-01,0.12
1972-08-01,-0.12
1972-09-01,-0.73
1972-10-01,-0.92
1972-11-01,-0.76
1972-12-01,-0.46
1973-01-01,-0.0
1973-02-01,-0.17
1973-03-01,-0.41
1973-04-01,-0.77
1973-05-01,-0.63
1973-06-01,-0.15
1973-07-01,0.08
1973-08-01,0.05
1973-09-01,-0.32
1973-10-01,-0.29
1973-11-01,-0.78
1973-12-01,-1.37
1974-01-01,-2.2
1974-02-01,-2.27
1974-03-01,-1.88
1974-04-01,-1.28
1974-05-01,-0.95
1974-06-01,-0.77
1974-07-01,-0.4
1974-08-01,-0.67
1974-09-01,-0.86
1974-10-01,-1.15
1974-11-01,-1.09
1974-12-01,-1.08
1975-01-01,-1.14
1975-02-01,-1.12
1975-03-01,-1.22
1975-04-01,-1.39
1975-05-01,-1.27
1975-06-01,-1.06
1975-07-01,-0.9
1975-08-01,-1.1
1975-09-01,-0.91
1975-10-01,-0.84
1975-11-01,-0.73
1975-12-01,-0.98
1976-01-01,-1.27
1976-02-01,-0.92
1976-03-01,-0.61
1976-04-01,-0.04
1976-05-01,-0.25
1976-06-01,-0.08
1976-07-01,-0.28
1976-08-01,0.36
1976-09-01,0.63
1976-10-01,0.47
1976-11-01,-0.02
1976-12-01,-0.6
1977-01-01,-1.06
1977-02-01,-1.41
1977-03-01,-1.51
1977-04-01,-1.09
1977-05-01,-1.06
1977-06-01,-1.11
1977-07-01,-1.26
1977-08-01,-0.8
1977-09-01,-0.44
1977-10-01,-0.07
1977-11-01,0.34
1977-12-01,0.72
1978-01-01,1.75
1978-02-01,1.75
1978-03-01,1.54
1978-04-01,0.81
1978-05-01,0.17
1978-06-01,-0.07
1978-07-01,-0.27
1978-08-01,-0.26
1978-09-01,-0.22
1978-10-01,-0.2
1978-11-01,0.2
1978-12-01,0.93
1979-01-01,1.04
1979-02-01,0.96
1979-03-01,0.59
1979-04-01,0.7
1979-05-01,0.72
1979-06-01,0.68
1979-07-01,0.78
1979-08-01,0.6
1979-09-01,0.58
1979-10-01,-0.07
1979-11-01,-0.01
1979-12-01,0.13
1980-01-01,0.4
1980-02-01,0.19
1980-03-01,-0.28
1980-04-01,-0.23
1980-05-01,0.05
1980-06-01,0.45
1980-07-01,0.59
1980-08-01,0.87
1980-09-01,0.84
1980-10-01,0.78
1980-11-01,0.53
1980-12-01,0.27
1981-01-01,-0.04
1981-02-01,0.28
1981-03-01,0.58
1981-04-01,0.94
1981-05-01,0.83
1981-06-01,0.2
1981-07-01,0.01
1981-08-01,-0.56
1981-09-01,-0.33
1981-10-01,-0.58
1981-11-01,-0.44
1981-12-01,-0.56
1982-01-01,-0.42
1982-02-01,-0.56
1982-03-01,-0.19
1982-04-01,0.1
1982-05-01,0.88
1982-06-01,1.14
1982-07-01,1.18
1982-08-01,1.18
1982-09-01,0.98
1982-10-01,1.17
1982-11-01,1.29
1982-12-01,2.24
1983-01-01,3.31
1983-02-01,3.82
1983-03-01,3.28
1983-04-01,2.24
1983-05-01,1.77
1983-06-01,1.38
1983-07-01,1.29
1983-08-01,0.46
1983-09-01,0.02
1983-10-01,-0.12
1983-11-01,-0.18
1983-12-01,-0.73
1984-01-01,-1.9
1984-02-01,-2.31
1984-03-01,-2.16
1984-04-01,-1.75
1984-05-01,-1.83
1984-06-01,-1.89
1984-07-01,-1.46
1984-08-01,-0.96
1984-09-01,-0.49
1984-10-01,-0.64
1984-11-01,-0.92
1984-12-01,-0.93
1985-01-01,-1.13
1985-02-01,-0.54
1985-03-01,-0.45
1985-04-01,0.13
1985-05-01,0.28
1985-06-01,0.25
1985-07-01,0.08
1985-08-01,-0.21
1985-09-01,0.45
1985-10-01,0.87
1985-11-01,1.02
1985-12-01,0.39
1986-01-01,0.15
1986-02-01,-0.6
1986-03-01,-0.65
1986-04-01,-0.76
1986-05-01,-0.46
1986-06-01,-0.17
1986-07-01,-0.06
1986-08-01,0.29
1986-09-01,0.4
1986-10-01,0.09
1986-11-01,-0.12
1986-12-01,-0.49
1987-01-01,-0.15
1987-02-01,0.39
1987-03-01,0.51
