date,indiamon
1948-01-01,318
1948-02-01,58
1948-03-01,37
1948-04-01,22
1948-05-01,17
1948-06-01,1395
1948-07-01,3210
1948-08-01,2603
1948-09-01,1721
1948-10-01,280
1948-11-01,840
1948-12-01,5
1949-01-01,10
1949-02-01,18
1949-03-01,5
1949-04-01,16
1949-05-01,295
1949-06-01,1094
1949-07-01,3198
1949-08-01,1696
1949-09-01,3067
1949-10-01,595
1949-11-01,20
1949-12-01,0
1950-01-01,17
1950-02-01,50
1950-03-01,85
1950-04-01,15
1950-05-01,85
1950-06-01,584
1950-07-01,3985
1950-08-01,1506
1950-09-01,2418
1950-10-01,196
1950-11-01,4
1950-12-01,83
1951-01-01,34
1951-02-01,12
1951-03-01,108
1951-04-01,68
1951-05-01,93
1951-06-01,1218
1951-07-01,2536
1951-08-01,1880
1951-09-01,746
1951-10-01,627
1951-11-01,120
1951-12-01,0
1952-01-01,4
1952-02-01,78
1952-03-01,17
1952-04-01,48
1952-05-01,86
1952-06-01,1691
1952-07-01,3401
1952-08-01,1958
1952-09-01,572
1952-10-01,242
1952-11-01,0
1952-12-01,35
1953-01-01,150
1953-02-01,6
1953-03-01,0
1953-04-01,106
1953-05-01,12
1953-06-01,1408
1953-07-01,2822
1953-08-01,3087
1953-09-01,1290
1953-10-01,402
1953-11-01,0
1953-12-01,1
1954-01-01,55
1954-02-01,85
1954-03-01,88
1954-04-01,34
1954-05-01,32
1954-06-01,1293
1954-07-01,3657
1954-08-01,2073
1954-09-01,3552
1954-10-01,208
1954-11-01,2
1954-12-01,30
1955-01-01,145
1955-02-01,13
1955-03-01,22
1955-04-01,56
1955-05-01,83
1955-06-01,1873
1955-07-01,1716
1955-08-01,4057
1955-09-01,2493
1955-10-01,1268
1955-11-01,25
1955-12-01,0
1956-01-01,60
1956-02-01,6
1956-03-01,41
1956-04-01,30
1956-05-01,540
1956-06-01,1510
1956-07-01,4321
1956-08-01,2518
1956-09-01,1601
1956-10-01,1128
1956-11-01,357
1956-12-01,56
1957-01-01,116
1957-02-01,6
1957-03-01,261
1957-04-01,150
1957-05-01,151
1957-06-01,1363
1957-07-01,2657
1957-08-01,3016
1957-09-01,961
1957-10-01,390
1957-11-01,101
1957-12-01,6
1958-01-01,34
1958-02-01,6
1958-03-01,51
1958-04-01,74
1958-05-01,96
1958-06-01,1196
1958-07-01,3607
1958-08-01,3336
1958-09-01,2271
1958-10-01,530
1958-11-01,202
1958-12-01,4
1959-01-01,126
1959-02-01,29
1959-03-01,2
1959-04-01,79
1959-05-01,247
1959-06-01,1436
1959-07-01,3830
