date,ipotpi.hadisst2
1870-01-01,-1.2
1870-02-01,-0.87
1870-03-01,-1.03
1870-04-01,-0.83
1870-05-01,-1.55
1870-06-01,-1.38
1870-07-01,-1.15
1870-08-01,-0.59
1870-09-01,-0.56
1870-10-01,-1.29
1870-11-01,-1.24
1870-12-01,-0.46
1871-01-01,-0.16
1871-02-01,-0.68
1871-03-01,-0.66
1871-04-01,-0.63
1871-05-01,-0.33
1871-06-01,-0.49
1871-07-01,0.29
1871-08-01,-0.15
1871-09-01,-0.06
1871-10-01,0.0
1871-11-01,-0.09
1871-12-01,0.51
1872-01-01,0.24
1872-02-01,0.22
1872-03-01,0.45
1872-04-01,-0.09
1872-05-01,-0.27
1872-06-01,-0.08
1872-07-01,-0.4
1872-08-01,-0.71
1872-09-01,-0.88
1872-10-01,-0.66
1872-11-01,-1.09
1872-12-01,-0.72
1873-01-01,-0.82
1873-02-01,-1.29
1873-03-01,-1.08
1873-04-01,-0.72
1873-05-01,-0.36
1873-06-01,-0.73
1873-07-01,-1.31
1873-08-01,-1.14
1873-09-01,-0.45
1873-10-01,-0.69
1873-11-01,-0.61
1873-12-01,-0.31
1874-01-01,-0.31
1874-02-01,-0.91
1874-03-01,-1.16
1874-04-01,-0.93
1874-05-01,0.03
1874-06-01,-0.82
1874-07-01,-0.58
1874-08-01,-1.45
1874-09-01,-1.25
1874-10-01,-1.25
1874-11-01,-1.47
1874-12-01,-0.95
1875-01-01,-0.37
1875-02-01,-0.34
1875-03-01,-0.44
1875-04-01,-0.58
1875-05-01,-0.82
1875-06-01,-0.77
1875-07-01,-0.65
1875-08-01,-0.88
1875-09-01,-1.26
1875-10-01,-0.76
1875-11-01,-0.62
1875-12-01,-0.73
1876-01-01,-1.03
1876-02-01,-1.45
1876-03-01,-1.05
1876-04-01,-1.16
1876-05-01,-0.21
1876-06-01,-0.8
1876-07-01,-0.52
1876-08-01,-0.39
1876-09-01,-0.88
1876-10-01,0.23
1876-11-01,0.66
1876-12-01,0.8
1877-01-01,0.63
1877-02-01,0.54
1877-03-01,0.52
1877-04-01,0.96
1877-05-01,0.19
1877-06-01,1.36
1877-07-01,1.64
1877-08-01,2.34
1877-09-01,1.89
1877-10-01,2.08
1877-11-01,2.56
1877-12-01,2.08
1878-01-01,1.83
1878-02-01,1.84
1878-03-01,2.09
1878-04-01,0.83
1878-05-01,0.95
1878-06-01,0.93
1878-07-01,0.71
1878-08-01,0.18
1878-09-01,-0.27
1878-10-01,-0.59
1878-11-01,-0.5
1878-12-01,-0.21
1879-01-01,-1.03
1879-02-01,-0.44
1879-03-01,-0.69
1879-04-01,-0.32
1879-05-01,-0.49
1879-06-01,-1.01
1879-07-01,-0.86
1879-08-01,-0.88
1879-09-01,-1.15
1879-10-01,-1.48
1879-11-01,-1.23
1879-12-01,-0.87
1880-01-01,-2.21
1880-02-01,-0.9
1880-03-01,-0.85
1880-04-01,-0.85
1880-05-01,-1.34
1880-06-01,-0.64
1880-07-01,-0.74
1880-08-01,-0.21
1880-09-01,-0.82
1880-10-01,-0.12
1880-11-01,0.02
1880-12-01,0.6
1881-01-01,0.56
1881-02-01,0.17
1881-03-01,0.2
1881-04-01,0.1
1881-05-01,0.2
1881-06-01,0.54
1881-07-01,0.41
1881-08-01,-0.13
1881-09-01,0.26
1881-10-01,-0.16
1881-11-01,-0.11
1881-12-01,-0.46
1882-01-01,-0.66
1882-02-01,-0.49
1882-03-01,-0.13
1882-04-01,-0.1
1882-05-01,-0.01
1882-06-01,-0.05
1882-07-01,-0.68
1882-08-01,-0.73
1882-09-01,-0.15
1882-10-01,-0.29
1882-11-01,-0.48
1882-12-01,-1.05
1883-01-01,-0.74
1883-02-01,-0.43
1883-03-01,0.19
1883-04-01,0.4
1883-05-01,0.63
1883-06-01,0.13
1883-07-01,-0.15
1883-08-01,-0.8
1883-09-01,-0.5
1883-10-01,-0.05
1883-11-01,0.53
1883-12-01,-0.09
1884-01-01,-0.34
1884-02-01,0.63
1884-03-01,0.15
1884-04-01,-0.03
1884-05-01,0.52
1884-06-01,0.52
1884-07-01,0.32
1884-08-01,0.8
