date,meiv2
1979-01-01,0.47
1979-02-01,0.26
1979-03-01,-0.08
1979-04-01,0.2
1979-05-01,0.27
1979-06-01,-0.15
1979-07-01,-0.14
1979-08-01,0.44
1979-09-01,0.38
1979-10-01,0.24
1979-11-01,0.52
1979-12-01,0.65
1980-01-01,0.35
1980-02-01,0.19
1980-03-01,0.41
1980-04-01,0.59
1980-05-01,0.55
1980-06-01,0.62
1980-07-01,0.62
1980-08-01,0.15
1980-09-01,0.2
1980-10-01,0.09
1980-11-01,-0.03
1980-12-01,-0.06
1981-01-01,-0.33
1981-02-01,-0.24
1981-03-01,0.33
1981-04-01,0.4
1981-05-01,-0.27
1981-06-01,-0.6
1981-07-01,-0.51
1981-08-01,-0.31
1981-09-01,-0.01
1981-10-01,-0.1
1981-11-01,-0.22
1981-12-01,-0.16
1982-01-01,-0.39
1982-02-01,-0.47
1982-03-01,-0.28
1982-04-01,-0.34
1982-05-01,-0.03
1982-06-01,0.78
1982-07-01,1.79
1982-08-01,2.02
1982-09-01,1.82
1982-10-01,1.93
1982-11-01,2.28
1982-12-01,2.48
1983-01-01,2.57
1983-02-01,2.74
1983-03-01,2.68
1983-04-01,2.79
1983-05-01,2.89
1983-06-01,2.02
1983-07-01,0.75
1983-08-01,-0.11
1983-09-01,-0.41
1983-10-01,-0.43
1983-11-01,-0.43
1983-12-01,-0.43
1984-01-01,-0.5
1984-02-01,-0.52
1984-03-01,-0.11
1984-04-01,0.08
1984-05-01,-0.47
1984-06-01,-0.72
1984-07-01,-0.31
1984-08-01,-0.15
1984-09-01,-0.11
1984-10-01,-0.15
1984-11-01,-0.58
1984-12-01,-0.31
1985-01-01,-0.25
1985-02-01,-0.58
1985-03-01,-0.6
1985-04-01,-0.76
1985-05-01,-1.22
1985-06-01,-0.57
1985-07-01,-0.02
1985-08-01,-0.37
1985-09-01,-0.44
1985-10-01,-0.04
1985-11-01,0.0
1985-12-01,-0.34
1986-01-01,-0.36
1986-02-01,-0.3
1986-03-01,-0.39
1986-04-01,-0.53
1986-05-01,-0.18
1986-06-01,0.12
1986-07-01,0.56
1986-08-01,1.05
1986-09-01,1.31
1986-10-01,0.57
1986-11-01,0.65
1986-12-01,1.06
1987-01-01,0.98
1987-02-01,1.08
1987-03-01,1.47
1987-04-01,1.66
1987-05-01,1.91
