date,nao
1948-01-01,
1948-02-01,
1948-03-01,
1948-04-01,
1948-05-01,
1948-06-01,
1948-07-01,
1948-08-01,
1948-09-01,
1948-10-01,
1948-11-01,
1948-12-01,
1949-01-01,
1949-02-01,
1949-03-01,
1949-04-01,
1949-05-01,
1949-06-01,
1949-07-01,
1949-08-01,
1949-09-01,
1949-10-01,
1949-11-01,
1949-12-01,
1950-01-01,0.56
1950-02-01,0.01
1950-03-01,-0.78
1950-04-01,0.65
1950-05-01,-0.5
1950-06-01,0.25
1950-07-01,-1.23
1950-08-01,-0.19
1950-09-01,0.39
1950-10-01,1.43
1950-11-01,-1.46
1950-12-01,-1.03
1951-01-01,-0.42
1951-02-01,0.35
1951-03-01,-1.47
1951-04-01,-0.38
1951-05-01,-0.5
1951-06-01,-1.35
1951-07-01,1.39
1951-08-01,-0.41
1951-09-01,-1.18
1951-10-01,2.54
1951-11-01,-0.54
1951-12-01,1.13
1952-01-01,0.57
1952-02-01,-1.38
1952-03-01,-1.97
1952-04-01,0.95
1952-05-01,-0.99
1952-06-01,-0.1
1952-07-01,-0.06
1952-08-01,-0.49
1952-09-01,-0.38
1952-10-01,-0.28
1952-11-01,-1.32
1952-12-01,-0.49
1953-01-01,-0.12
1953-02-01,-1.0
1953-03-01,-0.45
1953-04-01,-1.96
1953-05-01,-0.56
1953-06-01,1.41
1953-07-01,0.43
1953-08-01,-1.04
1953-09-01,-0.19
1953-10-01,1.95
1953-11-01,0.96
1953-12-01,-0.52
1954-01-01,-0.08
1954-02-01,0.4
1954-03-01,-1.27
1954-04-01,1.31
1954-05-01,-0.03
1954-06-01,0.06
1954-07-01,-0.57
1954-08-01,-2.57
1954-09-01,-0.28
1954-10-01,1.16
1954-11-01,0.29
1954-12-01,0.55
1955-01-01,-2.65
1955-02-01,-1.71
1955-03-01,-0.96
1955-04-01,-0.6
1955-05-01,-0.26
1955-06-01,-0.8
1955-07-01,1.78
1955-08-01,1.25
1955-09-01,0.46
1955-10-01,-1.09
1955-11-01,-1.49
1955-12-01,0.07
1956-01-01,-0.76
1956-02-01,-1.71
1956-03-01,-0.46
1956-04-01,-1.3
1956-05-01,2.1
1956-06-01,0.41
1956-07-01,-0.72
1956-08-01,-1.89
1956-09-01,0.38
1956-10-01,1.47
1956-11-01,0.4
1956-12-01,0.0
1957-01-01,0.71
1957-02-01,-0.32
1957-03-01,-1.73
1957-04-01,0.39
1957-05-01,-0.68
1957-06-01,-0.42
1957-07-01,-1.16
1957-08-01,-0.83
1957-09-01,-1.47
1957-10-01,1.95
1957-11-01,0.63
1957-12-01,0.02
1958-01-01,-1.14
1958-02-01,-1.64
1958-03-01,-2.46
1958-04-01,0.26
1958-05-01,-0.17
1958-06-01,-1.08
1958-07-01,-1.69
1958-08-01,-2.13
1958-09-01,0.08
1958-10-01,0.68
1958-11-01,1.59
1958-12-01,-0.74
1959-01-01,-1.52
1959-02-01,0.33
1959-03-01,-0.56
1959-04-01,0.25
1959-05-01,0.41
1959-06-01,0.71
1959-07-01,0.77
1959-08-01,-0.05
1959-09-01,1.0
1959-10-01,1.48
1959-11-01,0.3
1959-12-01,0.32
1960-01-01,-2.01
1960-02-01,-2.59
1960-03-01,-0.93
1960-04-01,1.33
1960-05-01,0.47
1960-06-01,0.1
1960-07-01,0.38
1960-08-01,-1.93
1960-09-01,0.53
1960-10-01,-1.37
1960-11-01,-0.67
1960-12-01,-0.03
1961-01-01,-0.03
1961-02-01,0.07
1961-03-01,0.17
1961-04-01,-1.83
1961-05-01,-0.28
1961-06-01,1.17
1961-07-01,-0.36
1961-08-01,1.03
1961-09-01,1.36
1961-10-01,1.07
1961-11-01,-0.79
1961-12-01,-1.46
1962-01-01,0.2
1962-02-01,0.18
1962-03-01,-2.99
1962-04-01,0.93
1962-05-01,-0.04
1962-06-01,0.47
1962-07-01,-2.43
1962-08-01,0.05
1962-09-01,-0.21
1962-10-01,0.96
1962-11-01,-0.38
1962-12-01,-1.31
1963-01-01,-2.98
1963-02-01,-1.53
1963-03-01,-0.85
1963-04-01,-1.61
1963-05-01,2.05
1963-06-01,-0.13
1963-07-01,-0.74
1963-08-01,-0.95
1963-09-01,1.89
1963-10-01,1.53
1963-11-01,-1.47
1963-12-01,-1.87
1964-01-01,-1.62
1964-02-01,-2.06
1964-03-01,-1.66
1964-04-01,0.25
1964-05-01,0.53
1964-06-01,1.61
1964-07-01,1.92
1964-08-01,-2.4
1964-09-01,0.34
1964-10-01,1.32
1964-11-01,-0.14
1964-12-01,-0.23
1965-01-01,-0.65
1965-02-01,-2.2
1965-03-01,-1.99
1965-04-01,0.64
1965-05-01,-0.52
1965-06-01,0.6
1965-07-01,0.35
1965-08-01,0.45
1965-09-01,0.51
1965-10-01,0.92
1965-11-01,-1.88
1965-12-01,1.18
1966-01-01,-2.54
1966-02-01,-2.02
1966-03-01,0.18
1966-04-01,-0.96
1966-05-01,0.25
1966-06-01,1.37
1966-07-01,0.35
1966-08-01,-2.39
1966-09-01,-0.29
1966-10-01,-0.23
1966-11-01,-0.18
1966-12-01,0.58
1967-01-01,-1.55
1967-02-01,-0.23
1967-03-01,1.18
1967-04-01,0.05
1967-05-01,-0.87
1967-06-01,1.72
1967-07-01,0.44
1967-08-01,1.73
1967-09-01,1.05
1967-10-01,0.59
1967-11-01,0.5
1967-12-01,-0.51
1968-01-01,-0.36
1968-02-01,-1.91
1968-03-01,0.02
1968-04-01,-1.32
1968-05-01,-1.58
1968-06-01,0.64
1968-07-01,-0.77
1968-08-01,-0.97
1968-09-01,-1.73
1968-10-01,-1.99
1968-11-01,-1.11
1968-12-01,-1.39
1969-01-01,-1.48
