date,noi
1948-01-01,0.971
1948-02-01,4.704
1948-03-01,-0.896
1948-04-01,-3.557
1948-05-01,-1.479
1948-06-01,-2.252
1948-07-01,-1.277
1948-08-01,0.96
1948-09-01,0.369
1948-10-01,-0.315
1948-11-01,5.021
1948-12-01,2.2
1949-01-01,5.43
1949-02-01,4.361
1949-03-01,-1.439
1949-04-01,-0.154
1949-05-01,-1.666
1949-06-01,-1.579
1949-07-01,-0.048
1949-08-01,0.707
1949-09-01,-0.233
1949-10-01,3.522
1949-11-01,-0.836
1949-12-01,4.214
1950-01-01,2.644
1950-02-01,2.077
1950-03-01,3.091
1950-04-01,1.923
1950-05-01,2.211
1950-06-01,1.014
1950-07-01,-0.336
1950-08-01,-0.236
1950-09-01,0.17
1950-10-01,-2.54
1950-11-01,0.483
1950-12-01,-1.545
1951-01-01,2.702
1951-02-01,1.878
1951-03-01,3.103
1951-04-01,-3.88
1951-05-01,-2.213
1951-06-01,-0.903
1951-07-01,-0.336
1951-08-01,-0.872
1951-09-01,-1.36
1951-10-01,0.21
1951-11-01,-1.165
1951-12-01,-0.464
1952-01-01,-1.444
1952-02-01,2.156
1952-03-01,1.74
1952-04-01,-1.652
1952-05-01,0.535
1952-06-01,0.015
1952-07-01,-0.538
1952-08-01,1.034
1952-09-01,0.375
1952-10-01,0.623
1952-11-01,1.179
1952-12-01,-2.297
1953-01-01,1.742
1953-02-01,7.614
1953-03-01,2.595
1953-04-01,-0.952
1953-05-01,-0.631
1953-06-01,1.682
1953-07-01,0.185
1953-08-01,0.197
1953-09-01,-0.722
1953-10-01,1.669
1953-11-01,-0.853
1953-12-01,6.026
1954-01-01,0.5
1954-02-01,1.101
1954-03-01,-1.303
1954-04-01,0.761
1954-05-01,-1.173
1954-06-01,0.498
1954-07-01,0.403
1954-08-01,1.899
1954-09-01,1.242
1954-10-01,0.072
1954-11-01,-0.26
1954-12-01,0.949
1955-01-01,2.308
1955-02-01,7.473
1955-03-01,4.596
1955-04-01,1.63
1955-05-01,3.862
1955-06-01,1.871
1955-07-01,1.333
1955-08-01,1.983
1955-09-01,1.979
1955-10-01,2.494
1955-11-01,3.016
1955-12-01,-3.548
1956-01-01,-2.126
1956-02-01,5.06
1956-03-01,5.191
1956-04-01,0.577
1956-05-01,1.273
1956-06-01,2.335
1956-07-01,2.644
1956-08-01,3.112
1956-09-01,0.005
1956-10-01,3.177
1956-11-01,5.012
1956-12-01,6.564
1957-01-01,0.984
1957-02-01,-3.795
1957-03-01,-0.273
1957-04-01,-0.869
1957-05-01,-4.281
1957-06-01,-0.776
1957-07-01,0.644
1957-08-01,1.251
1957-09-01,-3.812
1957-10-01,-3.018
1957-11-01,1.107
1957-12-01,-0.04
1958-01-01,-2.567
1958-02-01,-10.78
1958-03-01,-5.996
1958-04-01,0.264
1958-05-01,-4.307
1958-06-01,-0.981
1958-07-01,-0.842
1958-08-01,1.019
1958-09-01,0.491
1958-10-01,-0.19
1958-11-01,1.675
1958-12-01,-0.327
1959-01-01,-0.619
1959-02-01,-2.56
1959-03-01,5.528
1959-04-01,-1.337
1959-05-01,1.44
1959-06-01,-1.197
1959-07-01,-0.252
1959-08-01,-0.814
1959-09-01,2.204
1959-10-01,-0.219
1959-11-01,2.88
1959-12-01,1.26
1960-01-01,-0.874
1960-02-01,1.976
1960-03-01,1.287
1960-04-01,1.317
1960-05-01,1.021
1960-06-01,-0.536
1960-07-01,0.222
1960-08-01,1.076
1960-09-01,2.478
1960-10-01,-0.016
1960-11-01,-0.192
1960-12-01,1.775
1961-01-01,-1.773
1961-02-01,6.931
1961-03-01,-0.312
1961-04-01,2.374
1961-05-01,1.822
1961-06-01,0.045
1961-07-01,0.17
1961-08-01,1.561
1961-09-01,1.284
1961-10-01,2.587
1961-11-01,-0.486
1961-12-01,3.942
1962-01-01,6.315
1962-02-01,-3.386
1962-03-01,-0.668
1962-04-01,2.794
1962-05-01,2.789
1962-06-01,1.669
1962-07-01,2.331
1962-08-01,0.312
1962-09-01,1.238
1962-10-01,0.217
1962-11-01,3.053
1962-12-01,-0.706
1963-01-01,2.157
1963-02-01,-2.644
1963-03-01,1.516
1963-04-01,-0.751
1963-05-01,0.777
1963-06-01,0.473
1963-07-01,-1.075
1963-08-01,1.156
1963-09-01,-3.54
1963-10-01,-2.38
1963-11-01,-2.134
1963-12-01,-0.291
1964-01-01,4.083
1964-02-01,5.869
1964-03-01,3.748
1964-04-01,4.372
1964-05-01,2.444
1964-06-01,0.674
1964-07-01,1.286
1964-08-01,0.694
1964-09-01,3.875
1964-10-01,-0.211
1964-11-01,1.038
1964-12-01,-0.178
1965-01-01,1.544
1965-02-01,4.769
1965-03-01,0.574
1965-04-01,-3.427
1965-05-01,3.785
1965-06-01,-0.584
1965-07-01,-1.284
1965-08-01,-1.344
1965-09-01,-0.285
1965-10-01,-0.636
1965-11-01,-7.802
1965-12-01,-1.142
1966-01-01,-0.281
1966-02-01,0.768
1966-03-01,0.258
1966-04-01,-0.985
1966-05-01,-1.6
1966-06-01,-0.606
1966-07-01,-0.095
1966-08-01,0.336
1966-09-01,-0.847
1966-10-01,1.222
1966-11-01,-3.075
1966-12-01,-0.58
1967-01-01,2.648
1967-02-01,5.8
1967-03-01,-0.51
1967-04-01,-1.076
1967-05-01,2.152
1967-06-01,-0.708
1967-07-01,1.402
1967-08-01,-0.237
1967-09-01,-2.309
1967-10-01,0.855
1967-11-01,-3.208
1967-12-01,1.122
1968-01-01,1.88
1968-02-01,-4.044
1968-03-01,-0.36
1968-04-01,3.323
1968-05-01,0.847
1968-06-01,1.135
1968-07-01,1.551
1968-08-01,0.229
1968-09-01,0.184
1968-10-01,-0.473
1968-11-01,-0.465
1968-12-01,-2.024
1969-01-01,-5.651
1969-02-01,-5.94
1969-03-01,1.666
1969-04-01,-1.301
1969-05-01,-2.049
1969-06-01,-2.288
1969-07-01,0.632
1969-08-01,-0.835
1969-09-01,-0.444
1969-10-01,-1.483
1969-11-01,-1.27
1969-12-01,-2.027
1970-01-01,-4.9
1970-02-01,-3.812
1970-03-01,1.829
1970-04-01,4.095
1970-05-01,2.671
1970-06-01,-0.026
1970-07-01,-0.264
1970-08-01,0.458
1970-09-01,2.21
1970-10-01,-0.142
1970-11-01,-3.005
1970-12-01,1.076
1971-01-01,5.065
1971-02-01,7.349
1971-03-01,3.831
1971-04-01,2.526
1971-05-01,2.057
1971-06-01,0.491
1971-07-01,1.12
1971-08-01,-0.427
1971-09-01,0.79
1971-10-01,3.652
1971-11-01,3.086
1971-12-01,2.492
1972-01-01,4.455
1972-02-01,1.071
1972-03-01,1.899
1972-04-01,-0.093
1972-05-01,-1.278
1972-06-01,-1.259
1972-07-01,-1.687
1972-08-01,-1.633
1972-09-01,-0.636
1972-10-01,-2.359
1972-11-01,-1.25
1972-12-01,-0.2
