date,np
1948-01-01,1009.12
1948-02-01,1014.0
1948-03-01,1016.66
1948-04-01,1020.68
1948-05-01,1016.02
1948-06-01,1015.45
1948-07-01,1017.24
1948-08-01,1017.84
1948-09-01,1015.48
1948-10-01,1010.82
1948-11-01,1010.59
1948-12-01,1014.17
1949-01-01,1012.0
1949-02-01,1010.89
1949-03-01,1006.94
1949-04-01,1013.55
1949-05-01,1015.5
1949-06-01,1016.56
1949-07-01,1018.76
1949-08-01,1017.02
1949-09-01,1013.08
1949-10-01,1012.41
1949-11-01,1008.08
1949-12-01,1010.48
1950-01-01,1014.87
1950-02-01,1010.4
1950-03-01,1008.13
1950-04-01,1015.49
1950-05-01,1015.47
1950-06-01,1015.51
1950-07-01,1016.23
1950-08-01,1012.76
1950-09-01,1012.62
1950-10-01,1010.76
1950-11-01,1016.37
1950-12-01,1007.97
1951-01-01,1008.32
1951-02-01,1011.16
1951-03-01,1015.69
1951-04-01,1011.91
1951-05-01,1012.74
1951-06-01,1014.2
1951-07-01,1017.91
1951-08-01,1016.23
1951-09-01,1012.42
1951-10-01,1011.47
1951-11-01,1009.47
1951-12-01,1013.85
1952-01-01,1010.38
1952-02-01,1007.72
1952-03-01,1014.06
1952-04-01,1013.69
1952-05-01,1015.81
1952-06-01,1014.48
1952-07-01,1018.43
1952-08-01,1016.99
1952-09-01,1014.38
1952-10-01,1012.42
1952-11-01,1008.9
1952-12-01,1003.78
1953-01-01,1002.53
1953-02-01,1008.16
1953-03-01,1014.61
1953-04-01,1010.4
1953-05-01,1013.4
1953-06-01,1017.13
1953-07-01,1018.2
1953-08-01,1016.7
1953-09-01,1015.67
1953-10-01,1010.53
1953-11-01,1005.94
1953-12-01,1008.12
1954-01-01,1010.84
1954-02-01,1007.36
1954-03-01,1016.82
1954-04-01,1017.54
1954-05-01,1013.66
1954-06-01,1013.36
1954-07-01,1018.15
1954-08-01,1016.84
1954-09-01,1015.01
1954-10-01,1010.67
1954-11-01,1005.62
1954-12-01,1011.77
1955-01-01,1007.1
1955-02-01,1015.4
1955-03-01,1016.18
1955-04-01,1016.59
1955-05-01,1014.88
1955-06-01,1015.61
1955-07-01,1016.98
1955-08-01,1018.18
1955-09-01,1016.16
1955-10-01,1013.07
1955-11-01,1013.02
1955-12-01,1011.47
1956-01-01,1010.2
1956-02-01,1012.86
1956-03-01,1013.95
1956-04-01,1014.2
1956-05-01,1013.64
1956-06-01,1015.27
1956-07-01,1018.8
1956-08-01,1015.04
1956-09-01,1013.9
1956-10-01,1016.21
1956-11-01,1010.96
1956-12-01,1007.56
1957-01-01,1013.8
1957-02-01,1011.3
1957-03-01,1007.93
1957-04-01,1014.95
1957-05-01,1011.94
1957-06-01,1012.76
1957-07-01,1018.57
1957-08-01,1016.29
1957-09-01,1011.65
1957-10-01,1010.73
1957-11-01,1008.59
1957-12-01,1012.35
1958-01-01,1001.04
1958-02-01,1002.69
1958-03-01,1014.45
1958-04-01,1012.54
1958-05-01,1013.81
1958-06-01,1014.54
1958-07-01,1016.45
1958-08-01,1016.55
1958-09-01,1014.04
1958-10-01,1014.63
1958-11-01,1011.24
1958-12-01,1005.69
1959-01-01,1008.4
1959-02-01,1013.36
1959-03-01,1012.83
1959-04-01,1016.05
1959-05-01,1014.96
