date,oni
1950-01-01,-1.53
1950-02-01,-0.68
1950-03-01,-0.43
1950-04-01,-0.15
1950-05-01,0.16
1950-06-01,0.48
1950-07-01,0.77
1950-08-01,1.07
1950-09-01,1.32
1950-10-01,1.56
1950-11-01,1.78
1950-12-01,1.92
1951-01-01,-0.82
1951-02-01,1.8
1951-03-01,-0.17
1951-04-01,0.18
1951-05-01,0.36
1951-06-01,0.58
1951-07-01,0.7
1951-08-01,0.89
1951-09-01,0.99
1951-10-01,1.15
1951-11-01,1.04
1951-12-01,0.81
1952-01-01,0.53
1952-02-01,0.37
1952-03-01,0.34
1952-04-01,0.29
1952-05-01,0.2
1952-06-01,0.0
1952-07-01,-0.08
1952-08-01,0.0
1952-09-01,0.15
1952-10-01,0.1
1952-11-01,0.04
1952-12-01,0.15
1953-01-01,0.4
1953-02-01,0.6
1953-03-01,0.63
1953-04-01,0.66
1953-05-01,0.75
1953-06-01,0.77
1953-07-01,0.75
1953-08-01,0.73
1953-09-01,0.78
1953-10-01,0.84
1953-11-01,0.84
1953-12-01,0.81
1954-01-01,0.76
1954-02-01,0.47
1954-03-01,-0.05
1954-04-01,-0.41
1954-05-01,-0.54
1954-06-01,-0.5
1954-07-01,-0.64
1954-08-01,-0.84
1954-09-01,-0.9
1954-10-01,-0.77
1954-11-01,-0.73
1954-12-01,-0.66
1955-01-01,-0.68
1955-02-01,-0.62
1955-03-01,-0.69
1955-04-01,-0.8
1955-05-01,-0.79
1955-06-01,-0.72
1955-07-01,-0.68
1955-08-01,-0.75
1955-09-01,-1.09
1955-10-01,-1.42
1955-11-01,-1.67
1955-12-01,-1.47
1956-01-01,-1.11
1956-02-01,-0.76
1956-03-01,-0.63
1956-04-01,-0.54
1956-05-01,-0.52
1956-06-01,-0.51
1956-07-01,-0.57
1956-08-01,-0.55
1956-09-01,-0.46
1956-10-01,-0.42
1956-11-01,-0.43
1956-12-01,-0.43
1957-01-01,-0.25
1957-02-01,0.06
1957-03-01,0.41
1957-04-01,0.72
1957-05-01,0.92
1957-06-01,1.11
1957-07-01,1.25
1957-08-01,1.32
1957-09-01,1.33
1957-10-01,1.39
1957-11-01,1.53
1957-12-01,1.74
1958-01-01,1.81
1958-02-01,1.66
1958-03-01,1.27
1958-04-01,0.93
1958-05-01,0.74
1958-06-01,0.64
1958-07-01,0.57
1958-08-01,0.43
1958-09-01,0.39
1958-10-01,0.44
1958-11-01,0.5
1958-12-01,0.61
1959-01-01,0.61
1959-02-01,0.62
1959-03-01,0.52
1959-04-01,0.33
1959-05-01,0.2
1959-06-01,-0.07
1959-07-01,-0.18
1959-08-01,-0.28
1959-09-01,-0.09
1959-10-01,-0.03
1959-11-01,0.05
1959-12-01,-0.04
1960-01-01,-0.1
1960-02-01,-0.1
1960-03-01,-0.07
1960-04-01,0.03
1960-05-01,0.02
1960-06-01,0.03
1960-07-01,0.13
1960-08-01,0.24
1960-09-01,0.27
1960-10-01,0.2
1960-11-01,0.12
1960-12-01,0.05
1961-01-01,0.04
1961-02-01,0.03
1961-03-01,0.04
1961-04-01,0.09
1961-05-01,0.23
1961-06-01,0.27
1961-07-01,0.14
