date,pdo
1948-01-01,-0.11
1948-02-01,-0.74
1948-03-01,-0.03
1948-04-01,-1.33
1948-05-01,-0.23
1948-06-01,0.08
1948-07-01,-0.92
1948-08-01,-1.56
1948-09-01,-1.74
1948-10-01,-1.32
1948-11-01,-0.89
1948-12-01,-1.7
1949-01-01,-2.01
1949-02-01,-3.6
1949-03-01,-1.0
1949-04-01,-0.53
1949-05-01,-1.07
1949-06-01,-0.7
1949-07-01,-0.56
1949-08-01,-1.3
1949-09-01,-0.93
1949-10-01,-1.41
1949-11-01,-0.83
1949-12-01,-0.8
1950-01-01,-2.13
1950-02-01,-2.91
1950-03-01,-1.13
1950-04-01,-1.2
1950-05-01,-2.23
1950-06-01,-1.77
1950-07-01,-2.93
1950-08-01,-0.7
1950-09-01,-2.14
1950-10-01,-1.36
1950-11-01,-2.46
1950-12-01,-0.76
1951-01-01,-1.54
1951-02-01,-1.06
1951-03-01,-1.9
1951-04-01,-0.36
1951-05-01,-0.25
1951-06-01,-1.09
1951-07-01,0.7
1951-08-01,-1.37
1951-09-01,-0.08
1951-10-01,-0.32
1951-11-01,-0.28
1951-12-01,-1.68
1952-01-01,-2.01
1952-02-01,-0.46
1952-03-01,-0.63
1952-04-01,-1.05
1952-05-01,-1.0
1952-06-01,-1.43
1952-07-01,-1.25
1952-08-01,-0.6
1952-09-01,-0.89
1952-10-01,-0.35
1952-11-01,-0.76
1952-12-01,0.04
1953-01-01,-0.57
1953-02-01,-0.07
1953-03-01,-1.12
1953-04-01,0.05
1953-05-01,0.43
1953-06-01,0.29
1953-07-01,0.74
1953-08-01,0.05
1953-09-01,-0.63
1953-10-01,-1.09
1953-11-01,-0.03
1953-12-01,0.07
1954-01-01,-1.32
1954-02-01,-1.61
1954-03-01,-0.52
1954-04-01,-1.33
1954-05-01,0.01
1954-06-01,0.97
1954-07-01,0.43
1954-08-01,0.08
1954-09-01,-0.94
1954-10-01,0.52
1954-11-01,0.72
1954-12-01,-0.5
1955-01-01,0.2
1955-02-01,-1.52
1955-03-01,-1.26
1955-04-01,-1.97
1955-05-01,-1.21
1955-06-01,-2.44
1955-07-01,-2.35
1955-08-01,-2.25
1955-09-01,-1.95
1955-10-01,-2.8
1955-11-01,-3.08
1955-12-01,-2.75
1956-01-01,-2.48
1956-02-01,-2.74
1956-03-01,-2.56
1956-04-01,-2.17
1956-05-01,-1.41
1956-06-01,-1.7
1956-07-01,-1.03
1956-08-01,-1.16
1956-09-01,-0.71
1956-10-01,-2.3
1956-11-01,-2.11
1956-12-01,-1.28
1957-01-01,-1.82
1957-02-01,-0.68
1957-03-01,0.03
1957-04-01,-0.58
1957-05-01,0.57
1957-06-01,1.76
1957-07-01,0.72
1957-08-01,0.51
1957-09-01,1.59
1957-10-01,1.5
1957-11-01,-0.32
1957-12-01,-0.55
1958-01-01,0.25
1958-02-01,0.62
1958-03-01,0.25
1958-04-01,1.06
1958-05-01,1.28
1958-06-01,1.33
1958-07-01,0.89
1958-08-01,1.06
1958-09-01,0.29
1958-10-01,0.01
1958-11-01,-0.18
1958-12-01,0.86
1959-01-01,0.69
1959-02-01,-0.43
1959-03-01,-0.95
1959-04-01,-0.02
1959-05-01,0.23
1959-06-01,0.44
1959-07-01,-0.5
1959-08-01,-0.62
1959-09-01,-0.85
1959-10-01,0.52
1959-11-01,1.11
1959-12-01,0.06
1960-01-01,0.3
1960-02-01,0.52
1960-03-01,-0.21
1960-04-01,0.09
1960-05-01,0.91
1960-06-01,0.64
1960-07-01,-0.27
1960-08-01,-0.38
1960-09-01,-0.94
1960-10-01,0.09
1960-11-01,-0.23
1960-12-01,0.17
1961-01-01,1.18
1961-02-01,0.43
1961-03-01,0.09
1961-04-01,0.34
1961-05-01,-0.06
1961-06-01,-0.61
1961-07-01,-1.22
1961-08-01,-1.13
1961-09-01,-2.01
1961-10-01,-2.28
1961-11-01,-1.85
1961-12-01,-2.69
1962-01-01,-1.29
1962-02-01,-1.15
1962-03-01,-1.42
1962-04-01,-0.8
1962-05-01,-1.22
1962-06-01,-1.62
1962-07-01,-1.46
1962-08-01,-0.48
1962-09-01,-1.58
1962-10-01,-1.55
1962-11-01,-0.37
1962-12-01,-0.96
1963-01-01,-0.33
1963-02-01,-0.16
1963-03-01,-0.54
1963-04-01,-0.41
1963-05-01,-0.65
1963-06-01,-0.88
1963-07-01,-1.0
1963-08-01,-1.03
1963-09-01,0.45
1963-10-01,-0.52
1963-11-01,-2.08
1963-12-01,-1.08
1964-01-01,0.01
1964-02-01,-0.21
1964-03-01,-0.87
1964-04-01,-1.03
1964-05-01,-1.91
1964-06-01,-0.32
1964-07-01,-0.51
1964-08-01,-1.03
1964-09-01,-0.68
1964-10-01,-0.37
1964-11-01,-0.8
1964-12-01,-1.52
1965-01-01,-1.24
1965-02-01,-1.16
1965-03-01,0.04
1965-04-01,0.62
1965-05-01,-0.66
1965-06-01,-0.8
1965-07-01,-0.47
1965-08-01,0.2
1965-09-01,0.59
1965-10-01,-0.36
1965-11-01,-0.59
1965-12-01,0.06
1966-01-01,-0.82
1966-02-01,-0.03
1966-03-01,-1.29
1966-04-01,0.06
1966-05-01,-0.53
1966-06-01,0.16
1966-07-01,0.26
1966-08-01,-0.35
1966-09-01,-0.33
1966-10-01,-1.17
1966-11-01,-1.15
1966-12-01,-0.32
1967-01-01,-0.2
1967-02-01,-0.18
1967-03-01,-1.2
1967-04-01,-0.89
1967-05-01,-1.24
1967-06-01,-1.16
1967-07-01,-0.89
1967-08-01,-1.24
1967-09-01,-0.72
1967-10-01,-0.64
1967-11-01,-0.05
1967-12-01,-0.4
1968-01-01,-0.95
1968-02-01,-0.4
1968-03-01,-0.31
1968-04-01,-1.03
1968-05-01,-0.53
1968-06-01,-0.35
1968-07-01,0.53
1968-08-01,0.19
1968-09-01,0.06
1968-10-01,-0.34
1968-11-01,-0.44
1968-12-01,-1.27
1969-01-01,-1.26
1969-02-01,-0.95
1969-03-01,-0.5
1969-04-01,-0.44
1969-05-01,-0.2
1969-06-01,0.89
1969-07-01,0.1
1969-08-01,-0.81
1969-09-01,-0.66
1969-10-01,1.12
1969-11-01,0.15
1969-12-01,1.38
1970-01-01,0.61
1970-02-01,0.43
1970-03-01,1.33
1970-04-01,0.43
1970-05-01,-0.49
1970-06-01,0.06
1970-07-01,-0.68
1970-08-01,-1.63
1970-09-01,-1.67
1970-10-01,-1.39
1970-11-01,-0.8
1970-12-01,-0.97
1971-01-01,-1.9
1971-02-01,-1.74
1971-03-01,-1.68
1971-04-01,-1.59
1971-05-01,-1.55
1971-06-01,-1.55
1971-07-01,-2.2
1971-08-01,-0.15
1971-09-01,0.21
1971-10-01,-0.22
1971-11-01,-1.25
1971-12-01,-1.87
1972-01-01,-1.99
1972-02-01,-1.83
1972-03-01,-2.09
1972-04-01,-1.65
1972-05-01,-1.57
1972-06-01,-1.87
1972-07-01,-0.83
1972-08-01,0.25
1972-09-01,0.17
1972-10-01,0.11
1972-11-01,0.57
1972-12-01,-0.33
1973-01-01,-0.46
1973-02-01,-0.61
1973-03-01,-0.5
1973-04-01,-0.69
1973-05-01,-0.76
1973-06-01,-0.97
1973-07-01,-0.57
1973-08-01,-1.14
1973-09-01,-0.51
1973-10-01,-0.87
1973-11-01,-1.81
1973-12-01,-0.76
1974-01-01,-1.22
1974-02-01,-1.65
1974-03-01,-0.9
1974-04-01,-0.52
1974-05-01,-0.28
1974-06-01,-0.31
1974-07-01,-0.08
1974-08-01,0.27
1974-09-01,0.44
1974-10-01,-0.1
1974-11-01,0.43
1974-12-01,-0.12
1975-01-01,-0.84
1975-02-01,-0.71
1975-03-01,-0.51
1975-04-01,-1.3
1975-05-01,-1.02
1975-06-01,-1.16
1975-07-01,-0.4
1975-08-01,-1.07
1975-09-01,-1.23
1975-10-01,-1.29
1975-11-01,-2.08
1975-12-01,-1.61
1976-01-01,-1.14
1976-02-01,-1.85
1976-03-01,-0.96
1976-04-01,-0.89
1976-05-01,-0.68
1976-06-01,-0.67
1976-07-01,0.61
1976-08-01,1.28
1976-09-01,0.82
1976-10-01,1.11
1976-11-01,1.25
1976-12-01,1.22
1977-01-01,1.65
1977-02-01,1.11
1977-03-01,0.72
1977-04-01,0.3
1977-05-01,0.31
1977-06-01,0.42
1977-07-01,0.19
1977-08-01,0.64
1977-09-01,-0.55
1977-10-01,-0.61
1977-11-01,-0.72
1977-12-01,-0.69
1978-01-01,0.34
1978-02-01,1.45
1978-03-01,1.34
1978-04-01,1.29
1978-05-01,0.9
1978-06-01,0.15
1978-07-01,-1.24
1978-08-01,-0.56
1978-09-01,-0.44
1978-10-01,0.1
