date,pna
1948-01-01,
1948-02-01,
1948-03-01,
1948-04-01,
1948-05-01,
1948-06-01,
1948-07-01,
1948-08-01,
1948-09-01,
1948-10-01,
1948-11-01,
1948-12-01,
1949-01-01,
1949-02-01,
1949-03-01,
1949-04-01,
1949-05-01,
1949-06-01,
1949-07-01,
1949-08-01,
1949-09-01,
1949-10-01,
1949-11-01,
1949-12-01,
1950-01-01,-3.65
1950-02-01,-1.69
1950-03-01,-0.06
1950-04-01,-0.23
1950-05-01,-0.4
1950-06-01,-1.99
1950-07-01,-0.82
1950-08-01,0.79
1950-09-01,-1.0
1950-10-01,0.7
1950-11-01,-1.74
1950-12-01,-0.28
1951-01-01,-1.18
1951-02-01,-2.11
1951-03-01,-1.09
1951-04-01,0.47
1951-05-01,1.19
1951-06-01,-0.54
1951-07-01,-0.44
1951-08-01,0.02
1951-09-01,-0.08
1951-10-01,0.43
1951-11-01,0.21
1951-12-01,-1.59
1952-01-01,-3.19
1952-02-01,0.08
1952-03-01,-0.69
1952-04-01,0.89
1952-05-01,-0.79
1952-06-01,0.53
1952-07-01,-1.57
1952-08-01,0.77
1952-09-01,0.4
1952-10-01,1.05
1952-11-01,0.77
1952-12-01,0.63
1953-01-01,0.18
1953-02-01,1.04
1953-03-01,-0.44
1953-04-01,0.78
1953-05-01,1.14
1953-06-01,-1.6
1953-07-01,0.27
1953-08-01,-1.15
1953-09-01,-0.14
1953-10-01,2.27
1953-11-01,1.57
1953-12-01,0.96
1954-01-01,-2.11
1954-02-01,-0.48
1954-03-01,-1.44
1954-04-01,-2.86
1954-05-01,0.65
1954-06-01,0.09
1954-07-01,-0.14
1954-08-01,-0.11
1954-09-01,-0.04
1954-10-01,0.99
1954-11-01,1.38
1954-12-01,-0.82
1955-01-01,-0.14
1955-02-01,-2.62
1955-03-01,-2.47
1955-04-01,-0.24
1955-05-01,-0.42
1955-06-01,0.11
1955-07-01,-1.32
1955-08-01,-0.55
1955-09-01,-0.22
1955-10-01,0.51
1955-11-01,-0.93
1955-12-01,-2.37
1956-01-01,-2.34
1956-02-01,-1.69
1956-03-01,-0.97
1956-04-01,-0.17
1956-05-01,-0.17
1956-06-01,-0.08
1956-07-01,-1.28
1956-08-01,-0.23
1956-09-01,0.42
1956-10-01,-2.16
1956-11-01,1.0
1956-12-01,-0.61
1957-01-01,-2.18
1957-02-01,-1.89
1957-03-01,0.78
1957-04-01,-0.41
1957-05-01,1.24
1957-06-01,0.24
1957-07-01,-0.11
1957-08-01,-0.99
1957-09-01,-0.22
1957-10-01,0.46
1957-11-01,0.49
1957-12-01,-0.73
1958-01-01,0.62
1958-02-01,0.36
1958-03-01,0.18
1958-04-01,0.31
1958-05-01,0.66
1958-06-01,1.48
1958-07-01,0.74
1958-08-01,2.13
1958-09-01,-0.05
1958-10-01,0.34
1958-11-01,0.08
1958-12-01,0.35
1959-01-01,-1.54
1959-02-01,-1.23
1959-03-01,0.21
1959-04-01,-0.9
1959-05-01,-0.3
1959-06-01,1.08
1959-07-01,-0.45
1959-08-01,1.03
1959-09-01,1.19
1959-10-01,0.23
1959-11-01,0.26
1959-12-01,0.36
1960-01-01,-0.16
1960-02-01,-0.22
1960-03-01,-0.69
1960-04-01,-0.07
1960-05-01,0.99
1960-06-01,1.2
1960-07-01,1.11
1960-08-01,1.85
1960-09-01,-0.01
1960-10-01,0.48
1960-11-01,-0.52
1960-12-01,1.15
1961-01-01,1.16
1961-02-01,0.17
1961-03-01,0.28
1961-04-01,-1.14
1961-05-01,-0.25
1961-06-01,1.84
1961-07-01,-0.52
1961-08-01,0.47
1961-09-01,1.1
1961-10-01,-1.94
1961-11-01,-0.4
1961-12-01,-1.54
1962-01-01,-0.74
1962-02-01,-0.54
1962-03-01,-0.71
1962-04-01,-1.5
1962-05-01,-1.11
1962-06-01,-0.97
1962-07-01,-0.36
1962-08-01,0.57
1962-09-01,-0.83
1962-10-01,1.33
1962-11-01,0.53
1962-12-01,-0.38
1963-01-01,0.09
1963-02-01,0.79
1963-03-01,-2.04
1963-04-01,-0.79
1963-05-01,-0.95
1963-06-01,0.5
1963-07-01,-1.1
1963-08-01,-1.01
1963-09-01,0.87
1963-10-01,0.93
1963-11-01,-0.31
1963-12-01,1.46
1964-01-01,-0.44
1964-02-01,1.36
1964-03-01,-1.31
1964-04-01,-1.3
1964-05-01,-2.27
1964-06-01,0.27
1964-07-01,0.2
1964-08-01,0.83
1964-09-01,0.92
1964-10-01,0.8
1964-11-01,-0.78
1964-12-01,-2.03
1965-01-01,-0.92
1965-02-01,-1.03
1965-03-01,-0.8
1965-04-01,-1.07
1965-05-01,-0.42
1965-06-01,1.89
1965-07-01,-1.26
1965-08-01,0.32
1965-09-01,0.36
1965-10-01,1.42
1965-11-01,-0.81
1965-12-01,-1.56
1966-01-01,-0.15
1966-02-01,-2.05
1966-03-01,0.43
1966-04-01,-0.54
1966-05-01,-0.15
1966-06-01,0.1
1966-07-01,-1.18
1966-08-01,1.26
1966-09-01,0.63
1966-10-01,-0.61
1966-11-01,-1.96
1966-12-01,-0.21
1967-01-01,-1.16
1967-02-01,-0.2
1967-03-01,-2.25
1967-04-01,-1.91
1967-05-01,-0.8
1967-06-01,-0.33
1967-07-01,-1.24
1967-08-01,-0.35
1967-09-01,0.11
1967-10-01,1.1
1967-11-01,-0.35
1967-12-01,-1.12
1968-01-01,-1.78
1968-02-01,1.11
1968-03-01,0.13
1968-04-01,-1.11
1968-05-01,0.23
1968-06-01,-0.08
1968-07-01,-0.04
1968-08-01,1.3
1968-09-01,-0.87
1968-10-01,0.45
1968-11-01,0.83
1968-12-01,-1.74
1969-01-01,-2.96
