date,qbo
1948-01-01,
1948-02-01,-24.56
1948-03-01,-25.54
1948-04-01,
1948-05-01,
1948-06-01,
1948-07-01,
1948-08-01,
1948-09-01,
1948-10-01,
1948-11-01,
1948-12-01,
1949-01-01,-9.77
1949-02-01,-11.8
1949-03-01,-11.72
1949-04-01,-10.69
1949-05-01,-9.34
1949-06-01,-9.43
1949-07-01,-9.07
1949-08-01,-9.08
1949-09-01,-8.32
1949-10-01,-7.01
1949-11-01,-6.43
1949-12-01,-7.24
1950-01-01,-8.99
1950-02-01,-11.37
1950-03-01,-10.63
1950-04-01,-8.19
1950-05-01,-6.09
1950-06-01,-6.61
1950-07-01,-7.11
1950-08-01,-6.51
1950-09-01,-3.82
1950-10-01,-2.39
1950-11-01,-2.18
1950-12-01,-3.31
1951-01-01,-6.01
1951-02-01,-5.32
1951-03-01,-1.93
1951-04-01,0.91
1951-05-01,2.26
1951-06-01,-0.3
1951-07-01,-2.7
1951-08-01,-5.31
1951-09-01,-5.92
1951-10-01,-4.59
1951-11-01,-3.65
1951-12-01,-3.98
1952-01-01,-6.8
1952-02-01,-7.71
1952-03-01,-6.99
1952-04-01,-5.68
1952-05-01,-4.76
1952-06-01,-6.0
1952-07-01,-7.6
1952-08-01,-8.15
1952-09-01,-5.73
1952-10-01,-2.96
1952-11-01,-0.51
1952-12-01,-1.65
1953-01-01,-2.94
1953-02-01,-2.68
1953-03-01,-1.22
1953-04-01,1.3
1953-05-01,2.69
1953-06-01,1.86
1953-07-01,0.1
1953-08-01,-1.21
1953-09-01,-1.28
1953-10-01,-0.39
1953-11-01,-0.59
1953-12-01,-2.18
1954-01-01,-5.05
1954-02-01,-6.88
1954-03-01,-7.98
1954-04-01,-9.01
1954-05-01,-11.38
1954-06-01,-12.72
1954-07-01,-13.4
1954-08-01,-14.53
1954-09-01,-12.83
1954-10-01,-10.35
1954-11-01,-9.99
1954-12-01,-9.56
1955-01-01,-5.82
1955-02-01,-1.71
1955-03-01,1.37
1955-04-01,4.4
1955-05-01,6.58
1955-06-01,6.73
1955-07-01,5.99
1955-08-01,7.2
1955-09-01,8.16
1955-10-01,9.02
1955-11-01,7.63
1955-12-01,3.82
1956-01-01,-1.01
1956-02-01,-3.23
1956-03-01,-2.01
1956-04-01,-2.01
1956-05-01,-6.16
1956-06-01,-11.02
1956-07-01,-13.04
1956-08-01,-15.17
1956-09-01,-14.67
1956-10-01,-14.9
1956-11-01,-16.96
1956-12-01,-15.02
1957-01-01,-13.05
1957-02-01,-11.89
1957-03-01,-6.68
1957-04-01,-2.01
1957-05-01,1.8
1957-06-01,3.21
1957-07-01,4.05
1957-08-01,6.3
1957-09-01,8.36
1957-10-01,10.46
1957-11-01,10.11
1957-12-01,7.35
1958-01-01,5.25
1958-02-01,4.1
1958-03-01,4.27
1958-04-01,1.98
1958-05-01,-4.71
1958-06-01,-10.6
1958-07-01,-13.91
1958-08-01,-15.59
1958-09-01,-15.93
1958-10-01,-16.39
1958-11-01,-16.91
1958-12-01,-18.96
1959-01-01,-20.06
1959-02-01,-17.24
1959-03-01,-14.02
1959-04-01,-9.27
1959-05-01,-5.91
1959-06-01,-2.3
1959-07-01,3.15
1959-08-01,7.07
1959-09-01,10.09
1959-10-01,11.69
1959-11-01,10.71
1959-12-01,8.3
1960-01-01,4.79
1960-02-01,3.39
1960-03-01,-0.04
1960-04-01,-1.08
1960-05-01,-3.91
1960-06-01,-8.98
1960-07-01,-13.86
1960-08-01,-16.04
1960-09-01,-16.01
1960-10-01,-15.62
1960-11-01,-14.42
1960-12-01,-11.36
1961-01-01,-5.47
1961-02-01,-0.62
1961-03-01,0.54
1961-04-01,2.82
1961-05-01,6.88
1961-06-01,7.96
1961-07-01,6.69
1961-08-01,5.6
1961-09-01,6.02
1961-10-01,7.59
1961-11-01,8.74
1961-12-01,6.25
1962-01-01,2.84
1962-02-01,3.68
1962-03-01,5.26
1962-04-01,2.04
1962-05-01,-3.64
1962-06-01,-11.42
1962-07-01,-15.49
1962-08-01,-15.0
1962-09-01,-15.19
1962-10-01,-15.33
1962-11-01,-15.4
1962-12-01,-15.16
1963-01-01,-17.35
1963-02-01,-16.68
1963-03-01,-19.93
1963-04-01,-21.52
1963-05-01,-24.18
1963-06-01,-20.08
1963-07-01,-9.27
1963-08-01,-1.35
1963-09-01,3.52
1963-10-01,7.54
1963-11-01,8.87
1963-12-01,5.48
1964-01-01,3.94
1964-02-01,5.26
1964-03-01,5.46
1964-04-01,5.94
1964-05-01,6.32
1964-06-01,2.23
1964-07-01,-0.56
1964-08-01,-0.57
1964-09-01,-0.67
1964-10-01,0.42
1964-11-01,0.71
1964-12-01,0.04
1965-01-01,-1.03
1965-02-01,-2.26
1965-03-01,-1.98
1965-04-01,-3.44
1965-05-01,-7.1
1965-06-01,-12.01
1965-07-01,-16.0
1965-08-01,-18.19
1965-09-01,-20.03
1965-10-01,-20.13
1965-11-01,-19.74
1965-12-01,-21.27
1966-01-01,-21.9
1966-02-01,-17.14
1966-03-01,-11.07
1966-04-01,-2.33
1966-05-01,2.16
1966-06-01,5.42
1966-07-01,7.47
1966-08-01,7.63
1966-09-01,9.23
1966-10-01,11.0
1966-11-01,11.74
1966-12-01,13.26
1967-01-01,11.03
1967-02-01,10.49
1967-03-01,10.94
1967-04-01,10.13
1967-05-01,5.79
1967-06-01,-0.58
1967-07-01,-5.65
1967-08-01,-6.76
1967-09-01,-6.06
1967-10-01,-4.82
1967-11-01,-6.05
1967-12-01,-7.27
1968-01-01,-8.38
1968-02-01,-10.21
1968-03-01,-9.11
1968-04-01,-12.25
1968-05-01,-14.39
1968-06-01,-19.27
1968-07-01,-21.0
1968-08-01,-21.82
1968-09-01,-17.45
1968-10-01,-14.58
1968-11-01,-13.11
1968-12-01,-11.36
1969-01-01,-8.58
1969-02-01,-4.43
1969-03-01,-1.5
1969-04-01,3.98
1969-05-01,8.18
1969-06-01,9.35
1969-07-01,9.08
1969-08-01,9.78
1969-09-01,9.74
1969-10-01,9.75
1969-11-01,7.34
1969-12-01,5.0
1970-01-01,0.3
1970-02-01,-1.41
1970-03-01,-4.63
1970-04-01,-7.25
1970-05-01,-12.21
1970-06-01,-16.25
1970-07-01,-18.62
1970-08-01,-21.38
1970-09-01,-21.67
1970-10-01,-22.12
1970-11-01,-22.48
1970-12-01,-17.39
1971-01-01,-10.67
1971-02-01,-3.67
1971-03-01,0.91
1971-04-01,3.75
1971-05-01,6.77
1971-06-01,8.28
1971-07-01,8.88
1971-08-01,8.34
1971-09-01,8.95
1971-10-01,8.48
1971-11-01,8.47
1971-12-01,9.1
1972-01-01,8.2
1972-02-01,7.95
1972-03-01,7.35
1972-04-01,6.22
1972-05-01,-2.59
1972-06-01,-10.7
1972-07-01,-15.45
1972-08-01,-19.28
1972-09-01,-20.4
1972-10-01,-21.17
1972-11-01,-20.49
1972-12-01,-16.78
1973-01-01,-4.4
1973-02-01,0.08
1973-03-01,3.4
1973-04-01,6.28
1973-05-01,8.12
1973-06-01,8.63
1973-07-01,6.94
1973-08-01,5.86
1973-09-01,5.51
1973-10-01,5.2
1973-11-01,4.92
1973-12-01,2.31
1974-01-01,-0.91
1974-02-01,-1.31
1974-03-01,-1.08
1974-04-01,-1.92
1974-05-01,-7.58
1974-06-01,-13.86
1974-07-01,-19.58
1974-08-01,-23.14
1974-09-01,-23.52
1974-10-01,-23.12
1974-11-01,-22.48
1974-12-01,-22.57
1975-01-01,-16.7
1975-02-01,-15.39
1975-03-01,-13.04
1975-04-01,-5.12
1975-05-01,1.18
1975-06-01,4.47
1975-07-01,7.41
1975-08-01,9.06
1975-09-01,10.25
1975-10-01,10.65
1975-11-01,11.27
1975-12-01,10.95
1976-01-01,9.22
1976-02-01,8.92
1976-03-01,9.7
1976-04-01,11.53
1976-05-01,10.04
1976-06-01,2.78
1976-07-01,-1.9
1976-08-01,-4.89
1976-09-01,-6.19
1976-10-01,-8.23
1976-11-01,-8.89
1976-12-01,-11.85
1977-01-01,-14.44
1977-02-01,-14.9
1977-03-01,-17.61
1977-04-01,-14.93
1977-05-01,-17.14
1977-06-01,-21.33
1977-07-01,-18.17
1977-08-01,-11.24
1977-09-01,-5.09
1977-10-01,-1.81
1977-11-01,-0.26
1977-12-01,1.69
1978-01-01,3.21
1978-02-01,6.07
1978-03-01,9.34
1978-04-01,12.98
1978-05-01,12.23
1978-06-01,8.36
1978-07-01,6.02
1978-08-01,5.84
1978-09-01,5.91
1978-10-01,6.22
1978-11-01,4.04
1978-12-01,1.46
1979-01-01,1.86
1979-02-01,4.12
1979-03-01,0.89
1979-04-01,-3.57
1979-05-01,-12.9
1979-06-01,-19.6
1979-07-01,-21.27
1979-08-01,-22.24
1979-09-01,-22.7
1979-10-01,-23.32
1979-11-01,-22.2
1979-12-01,-16.99
1980-01-01,-10.11
1980-02-01,-5.65
1980-03-01,-2.9
1980-04-01,2.31
1980-05-01,6.24
1980-06-01,7.33
1980-07-01,8.74
1980-08-01,9.61
1980-09-01,12.67
1980-10-01,13.1
1980-11-01,12.15
1980-12-01,9.73
1981-01-01,8.51
1981-02-01,6.72
1981-03-01,7.51
1981-04-01,8.28
1981-05-01,3.01
1981-06-01,-3.49
1981-07-01,-5.22
1981-08-01,-8.24
1981-09-01,-8.59
1981-10-01,-9.53
1981-11-01,-9.62
1981-12-01,-12.31
1982-01-01,-12.52
1982-02-01,-14.71
1982-03-01,-16.67
1982-04-01,-15.55
1982-05-01,-15.26
1982-06-01,-15.94
1982-07-01,-8.95
1982-08-01,-1.58
1982-09-01,4.21
1982-10-01,8.27
1982-11-01,9.51
1982-12-01,10.35
1983-01-01,10.85
1983-02-01,11.4
1983-03-01,12.17
1983-04-01,13.81
1983-05-01,11.93
1983-06-01,3.12
1983-07-01,-3.38
1983-08-01,-6.53
1983-09-01,-7.75
1983-10-01,-10.12
1983-11-01,-10.29
1983-12-01,-11.42
1984-01-01,-10.65
1984-02-01,-11.34
1984-03-01,-12.98
1984-04-01,-14.58
1984-05-01,-15.05
1984-06-01,-17.97
1984-07-01,-25.39
1984-08-01,-27.9
1984-09-01,-25.44
1984-10-01,-21.59
1984-11-01,-13.19
1984-12-01,-8.16
1985-01-01,-0.37
1985-02-01,4.21
1985-03-01,6.3
1985-04-01,11.11
1985-05-01,13.57
1985-06-01,14.04
1985-07-01,11.1
1985-08-01,11.08
1985-09-01,11.72
1985-10-01,11.84
1985-11-01,11.45
1985-12-01,9.51
1986-01-01,8.74
1986-02-01,10.15
1986-03-01,11.96
1986-04-01,9.11
