date,sahelrain
1948-01-01,-5
1948-02-01,7
1948-03-01,-6
1948-04-01,161
1948-05-01,9
1948-06-01,284
1948-07-01,69
1948-08-01,277
1948-09-01,-105
1948-10-01,-50
1948-11-01,-10
1948-12-01,-4
1949-01-01,1
1949-02-01,-7
1949-03-01,15
1949-04-01,14
1949-05-01,-48
1949-06-01,-46
1949-07-01,51
1949-08-01,263
1949-09-01,-213
1949-10-01,-75
1949-11-01,24
1949-12-01,48
1950-01-01,4
1950-02-01,3
1950-03-01,-19
1950-04-01,-33
1950-05-01,-18
1950-06-01,-46
1950-07-01,276
1950-08-01,1045
1950-09-01,509
1950-10-01,170
1950-11-01,2
1950-12-01,-2
1951-01-01,2
1951-02-01,2
1951-03-01,37
1951-04-01,-23
1951-05-01,119
1951-06-01,-40
1951-07-01,-29
1951-08-01,237
1951-09-01,474
1951-10-01,720
1951-11-01,83
1951-12-01,-3
1952-01-01,-4
1952-02-01,-6
1952-03-01,-13
1952-04-01,-35
1952-05-01,81
1952-06-01,-23
1952-07-01,273
1952-08-01,355
1952-09-01,904
1952-10-01,104
1952-11-01,0
1952-12-01,2
1953-01-01,-2
1953-02-01,12
1953-03-01,29
1953-04-01,-33
1953-05-01,278
1953-06-01,289
1953-07-01,451
1953-08-01,188
1953-09-01,214
1953-10-01,88
1953-11-01,21
1953-12-01,27
1954-01-01,-5
1954-02-01,49
1954-03-01,21
1954-04-01,60
1954-05-01,140
1954-06-01,178
1954-07-01,594
1954-08-01,777
1954-09-01,10
1954-10-01,43
1954-11-01,173
1954-12-01,-1
1955-01-01,-2
1955-02-01,3
1955-03-01,52
1955-04-01,35
1955-05-01,5
1955-06-01,248
1955-07-01,524
1955-08-01,192
1955-09-01,410
1955-10-01,101
1955-11-01,4
1955-12-01,34
1956-01-01,-1
1956-02-01,7
1956-03-01,24
1956-04-01,0
1956-05-01,-60
1956-06-01,-1
1956-07-01,206
1956-08-01,317
1956-09-01,332
1956-10-01,20
1956-11-01,9
1956-12-01,91
1957-01-01,0
1957-02-01,-4
1957-03-01,2
1957-04-01,14
1957-05-01,183
1957-06-01,200
1957-07-01,215
1957-08-01,321
1957-09-01,412
1957-10-01,338
1957-11-01,44
1957-12-01,6
1958-01-01,14
1958-02-01,1
1958-03-01,-2
1958-04-01,36
1958-05-01,10
1958-06-01,256
1958-07-01,272
1958-08-01,860
1958-09-01,165
1958-10-01,-5
1958-11-01,153
1958-12-01,0
1959-01-01,-3
1959-02-01,-2
1959-03-01,-5
1959-04-01,-27
1959-05-01,90
1959-06-01,-75
1959-07-01,-51
1959-08-01,771
1959-09-01,178
1959-10-01,-139
1959-11-01,20
1959-12-01,-5
1960-01-01,-5
1960-02-01,-8
1960-03-01,5
1960-04-01,18
1960-05-01,42
1960-06-01,84
1960-07-01,362
1960-08-01,-8
1960-09-01,277
1960-10-01,-32
1960-11-01,16
1960-12-01,8
1961-01-01,-1
1961-02-01,-7
1961-03-01,-8
1961-04-01,-17
1961-05-01,-46
1961-06-01,143
1961-07-01,447
1961-08-01,298
1961-09-01,177
1961-10-01,-128
1961-11-01,6
1961-12-01,-4
1962-01-01,-5
1962-02-01,-7
1962-03-01,-10
1962-04-01,58
1962-05-01,24
1962-06-01,115
1962-07-01,130
1962-08-01,496
1962-09-01,128
1962-10-01,125
1962-11-01,93
1962-12-01,-4
1963-01-01,-2
1963-02-01,11
1963-03-01,-7
1963-04-01,57
1963-05-01,14
1963-06-01,4
1963-07-01,48
1963-08-01,254
1963-09-01,85
1963-10-01,385
1963-11-01,-9
1963-12-01,-5
1964-01-01,-4
1964-02-01,-8
1964-03-01,6
1964-04-01,1
1964-05-01,92
1964-06-01,206
