date,solar
1948-01-01,1557.0
1948-02-01,1343.0
1948-03-01,1355.0
1948-04-01,2081.0
1948-05-01,2265.0
1948-06-01,1955.0
1948-07-01,1828.0
1948-08-01,1728.0
1948-09-01,1637.0
1948-10-01,1591.0
1948-11-01,1654.0
1948-12-01,1933.0
1949-01-01,1835.0
1949-02-01,2202.0
1949-03-01,2039.0
1949-04-01,1825.0
1949-05-01,1549.0
1949-06-01,1575.0
1949-07-01,1599.0
1949-08-01,1752.0
1949-09-01,1725.0
1949-10-01,1782.0
1949-11-01,1804.0
1949-12-01,1652.0
1950-01-01,1507.0
1950-02-01,1433.0
1950-03-01,1378.0
1950-04-01,1643.0
1950-05-01,1571.0
1950-06-01,1287.0
1950-07-01,1341.0
1950-08-01,1209.0
1950-09-01,986.0
1950-10-01,999.0
1950-11-01,1019.0
1950-12-01,1011.0
1951-01-01,1079.0
1951-02-01,1019.0
1951-03-01,1025.0
1951-04-01,1271.0
1951-05-01,1686.0
1951-06-01,1617.0
1951-07-01,1163.0
1951-08-01,1098.0
1951-09-01,1178.0
1951-10-01,1060.0
1951-11-01,1044.0
1951-12-01,1024.0
1952-01-01,954.0
1952-02-01,862.0
1952-03-01,785.0
1952-04-01,840.0
1952-05-01,809.0
1952-06-01,848.0
1952-07-01,888.0
1952-08-01,933.0
1952-09-01,815.0
1952-10-01,828.0
1952-11-01,834.0
1952-12-01,857.0
1953-01-01,832.0
1953-02-01,728.0
1953-03-01,704.0
1953-04-01,810.0
1953-05-01,725.0
1953-06-01,730.0
1953-07-01,698.0
1953-08-01,755.0
1953-09-01,743.0
1953-10-01,719.0
1953-11-01,714.0
1953-12-01,708.0
1954-01-01,687.0
1954-02-01,692.0
1954-03-01,719.0
1954-04-01,687.0
1954-05-01,680.0
1954-06-01,673.0
1954-07-01,677.0
1954-08-01,699.0
1954-09-01,701.0
1954-10-01,732.0
1954-11-01,726.0
1954-12-01,755.0
1955-01-01,843.0
1955-02-01,820.0
1955-03-01,748.0
1955-04-01,773.0
1955-05-01,828.0
1955-06-01,888.0
1955-07-01,873.0
1955-08-01,907.0
1955-09-01,951.0
1955-10-01,1118.0
1955-11-01,1300.0
1955-12-01,1346.0
1956-01-01,1412.0
1956-02-01,1672.0
1956-03-01,1606.0
1956-04-01,1659.0
1956-05-01,1634.0
1956-06-01,1540.0
1956-07-01,1628.0
1956-08-01,1938.0
