date,swmonsoon
1948-01-01,0.38
1948-02-01,1.6
1948-03-01,1.12
1948-04-01,0.26
1948-05-01,0.86
1948-06-01,1.17
1948-07-01,1.48
1948-08-01,2.02
1948-09-01,0.67
1948-10-01,1.35
1948-11-01,0.15
1948-12-01,1.19
1949-01-01,2.38
1949-02-01,0.65
1949-03-01,0.63
1949-04-01,0.89
1949-05-01,0.83
1949-06-01,1.57
1949-07-01,2.49
1949-08-01,1.35
1949-09-01,1.52
1949-10-01,0.79
1949-11-01,0.25
1949-12-01,0.9
1950-01-01,0.58
1950-02-01,0.73
1950-03-01,0.39
1950-04-01,0.23
1950-05-01,0.13
1950-06-01,0.8
1950-07-01,3.14
1950-08-01,0.91
1950-09-01,1.26
1950-10-01,0.1
1950-11-01,0.16
1950-12-01,0.08
1951-01-01,1.22
1951-02-01,0.5
1951-03-01,0.53
1951-04-01,1.31
1951-05-01,0.79
1951-06-01,0.18
1951-07-01,1.6
1951-08-01,3.8
1951-09-01,0.36
1951-10-01,1.09
1951-11-01,0.86
1951-12-01,1.52
1952-01-01,1.44
1952-02-01,0.45
1952-03-01,1.68
1952-04-01,1.66
1952-05-01,0.5
1952-06-01,0.7
1952-07-01,1.88
1952-08-01,2.1
1952-09-01,1.0
1952-10-01,0.0
1952-11-01,1.83
1952-12-01,0.82
1953-01-01,0.28
1953-02-01,0.62
1953-03-01,0.82
1953-04-01,0.55
1953-05-01,0.54
1953-06-01,0.36
1953-07-01,2.81
1953-08-01,1.64
1953-09-01,0.07
1953-10-01,0.72
1953-11-01,0.75
1953-12-01,0.46
1954-01-01,1.01
1954-02-01,0.38
1954-03-01,2.01
1954-04-01,0.1
1954-05-01,0.99
1954-06-01,0.52
1954-07-01,2.6
1954-08-01,2.03
1954-09-01,1.35
1954-10-01,0.74
1954-11-01,0.12
1954-12-01,0.35
1955-01-01,1.4
1955-02-01,0.56
1955-03-01,0.13
1955-04-01,0.48
1955-05-01,1.26
1955-06-01,0.5
1955-07-01,2.94
1955-08-01,3.48
1955-09-01,0.43
1955-10-01,0.25
1955-11-01,0.36
1955-12-01,0.58
1956-01-01,1.02
1956-02-01,0.57
1956-03-01,0.09
1956-04-01,0.27
1956-05-01,0.37
1956-06-01,0.44
1956-07-01,1.84
1956-08-01,1.15
1956-09-01,0.05
1956-10-01,0.48
1956-11-01,0.1
1956-12-01,0.17
1957-01-01,2.3
1957-02-01,0.64
1957-03-01,1.18
1957-04-01,0.93
1957-05-01,1.4
1957-06-01,0.5
1957-07-01,2.47
1957-08-01,3.15
1957-09-01,0.1
1957-10-01,3.05
1957-11-01,1.25
1957-12-01,0.39
1958-01-01,0.43
1958-02-01,1.33
1958-03-01,2.23
1958-04-01,1.32
1958-05-01,0.74
1958-06-01,0.57
1958-07-01,1.4
1958-08-01,2.45
1958-09-01,2.21
1958-10-01,1.01
1958-11-01,0.68
1958-12-01,0.16
1959-01-01,0.27
1959-02-01,0.96
1959-03-01,0.2
1959-04-01,0.69
1959-05-01,0.75
1959-06-01,0.81
1959-07-01,1.77
1959-08-01,3.5
1959-09-01,0.34
1959-10-01,2.2
1959-11-01,0.49
1959-12-01,2.21
1960-01-01,1.43
1960-02-01,0.85
1960-03-01,0.64
1960-04-01,0.27
1960-05-01,0.39
1960-06-01,0.8
1960-07-01,1.65
1960-08-01,1.34
1960-09-01,1.07
1960-10-01,2.38
1960-11-01,0.36
1960-12-01,0.89
1961-01-01,0.68
1961-02-01,0.32
1961-03-01,1.24
1961-04-01,0.52
1961-05-01,0.21
1961-06-01,0.49
1961-07-01,1.91
1961-08-01,3.51
1961-09-01,1.44
1961-10-01,1.14
1961-11-01,0.74
1961-12-01,1.45
1962-01-01,1.21
1962-02-01,0.98
1962-03-01,0.72
1962-04-01,0.19
1962-05-01,0.2
1962-06-01,0.55
1962-07-01,1.76
1962-08-01,0.62
1962-09-01,2.1
1962-10-01,0.94
1962-11-01,0.93
1962-12-01,0.82
1963-01-01,0.65
1963-02-01,1.3
1963-03-01,0.66
1963-04-01,0.32
1963-05-01,0.3
1963-06-01,0.4
1963-07-01,1.17
1963-08-01,3.74
1963-09-01,1.53
