date,tsa
1948-01-01,-0.22
1948-02-01,-0.12
1948-03-01,0.04
1948-04-01,-0.21
1948-05-01,-0.4
1948-06-01,-0.64
1948-07-01,-0.4
1948-08-01,-0.53
1948-09-01,-0.41
1948-10-01,-0.42
1948-11-01,-0.35
1948-12-01,-0.21
1949-01-01,-0.19
1949-02-01,0.01
1949-03-01,-0.01
1949-04-01,0.22
1949-05-01,0.08
1949-06-01,0.05
1949-07-01,0.16
1949-08-01,0.21
1949-09-01,0.23
1949-10-01,0.04
1949-11-01,0.02
1949-12-01,-0.16
1950-01-01,0.08
1950-02-01,0.15
1950-03-01,0.12
1950-04-01,-0.17
1950-05-01,-0.34
1950-06-01,-0.23
1950-07-01,-0.16
1950-08-01,-0.34
1950-09-01,-0.51
1950-10-01,-0.54
1950-11-01,-0.46
1950-12-01,-0.92
1951-01-01,-0.98
1951-02-01,-0.7
1951-03-01,-0.87
1951-04-01,-0.51
1951-05-01,-0.37
1951-06-01,-0.26
1951-07-01,-0.11
1951-08-01,0.05
1951-09-01,0.05
1951-10-01,0.03
1951-11-01,-0.08
1951-12-01,0.0
1952-01-01,0.06
1952-02-01,-0.01
1952-03-01,-0.08
1952-04-01,-0.08
1952-05-01,-0.19
1952-06-01,0.07
1952-07-01,-0.07
1952-08-01,-0.01
1952-09-01,-0.04
1952-10-01,-0.08
1952-11-01,0.0
1952-12-01,-0.14
1953-01-01,-0.15
1953-02-01,-0.25
1953-03-01,0.01
1953-04-01,-0.29
1953-05-01,-0.14
1953-06-01,-0.1
1953-07-01,-0.07
1953-08-01,-0.06
1953-09-01,0.04
1953-10-01,0.03
1953-11-01,-0.18
1953-12-01,-0.41
1954-01-01,-0.43
1954-02-01,-0.5
1954-03-01,-0.52
1954-04-01,-0.4
1954-05-01,-0.61
1954-06-01,-0.57
1954-07-01,-0.66
1954-08-01,-0.39
1954-09-01,-0.25
1954-10-01,-0.14
1954-11-01,-0.12
1954-12-01,-0.23
1955-01-01,-0.42
1955-02-01,-0.6
1955-03-01,-0.45
