date,wp
1948-01-01,
1948-02-01,
1948-03-01,
1948-04-01,
1948-05-01,
1948-06-01,
1948-07-01,
1948-08-01,
1948-09-01,
1948-10-01,
1948-11-01,
1948-12-01,
1949-01-01,
1949-02-01,
1949-03-01,
1949-04-01,
1949-05-01,
1949-06-01,
1949-07-01,
1949-08-01,
1949-09-01,
1949-10-01,
1949-11-01,
1949-12-01,
1950-01-01,-1.69
1950-02-01,-1.36
1950-03-01,-0.38
1950-04-01,-0.5
1950-05-01,0.23
1950-06-01,1.31
1950-07-01,1.8
1950-08-01,1.08
1950-09-01,1.36
1950-10-01,1.45
1950-11-01,-0.37
1950-12-01,0.07
1951-01-01,-0.07
1951-02-01,-0.58
1951-03-01,-0.29
1951-04-01,-0.19
1951-05-01,0.7
1951-06-01,0.1
1951-07-01,0.88
1951-08-01,0.73
1951-09-01,-3.45
1951-10-01,-0.47
1951-11-01,0.62
1951-12-01,0.2
1952-01-01,1.43
1952-02-01,0.88
1952-03-01,0.06
1952-04-01,0.28
1952-05-01,0.93
1952-06-01,1.08
1952-07-01,-1.02
1952-08-01,-1.43
1952-09-01,-1.94
1952-10-01,1.39
1952-11-01,0.61
1952-12-01,0.71
1953-01-01,-1.24
1953-02-01,1.38
1953-03-01,0.58
1953-04-01,-1.86
1953-05-01,-0.51
1953-06-01,-0.57
1953-07-01,-1.1
1953-08-01,1.04
1953-09-01,-0.86
1953-10-01,0.36
1953-11-01,-0.44
1953-12-01,0.84
1954-01-01,-0.26
1954-02-01,-0.67
1954-03-01,0.66
1954-04-01,-0.53
1954-05-01,1.39
1954-06-01,-1.63
1954-07-01,-0.34
1954-08-01,1.89
1954-09-01,0.94
1954-10-01,-2.15
1954-11-01,-0.88
1954-12-01,-1.42
1955-01-01,0.4
1955-02-01,-0.66
1955-03-01,0.51
1955-04-01,1.18
1955-05-01,-0.26
1955-06-01,0.7
1955-07-01,1.72
1955-08-01,-1.19
1955-09-01,1.29
1955-10-01,1.2
1955-11-01,-1.13
1955-12-01,-1.28
1956-01-01,-2.87
1956-02-01,-1.65
1956-03-01,0.11
1956-04-01,0.73
1956-05-01,2.0
1956-06-01,-0.81
1956-07-01,0.58
1956-08-01,0.5
1956-09-01,-0.38
1956-10-01,1.65
1956-11-01,-1.3
1956-12-01,-2.76
1957-01-01,-0.47
1957-02-01,-1.96
1957-03-01,-1.42
1957-04-01,0.52
1957-05-01,0.46
1957-06-01,-2.0
1957-07-01,-0.73
1957-08-01,1.87
1957-09-01,-1.76
1957-10-01,1.13
1957-11-01,-0.49
1957-12-01,1.11
1958-01-01,0.26
1958-02-01,-1.33
1958-03-01,0.76
1958-04-01,0.89
1958-05-01,1.91
1958-06-01,1.51
1958-07-01,1.62
1958-08-01,-0.16
1958-09-01,-1.67
1958-10-01,1.16
1958-11-01,1.34
1958-12-01,-0.24
1959-01-01,-0.91
1959-02-01,0.74
1959-03-01,-0.51
1959-04-01,-0.05
1959-05-01,-0.64
1959-06-01,-1.05
1959-07-01,-0.72
1959-08-01,-1.67
1959-09-01,-1.58
1959-10-01,-1.99
1959-11-01,-1.31
1959-12-01,0.62
1960-01-01,-0.03
1960-02-01,0.54
1960-03-01,-1.48
1960-04-01,-0.21
1960-05-01,-0.1
1960-06-01,0.45
1960-07-01,0.02
1960-08-01,0.6
1960-09-01,0.4
1960-10-01,0.84
1960-11-01,-0.51
1960-12-01,0.08
1961-01-01,-0.61
1961-02-01,-1.26
1961-03-01,-0.16
1961-04-01,0.37
1961-05-01,1.44
1961-06-01,1.47
1961-07-01,2.13
1961-08-01,0.88
1961-09-01,1.09
1961-10-01,0.69
1961-11-01,0.14
1961-12-01,-2.92
1962-01-01,-1.92
1962-02-01,-0.13
1962-03-01,-0.3
1962-04-01,-1.18
1962-05-01,0.24
1962-06-01,2.0
1962-07-01,1.13
1962-08-01,1.6
1962-09-01,0.41
1962-10-01,0.62
1962-11-01,0.16
1962-12-01,-0.68
1963-01-01,-3.28
1963-02-01,-2.32
1963-03-01,-0.93
1963-04-01,0.96
1963-05-01,2.03
1963-06-01,2.72
1963-07-01,1.99
1963-08-01,0.96
1963-09-01,-0.12
1963-10-01,1.47
1963-11-01,-1.45
1963-12-01,0.02
1964-01-01,-0.16
1964-02-01,0.01
1964-03-01,-0.29
1964-04-01,1.99
1964-05-01,0.19
1964-06-01,-0.88
1964-07-01,1.86
1964-08-01,1.23
1964-09-01,0.46
1964-10-01,1.41
1964-11-01,-0.79
1964-12-01,-0.43
1965-01-01,-1.0
1965-02-01,-1.04
1965-03-01,-1.17
1965-04-01,0.49
1965-05-01,1.18
1965-06-01,1.19
1965-07-01,2.64
1965-08-01,1.62
1965-09-01,-1.29
1965-10-01,1.57
1965-11-01,1.56
1965-12-01,0.38
1966-01-01,0.42
1966-02-01,0.73
1966-03-01,-0.76
1966-04-01,0.08
1966-05-01,0.51
1966-06-01,-1.03
1966-07-01,2.82
1966-08-01,-0.34
1966-09-01,0.55
1966-10-01,-0.96
1966-11-01,0.95
1966-12-01,-1.34
1967-01-01,0.86
1967-02-01,-0.0
1967-03-01,0.02
1967-04-01,1.51
1967-05-01,-1.38
1967-06-01,-0.4
1967-07-01,0.31
1967-08-01,0.15
1967-09-01,0.01
1967-10-01,-0.8
1967-11-01,-0.59
1967-12-01,-0.56
1968-01-01,-2.08
1968-02-01,-3.18
1968-03-01,-0.04
1968-04-01,-0.91
1968-05-01,-0.93
1968-06-01,-1.19
1968-07-01,1.18
1968-08-01,0.64
1968-09-01,-0.72
1968-10-01,0.97
1968-11-01,-0.97
1968-12-01,0.64
1969-01-01,-0.71
1969-02-01,0.61
1969-03-01,0.56
