,station_id,station_name,station_name_kana,fuken_id,type,Latitude (degree),Latitude (minute),latitude,Longitude (degree),Longitude (minute),longitude,height,f_pre,f_wsd,f_tem,f_sun,f_snc,End_year,End_month,End_day,obs_ended,note1,note2,note3,note4,note5,amedas_id1,amedas_id2,station_name_roman
1,47401,稚内,ワツカナイ,11,S,45,24.9,45.415,141,40.7,141.678333333,2.8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,11016,11903,Watsukanai
2,0002,沓形,クツガタ,11,A,45,10.6,45.1766666667,141,8.3,141.138333333,14,Y,Y,Y,Y,N,9999,99,99,,,,,,,11151,,Kutsugata
3,0003,浜頓別,ハマトンベツ,11,A,45,7.5,45.125,142,21,142.35,18,Y,Y,Y,Y,N,9999,99,99,,,,,,,11206,,Hamatonbetsu
4,47402,北見枝幸,キタミエサシ,11,S,44,56.4,44.94,142,35.1,142.585,6.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,11291,11917,Kitamiesashi
5,0005,歌登,ウタノボリ,11,A,44,50.4,44.84,142,28.8,142.48,14,Y,Y,Y,Y,Y,9999,99,99,,,,,,,11316,11920,Utanobori
6,1051,中頓別,ナカトンベツ,11,A,44,57.9,44.965,142,16.8,142.28,25,Y,Y,Y,Y,Y,9999,99,99,,,,,,,11276,11915,Nakatonbetsu
7,1054,豊富,トヨトミ,11,A,45,6.4,45.1066666667,141,45.9,141.765,16,Y,Y,Y,Y,Y,9999,99,99,,,,,,,11176,11910,Toyotomi
8,1203,沼川,ヌマカワ,11,A,45,14.9,45.2483333333,141,51.1,141.851666667,23,Y,Y,Y,Y,Y,9999,99,99,,,,,,,11121,11905,Numakawa
9,1207,船泊,フナドマリ,11,A,45,26.2,45.4366666667,141,2.1,141.035,8,Y,Y,Y,Y,N,2003,10,16,2003-10-16 00:00:00,,,,,,,,Funadomari
10,1284,宗谷岬,ソウヤミサキ,11,A,45,31.2,45.52,141,56.1,141.935,26,Y,Y,Y,Y,N,9999,99,99,,,,,,,11001,,Souyamisaki
11,1285,浜鬼志別,ハマオニシベツ,11,A,45,20.1,45.335,142,10.2,142.17,13,Y,Y,Y,Y,Y,9999,99,99,,,,,,,11076,11900,Hamaonishibetsu
12,1512,本泊,モトドマリ,11,A,45,14.5,45.2416666667,141,11.2,141.186666667,30,Y,Y,Y,N,N,9999,99,99,,2001年7月18日までの地点名「利尻」,,,,,11091,,Motodomari
13,1528,声問,コエトイ,11,A,45,24.2,45.4033333333,141,48,141.8,8,Y,Y,Y,N,Y,9999,99,99,,,,,,,11061,11904,Koetoi
14,1546,礼文,レブン,11,A,45,18.3,45.305,141,2.7,141.045,65,Y,Y,Y,Y,N,9999,99,99,,,,,,,11046,,Rebun
15,1593,幌泊,ホロドマリ,11,A,45,27.3,45.455,141,2.3,141.038333333,27,Y,Y,Y,N,N,2009,4,8,2009-04-08 00:00:00,2001年7月18日までの地点名「礼文」,,,,,,,Horodomari
16,1573,幌延,ホロノベ,11,A,45,0.4,45.0066666667,141,51.1,141.851666667,5,Y,N,N,N,N,9999,99,99,,,,,,,13011,,Horonobe
17,0006,美深,ビフカ,12,A,44,28.8,44.48,142,20.5,142.341666667,77,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12141,12900,Bifuka
18,0007,ピヤシリ山,ピヤシリヤマ,12,A,44,26.1,44.435,142,34.9,142.581666667,980,Y,N,N,N,N,2005,9,26,2005-09-26 00:00:00,,,,,,,,Piyashiriyama
19,0008,名寄,ナヨロ,12,A,44,22.2,44.37,142,27.4,142.456666667,89,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12181,12910,Nayoro
20,0009,西風連,ニシフウレン,12,A,44,17.7,44.295,142,21.5,142.358333333,128,Y,N,N,N,N,9999,99,99,,2000年11月30日までの地点名「雨竜」,,,,,12217,,Nishifuuren
21,0010,下川,シモカワ,12,A,44,18.1,44.3016666667,142,37.4,142.623333333,140,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12231,12925,Shimokawa
22,0011,士別,シベツ,12,A,44,11.2,44.1866666667,142,25,142.416666667,135,Y,Y,Y,Y,N,9999,99,99,,,,,,,12261,,Shibetsu
23,0012,犬牛別峠,イヌウシベツトウゲ,12,A,44,4.2,44.07,142,16.2,142.27,410,Y,N,N,N,N,2005,9,14,2005-09-14 00:00:00,,,,,,,,Inuushibetsutouge
24,0013,雄鷹峰,オタカミネ,12,A,43,57.2,43.9533333333,142,19.2,142.32,305,Y,N,N,N,N,2004,6,30,2004-06-30 00:00:00,,,,,,,,Otakamine
25,0014,蓬莱山,ホウライザン,12,A,43,54.8,43.9133333333,142,35,142.583333333,320,Y,N,N,N,N,2004,6,30,2004-06-30 00:00:00,,,,,,,,Houraizan
26,0015,上川,カミカワ,12,A,43,50.8,43.8466666667,142,45.2,142.753333333,324,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12411,12920,Kamikawa
27,47407,旭川,アサヒカワ,12,S,43,45.4,43.7566666667,142,22.3,142.371666667,120,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12442,12927,Asahikawa
28,0017,瑞穂,ミズホ,12,A,43,44.2,43.7366666667,142,38.3,142.638333333,289,Y,N,N,N,N,9999,99,99,,,,,,,12457,,Mizuho
29,0018,終沢,オワリザワ,12,A,43,37.8,43.63,142,20.1,142.335,550,Y,N,N,N,N,2004,6,30,2004-06-30 00:00:00,,,,,,,,Owarizawa
30,0019,旭岳,アサヒダケ,12,A,43,39.7,43.6616666667,142,49.6,142.826666667,1620,Y,N,N,N,N,2004,6,30,2004-06-30 00:00:00,,,,,,,,Asahidake
31,0020,白金,シロガネ,12,A,43,28.5,43.475,142,38.9,142.648333333,650,Y,N,N,N,N,9999,99,99,,,,,,,12607,,Shirogane
32,0021,富良野,フラノ,12,A,43,20,43.3333333333,142,24,142.4,174,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12626,12940,Furano
33,0022,前富良野岳,マエフラノダケ,12,A,43,22.6,43.3766666667,142,34.1,142.568333333,746,Y,N,N,N,N,2005,9,27,2005-09-27 00:00:00,,,,,,,,Maefuranodake
