Height(m),Temp(C),RH(%),WindSpd(m/s),WindDir(deg),GeoPotHeight(m)
26.0,2.3,54.0,2.0,310.0,
,0.7,56.0,2.0,292.0,152.0
,-1.2,38.0,13.0,304.0,777.0
,-3.1,40.0,13.0,305.0,995.0
,-5.4,29.0,12.0,275.0,1445.0
,-8.2,25.0,12.0,242.0,1917.0
,-15.5,21.0,16.0,277.0,2939.0
,-20.4,4.0,29.0,280.0,4085.0
,-26.3,21.0,54.0,287.0,5419.0
,-37.1,11.0,61.0,280.0,6993.0
,-40.4,,67.0,276.0,7908.0
,-40.6,,77.0,269.0,8957.0
,-38.8,,108.0,270.0,10205.0
,-48.6,,107.0,267.0,11707.0
,-54.2,,102.0,271.0,12574.0
,-55.2,,79.0,268.0,13558.0
,-59.2,,71.0,271.0,14717.0
,-60.5,,61.0,275.0,16122.0
,-58.7,,25.0,280.0,18373.0
,-58.5,,27.0,251.0,20479.0
,-54.3,,12.0,229.0,21891.0
,-54.8,,8.0,207.0,23725.0
,-55.2,,7.0,196.0,26328.0
,-49.5,,5.0,197.0,28181.0
,-46.8,,4.0,233.0,30867.0
,,,,,
