GeoPotHeight(m),Temp(C),RH(%),Mark
26,2.3,54.0,SingularPoint
35,1.9,53.0,
219,0.3,56.0,SingularPoint
256,1.2,46.0,
269,2.3,40.0,SingularPoint
523,0.6,40.0,
1202,-4.4,37.0,
1518,-6.0,30.0,
1826,-8.5,32.0,
1928,-8.3,25.0,
2230,-10.0,17.0,SingularPoint
2311,-10.2,15.0,
2705,-13.7,17.0,
2921,-15.4,21.0,SingularPoint
3112,-16.8,25.0,
3327,-18.6,27.0,
3564,-20.5,24.0,
3614,-20.7,19.0,
3651,-20.1,10.0,SingularPoint
3840,-21.3,7.0,SingularPoint
4044,-21.0,5.0,
4121,-20.3,4.0,SingularPoint
4554,-22.1,6.0,
5263,-25.9,20.0,
5351,-26.2,19.0,
5442,-26.5,22.0,SingularPoint
5741,-29.1,36.0,
5789,-29.4,36.0,
5865,-29.4,23.0,SingularPoint
6288,-32.7,19.0,
6561,-34.9,15.0,
6810,-36.8,15.0,
7051,-37.5,11.0,SingularPoint
7245,-37.7,12.0,
7610,-40.0,12.0,SingularPoint
7869,-40.6,,圏界面
8009,-40.8,,
8309,-41.2,,
8396,-41.2,,
8466,-40.9,,
8564,-40.3,,
8640,-39.9,,
8811,-40.5,,SingularPoint
9075,-40.5,,
9675,-38.9,,
9892,-38.4,,SingularPoint
10084,-38.5,,
10808,-41.8,,SingularPoint
12084,-50.7,,
12794,-55.0,,SingularPoint
13442,-54.9,,
13747,-54.5,,
14053,-54.8,,SingularPoint
14408,-57.3,,
14824,-59.4,,圏界面
15035,-57.8,,
15164,-57.4,,
15254,-55.8,,
15417,-54.9,,SingularPoint
16122,-60.5,,圏界面
16159,-60.5,,
16475,-57.9,,
16641,-56.4,,SingularPoint
17429,-59.0,,
17585,-57.2,,
17836,-57.6,,
18096,-58.3,,
18581,-60.1,,
18870,-61.2,,
19036,-60.3,,SingularPoint
19126,-58.1,,SingularPoint
19620,-60.3,,SingularPoint
19844,-57.3,,SingularPoint
20330,-57.9,,
20518,-58.3,,
21225,-57.8,,SingularPoint
21460,-54.3,,SingularPoint
21782,-55.0,,
22307,-54.5,,
22821,-54.1,,
23564,-56.6,,
23838,-55.1,,
24327,-56.1,,SingularPoint
24614,-53.7,,
24943,-52.5,,SingularPoint
25373,-54.0,,
25890,-54.3,,
26198,-54.1,,
26756,-54.9,,SingularPoint
27370,-51.1,,SingularPoint
27969,-52.3,,SingularPoint
28225,-49.7,,
28775,-47.4,,
29489,-46.1,,SingularPoint
30933,-45.9,,SingularPoint
31651,-42.6,,
31962,-38.6,,SingularPoint
32547,-39.3,,SingularPoint
33499,-34.2,,
34494,-32.6,,
34855,-31.3,,SingularPoint
