GeoPotHeight(m),WindSpd(m/s),WindDir(deg),Mark
26,2.0,310,SingularPoint
35,1.0,320,SingularPoint
256,6.0,281,SingularPoint
641,11.0,298,
1025,13.0,305,SingularPoint
1392,12.0,280,
1755,11.0,252,SingularPoint
2130,14.0,252,
2495,15.0,264,
2879,16.0,275,
3224,17.0,279,
3594,22.0,276,SingularPoint
3947,23.0,275,SingularPoint
4208,32.0,281,
4606,40.0,287,SingularPoint
5012,45.0,287,
5419,54.0,287,SingularPoint
5741,55.0,288,
6114,56.0,285,
6489,57.0,283,
6891,60.0,281,SingularPoint
7306,65.0,278,
7700,67.0,278,
8067,68.0,278,
8466,71.0,276,
8759,72.0,272,SingularPoint
9165,82.0,271,
9548,86.0,272,
9922,97.0,271,SingularPoint
10277,109.0,270,極大風速面
10610,109.0,267,
10972,109.0,265,
11339,107.0,264,
11707,107.0,267,
12077,109.0,268,SingularPoint
12462,103.0,270,
12772,97.0,270,
13084,88.0,268,
13418,83.0,269,
13784,75.0,264,SingularPoint
14156,76.0,266,
14504,75.0,271,SingularPoint
14851,67.0,270,
15202,64.0,267,SingularPoint
15530,62.0,271,
15874,62.0,273,SingularPoint
16151,60.0,275,SingularPoint
16589,40.0,279,SingularPoint
16827,36.0,272,
17238,35.0,274,
17624,34.0,266,
18003,34.0,273,SingularPoint
18426,24.0,280,
18737,21.0,273,SingularPoint
18958,24.0,272,SingularPoint
19364,17.0,249,SingularPoint
19611,21.0,246,
19777,25.0,253,SingularPoint
20147,25.0,256,
20518,28.0,253,SingularPoint
20907,25.0,282,SingularPoint
21258,16.0,265,SingularPoint
21475,10.0,225,SingularPoint
21944,12.0,228,
22236,12.0,245,SingularPoint
22495,10.0,276,SingularPoint
22840,5.0,250,SingularPoint
23141,7.0,220,SingularPoint
23582,6.0,213,
23921,8.0,217,SingularPoint
24351,9.0,246,
24688,15.0,256,SingularPoint
25128,8.0,291,
25373,7.0,309,
25715,5.0,347,SingularPoint
25831,3.0,36,SingularPoint
26014,4.0,150,SingularPoint
26198,6.0,188,
26454,8.0,221,SingularPoint
26823,9.0,273,SingularPoint
27147,4.0,305,SingularPoint
27407,4.0,359,SingularPoint
27444,3.0,4,SingularPoint
27683,3.0,152,SingularPoint
27846,3.0,194,
27969,4.0,235,SingularPoint
28096,4.0,220,
28270,7.0,188,SingularPoint
28728,6.0,192,SingularPoint
29072,5.0,161,
29333,2.0,142,SingularPoint
29603,4.0,45,SingularPoint
29825,5.0,54,SingularPoint
30296,1.0,183,SingularPoint
30804,3.0,229,SingularPoint
31002,4.0,261,SingularPoint
31211,3.0,352,SingularPoint
31282,3.0,25,SingularPoint
31500,4.0,77,SingularPoint
31879,6.0,58,SingularPoint
32123,7.0,70,
32376,12.0,69,SingularPoint
32913,12.0,106,SingularPoint
33397,13.0,115,
33705,17.0,113,
34258,19.0,114,
34494,18.0,108,SingularPoint
34738,16.0,107,SingularPoint
34855,20.0,115,SingularPoint
