,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day830-17_x,xxx
2000-05-31,1007.0,1010.6,,,,17.6,23.3,12.0,62,32,-999.0,-999.0,,9.2,202.5,9.9,,,,
2000-06-01,1007.5,1011.1,,,,16.5,20.9,10.9,79,56,2.8,5.6,90.0,11.2,135.0,8.3,,,,
2000-06-02,1004.7,1008.3,3.0,2.5,1.0,16.6,23.8,11.6,75,40,2.6,6.1,67.5,13.6,45.0,7.0,,,,
2000-06-03,1008.1,1011.8,0.0,0.0,0.0,14.9,22.9,10.0,66,27,2.1,5.2,90.0,10.3,67.5,8.3,,,,
2000-06-04,1014.1,1017.7,,,,14.1,20.9,6.8,64,35,2.7,6.1,90.0,10.9,112.5,12.9,,,,
2000-06-05,1017.2,1020.9,0.0,0.0,0.0,13.4,16.3,11.3,72,62,2.4,4.0,90.0,7.8,90.0,0.1,,,,
2000-06-06,1015.2,1018.8,,,,18.3,24.5,11.8,70,51,3.1,5.9,202.5,11.9,157.5,6.5,,,,
2000-06-07,1011.9,1015.5,1.0,1.0,0.5,19.5,24.3,15.5,66,46,3.2,6.1,202.5,10.4,225.0,7.3,,,,
2000-06-08,1010.3,1013.9,,,,17.4,26.1,12.5,68,34,2.9,6.4,67.5,13.1,112.5,11.4,,,,
2000-06-09,1013.6,1017.2,,,,13.9,18.0,10.8,74,59,3.2,5.1,90.0,9.7,112.5,10.2,,,,
2000-06-10,1009.5,1013.1,0.5,0.5,0.5,14.0,18.3,10.2,83,66,2.4,3.7,90.0,7.4,67.5,0.1,,,,
2000-06-11,1005.8,1009.4,1.0,1.0,1.0,17.3,22.8,14.0,84,58,2.3,5.0,90.0,9.3,67.5,2.6,,,,
2000-06-12,1007.5,1011.1,96.0,37.0,11.5,17.7,21.0,15.6,89,71,1.9,3.9,0.0,7.5,135.0,,,,,
2000-06-13,1005.9,1009.5,18.5,8.5,3.5,17.5,22.9,14.0,84,63,2.3,5.0,0.0,9.5,45.0,2.2,,,,
2000-06-14,1005.8,1009.4,33.5,15.5,4.0,16.9,23.0,12.3,81,55,1.9,4.3,0.0,9.1,135.0,4.5,,,,
2000-06-15,1005.5,1009.1,0.0,0.0,0.0,17.3,24.1,13.8,73,37,2.2,4.8,90.0,8.7,135.0,8.8,,,,
2000-06-16,1006.7,1010.3,1.0,0.5,0.5,15.7,19.1,14.0,79,67,3.1,4.8,135.0,8.7,157.5,2.0,,,,
2000-06-17,1005.8,1009.4,16.0,11.0,2.5,15.6,20.5,11.6,81,60,3.0,6.6,45.0,14.3,22.5,3.9,,,,
2000-06-18,1010.6,1014.2,,,,15.9,19.6,10.2,75,56,2.6,4.4,90.0,10.8,22.5,1.3,,,,
2000-06-19,1009.1,1012.7,15.0,4.0,1.5,15.4,18.3,14.1,87,74,2.2,3.4,45.0,6.4,45.0,,,,,
2000-06-20,1008.8,1012.4,4.5,1.5,1.0,15.3,20.4,12.4,87,66,1.7,4.6,112.5,9.2,90.0,1.7,,,,
2000-06-21,1011.6,1015.2,,,,18.1,24.9,9.7,74,46,2.1,4.7,180.0,8.7,202.5,7.9,,,,
2000-06-22,1007.5,1011.1,0.0,0.0,0.0,21.1,27.4,14.3,74,45,1.9,4.7,90.0,8.8,90.0,9.0,,,,
2000-06-23,1005.0,1008.6,0.5,0.5,0.5,19.7,25.3,13.9,76,52,2.4,6.1,67.5,15.4,67.5,8.7,,,,
2000-06-24,1011.1,1014.7,,,,17.0,22.3,13.2,75,52,2.9,4.6,90.0,8.9,67.5,9.9,,,,
2000-06-25,1011.5,1015.1,,,,20.5,27.9,12.0,68,41,2.7,5.7,202.5,9.6,225.0,11.3,,,,
2000-06-26,1007.4,1011.0,3.0,2.0,1.0,21.8,26.1,17.1,73,55,4.4,7.7,202.5,15.5,202.5,3.6,,,,
2000-06-27,994.8,998.3,12.5,6.0,2.5,21.9,27.3,18.4,81,69,3.0,6.5,180.0,12.3,157.5,3.9,,,,
2000-06-28,1002.2,1005.7,,,,22.5,28.4,16.2,61,29,2.5,5.5,315.0,13.3,292.5,10.6,,,,
2000-06-29,1007.0,1010.5,,,,22.5,30.1,14.5,63,22,2.4,4.7,202.5,9.9,225.0,12.4,,,,
2000-06-30,1003.1,1006.7,11.5,4.5,1.5,20.1,24.3,16.8,79,56,2.5,5.0,180.0,9.0,180.0,0.6,,,,
