,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day6-18_x,WeaCon-night18-n6_x
1996-04-30,999.9,1004.2,11.0,3.0,1.0,10.8,14.8,5.0,74,56,4.1,7.6,45.0,12.9,45.0,,,,,
1996-05-01,1000.9,1005.3,0.5,0.5,0.5,6.7,7.9,4.9,63,47,2.6,5.9,337.5,10.8,0.0,,,,,
1996-05-02,1005.1,1009.5,,,,8.1,11.5,4.6,32,18,2.7,4.8,337.5,8.7,292.5,8.7,,,,
1996-05-03,1009.3,1013.7,,,,9.1,13.2,4.6,35,16,3.2,6.9,22.5,10.8,0.0,10.0,,,,
1996-05-04,1011.2,1015.5,0.0,0.0,0.0,9.7,14.2,5.0,39,14,3.2,6.0,0.0,12.3,315.0,9.0,,,,
1996-05-05,1013.4,1017.7,,,,12.8,17.6,6.0,36,21,2.7,5.8,202.5,11.2,180.0,11.0,,,,
1996-05-06,1007.7,1012.0,,,,13.3,16.1,11.2,53,32,2.6,4.7,67.5,7.3,67.5,2.9,,,,
1996-05-07,1006.7,1011.0,9.0,4.0,1.5,11.9,17.1,8.2,71,39,2.8,7.2,45.0,11.9,45.0,3.7,,,,
1996-05-08,1009.8,1014.1,0.0,0.0,0.0,11.9,15.6,8.3,61,35,2.6,5.6,225.0,11.9,225.0,6.9,,,,
1996-05-09,1009.5,1013.9,0.0,0.0,0.0,11.3,15.5,7.8,53,23,4.1,6.2,67.5,9.8,67.5,5.2,,,,
1996-05-10,1008.7,1013.1,12.5,9.0,2.5,8.2,12.0,5.3,66,44,3.6,7.9,0.0,16.1,22.5,3.0,,,,
1996-05-11,1012.3,1016.7,0.0,0.0,0.0,7.4,11.8,4.4,42,21,6.1,13.1,337.5,23.4,315.0,12.0,,,,
1996-05-12,1020.3,1024.7,,,,8.7,13.4,3.7,35,19,4.1,7.7,315.0,14.7,315.0,9.6,,,,
1996-05-13,1018.3,1022.7,,,,12.2,17.0,5.3,36,17,3.4,7.2,180.0,14.5,180.0,11.5,,,,
1996-05-14,1011.7,1016.0,0.0,0.0,0.0,13.1,17.2,9.5,55,36,2.8,6.6,180.0,11.9,202.5,5.5,,,,
1996-05-15,998.9,1003.2,50.0,9.5,2.0,11.5,13.5,9.2,88,68,4.0,8.3,0.0,14.9,337.5,,,,,
1996-05-16,1003.4,1007.7,,,,15.0,20.3,8.6,61,24,2.8,6.6,180.0,10.8,180.0,10.3,,,,
1996-05-17,1001.7,1005.9,19.0,11.5,5.0,13.2,18.2,9.3,77,32,3.2,6.4,67.5,10.2,45.0,4.2,,,,
1996-05-18,1007.2,1011.5,0.5,0.5,0.5,12.6,15.1,9.9,45,23,3.2,5.2,180.0,10.5,315.0,0.1,,,,
1996-05-19,1005.6,1010.0,8.5,2.0,0.5,8.9,11.1,6.5,80,42,4.3,7.6,0.0,13.3,337.5,0.1,,,,
1996-05-20,1013.2,1017.6,0.0,0.0,0.0,10.4,14.9,6.9,42,23,4.1,6.8,337.5,13.2,0.0,7.2,,,,
1996-05-21,1018.9,1023.2,0.0,0.0,0.0,10.5,13.6,7.6,52,41,3.0,5.9,67.5,9.2,45.0,4.1,,,,
1996-05-22,1019.4,1023.8,,,,13.7,18.7,7.5,60,39,,-999.0,,-999.0,,12.3,,,,
1996-05-23,1017.4,1021.7,,,,16.5,22.4,10.9,56,28,2.6,5.1,225.0,11.1,247.5,11.8,,,,
1996-05-24,1015.0,1019.2,,,,17.9,24.8,12.0,54,16,2.4,5.3,90.0,9.2,135.0,11.8,,,,
1996-05-25,1011.9,1016.2,,,,18.2,24.0,13.2,57,22,2.6,4.6,135.0,10.3,202.5,9.8,,,,
1996-05-26,1007.1,1011.2,0.0,0.0,0.0,19.6,24.7,15.4,55,22,2.3,6.2,112.5,10.4,112.5,8.5,,,,
1996-05-27,1008.3,1012.5,0.0,0.0,0.0,19.2,24.6,14.4,49,21,3.6,6.7,45.0,12.7,247.5,11.2,,,,
1996-05-28,1008.8,1013.0,,,,20.1,26.2,14.2,56,33,3.0,6.3,180.0,11.9,247.5,11.4,,,,
1996-05-29,1010.4,1014.6,,,,19.7,23.0,16.7,68,48,3.3,6.9,180.0,13.0,180.0,3.0,,,,
