,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,snowfall_cm,snowdepth_cm
2020-12-01 01:00:00,0.0,-1.7,,,,7.2,292.5,,,
2020-12-01 02:00:00,0.0,-2.2,,,,5.8,292.5,,,
2020-12-01 03:00:00,0.0,-2.0,,,,5.4,292.5,,,
2020-12-01 04:00:00,0.0,-2.5,,,,6.9,292.5,,,
2020-12-01 05:00:00,0.0,-2.7,,,,4.3,315.0,,,
2020-12-01 06:00:00,0.0,-2.6,,,,4.1,292.5,,,
2020-12-01 07:00:00,0.0,-2.4,,,,2.7,315.0,0.0,,
2020-12-01 08:00:00,0.0,-2.2,,,,5.2,292.5,0.0,,
2020-12-01 09:00:00,0.0,-2.3,,,,4.3,315.0,0.0,,
2020-12-01 10:00:00,0.0,-3.1,,,,2.7,0.0,0.0,,
2020-12-01 11:00:00,0.0,-2.7,,,,5.3,292.5,0.0,,
2020-12-01 12:00:00,0.0,-2.1,,,,2.8,315.0,0.0,,
2020-12-01 13:00:00,0.0,-1.9,,,,4.9,292.5,0.0,,
2020-12-01 14:00:00,0.0,-2.1,,,,4.5,292.5,0.0,,
2020-12-01 15:00:00,0.0,-2.2,,,,4.8,292.5,0.0,,
2020-12-01 16:00:00,0.0,-2.3,,,,3.7,315.0,0.0,,
2020-12-01 17:00:00,0.0,-2.7,,,,5.3,292.5,,,
2020-12-01 18:00:00,0.0,-3.3,,,,6.6,292.5,,,
2020-12-01 19:00:00,0.0,-2.9,,,,6.0,292.5,,,
2020-12-01 20:00:00,0.0,-2.6,,,,5.1,292.5,,,
2020-12-01 21:00:00,0.0,-3.4,,,,4.1,270.0,,,
2020-12-01 22:00:00,0.0,-2.7,,,,5.1,292.5,,,
2020-12-01 23:00:00,0.0,-2.7,,,,4.3,270.0,,,
2020-12-02 00:00:00,0.0,-2.7,,,,6.6,292.5,,,
