,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2005-03-26 01:00:00,1008.5,1012.4,,-1.3,-6.2,3.9,69,1.8,247.5,,,,,,,
2005-03-26 02:00:00,1008.5,1012.4,,-1.7,-6.1,3.9,72,1.6,270.0,,,,,,,
2005-03-26 03:00:00,1008.4,1012.3,,-1.6,-6.0,3.9,72,1.5,270.0,,,,,,,
2005-03-26 04:00:00,1008.9,1012.8,,-2.5,-5.8,4.0,78,1.2,270.0,,,,,,,
2005-03-26 05:00:00,1009.4,1013.3,,-2.6,-5.4,4.1,81,1.5,247.5,,,,,,,
2005-03-26 06:00:00,1010.3,1014.2,,-1.2,-4.9,4.3,76,2.0,270.0,,0.01,,,,,
2005-03-26 07:00:00,1010.9,1014.7,,2.4,-4.1,4.5,62,1.5,337.5,0.8,0.45,,,,,
2005-03-26 08:00:00,1011.1,1014.9,,5.7,-3.9,4.6,50,2.0,337.5,1.0,1.2,,,,,
2005-03-26 09:00:00,1011.5,1015.2,,7.6,-5.1,4.2,40,2.6,292.5,1.0,1.97,,,,0.0,30.0
2005-03-26 10:00:00,1011.5,1015.2,,9.3,-5.0,4.2,36,2.2,292.5,1.0,2.56,,,,,
2005-03-26 11:00:00,1011.2,1014.9,,10.9,-5.1,4.2,32,4.5,292.5,1.0,2.92,,,,,
2005-03-26 12:00:00,1011.2,1014.9,,12.2,-5.3,4.1,29,7.0,270.0,1.0,3.13,,,,,
2005-03-26 13:00:00,1011.1,1014.8,,12.4,-5.6,4.0,28,5.9,292.5,0.9,2.9,,,,,
2005-03-26 14:00:00,1011.1,1014.8,,12.0,-7.4,3.5,25,6.0,315.0,0.9,2.68,,,,,
2005-03-26 15:00:00,1011.1,1014.8,,13.0,-4.6,4.3,29,3.9,337.5,1.0,2.28,,,,0.0,40.0
2005-03-26 16:00:00,1011.6,1015.3,,11.8,-6.1,3.9,28,4.2,292.5,1.0,1.58,,,,,
2005-03-26 17:00:00,1012.3,1016.0,,10.9,-7.4,3.5,27,5.4,337.5,1.0,0.82,,,,,
2005-03-26 18:00:00,1013.6,1017.3,,9.0,-7.2,3.6,31,1.8,315.0,0.6,0.16,,,,,
2005-03-26 19:00:00,1014.5,1018.3,,7.7,-8.4,3.3,31,2.6,0.0,,0.0,,,,,
2005-03-26 20:00:00,1015.4,1019.2,,6.6,-7.8,3.4,35,2.4,0.0,,,,,,,
2005-03-26 21:00:00,1015.9,1019.7,,5.2,-8.0,3.4,38,2.3,0.0,,,,,,,
2005-03-26 22:00:00,1016.2,1020.0,,3.2,-6.7,3.7,48,1.5,315.0,,,,,,,
2005-03-26 23:00:00,1016.2,1020.0,,2.2,-6.6,3.7,52,1.6,157.5,,,,,,,
2005-03-27 00:00:00,1016.5,1020.4,,0.1,-5.5,4.1,66,1.6,225.0,,,,,,,
