Height(m),Temp(C),RH(%),WindSpd(m/s),WindDir(deg),GeoPotHeight(m)
26.0,12.5,93.0,1.3,60.0,
,17.4,66.0,5.0,90.0,192.0
,13.5,63.0,10.0,72.0,854.0
,12.5,49.0,8.0,62.0,1086.0
,8.7,40.0,6.0,32.0,1562.0
,5.5,34.0,2.0,295.0,2061.0
,-1.2,21.0,6.0,235.0,3138.0
,-8.6,36.0,9.0,261.0,4354.0
,-20.0,80.0,8.0,260.0,5736.0
,-30.4,8.0,19.0,251.0,7357.0
,-36.1,10.0,24.0,257.0,8293.0
,-42.4,,27.0,261.0,9346.0
,-46.1,,35.0,253.0,10566.0
,-48.9,,42.0,253.0,12039.0
,-52.4,,40.0,268.0,12904.0
,-53.7,,34.0,261.0,13899.0
,-58.3,,35.0,264.0,15058.0
,-63.5,,27.0,266.0,16450.0
,-63.4,,18.0,255.0,18632.0
,-58.8,,15.0,262.0,20731.0
,-56.2,,13.0,248.0,22139.0
,-54.5,,5.0,351.0,23989.0
,-52.4,,4.0,10.0,26584.0
,-51.1,,8.0,114.0,28459.0
,-48.7,,7.0,129.0,31098.0
,,,,,
