GeoPotHeight(m),Temp(C),RH(%),Mark
26,8.4,74.0,SingularPoint
34,8.9,69.0,SingularPoint
80,11.9,53.0,SingularPoint
257,12.2,50.0,SingularPoint
405,12.0,45.0,
518,12.1,38.0,
705,10.9,31.0,SingularPoint
1431,4.6,34.0,
2007,0.3,35.0,SingularPoint
2283,-2.0,37.0,
2646,-5.0,38.0,
2727,-5.3,37.0,
2810,-5.2,35.0,SingularPoint
3218,-7.6,35.0,
3275,-7.6,46.0,
3538,-9.4,42.0,
3618,-9.6,45.0,SingularPoint
3792,-9.3,29.0,
3945,-9.7,27.0,
4054,-9.6,24.0,
4399,-10.2,14.0,SingularPoint
4668,-12.0,15.0,SingularPoint
6069,-22.6,12.0,
6385,-25.5,13.0,SingularPoint
7293,-32.8,13.0,
7847,-37.7,15.0,
8120,-40.0,14.0,SingularPoint
8428,-42.5,,SingularPoint
9301,-50.0,,
10421,-58.2,,圏界面
10627,-58.4,,
10988,-58.2,,
11065,-56.3,,SingularPoint
11126,-53.2,,
11183,-52.2,,
11253,-49.5,,SingularPoint
11569,-50.7,,
11748,-50.3,,
11959,-50.3,,
12161,-50.5,,
12363,-50.1,,
12646,-50.7,,
13001,-50.6,,
13398,-51.0,,
13848,-51.4,,
14433,-53.3,,SingularPoint
15033,-56.7,,
15486,-58.0,,
15782,-58.7,,圏界面
15955,-58.5,,
16260,-58.2,,
16459,-58.6,,
16812,-59.8,,
16968,-58.9,,
17140,-58.3,,
17341,-59.0,,
17523,-59.4,,
18561,-61.2,,
19121,-60.3,,
19364,-60.5,,
19532,-59.7,,SingularPoint
19647,-57.9,,
20480,-60.7,,
20757,-59.3,,
20917,-59.5,,
21106,-58.3,,SingularPoint
21273,-56.9,,
21519,-56.5,,
21949,-56.8,,
22419,-58.4,,SingularPoint
22631,-55.1,,SingularPoint
22977,-55.8,,
23341,-55.7,,
23900,-54.2,,
24259,-55.1,,
24637,-54.3,,
25145,-54.7,,
25815,-54.9,,
27680,-53.0,,SingularPoint
27964,-51.3,,
28673,-48.6,,
29634,-48.1,,
30129,-47.1,,SingularPoint
