GeoPotHeight(m),WindSpd(m/s),WindDir(deg),Mark
26,2.5,320,SingularPoint
28,1.0,10,SingularPoint
133,4.0,311,SingularPoint
566,7.0,332,SingularPoint
1015,14.0,311,
1393,18.0,294,SingularPoint
1768,17.0,278,
2119,16.0,265,SingularPoint
2456,15.0,267,
2802,18.0,278,
3130,18.0,280,
3442,21.0,279,
3746,22.0,285,
4067,24.0,284,SingularPoint
4417,25.0,279,
4766,25.0,278,
5088,24.0,278,
5420,26.0,276,
5710,25.0,272,
6045,25.0,273,
6383,25.0,278,
6722,27.0,275,SingularPoint
7065,32.0,277,
7423,33.0,278,
7772,35.0,275,
8116,41.0,274,SingularPoint
8464,46.0,277,
8822,49.0,279,
9181,49.0,278,SingularPoint
9570,50.0,278,
9956,49.0,280,
10328,48.0,277,
10675,46.0,277,SingularPoint
11017,50.0,273,
11380,50.0,272,SingularPoint
11731,47.0,274,
12126,46.0,268,SingularPoint
12536,49.0,267,
12921,47.0,267,
13311,46.0,262,SingularPoint
13684,50.0,257,
13991,51.0,261,極大風速面
14293,51.0,261,
14598,46.0,262,
14894,46.0,259,
15186,46.0,259,
15479,46.0,263,
15774,45.0,266,
16122,41.0,273,SingularPoint
16495,29.0,276,SingularPoint
16779,25.0,260,SingularPoint
17098,30.0,254,
17427,32.0,255,SingularPoint
17729,31.0,270,SingularPoint
18084,20.0,275,SingularPoint
18460,13.0,256,SingularPoint
18824,13.0,246,
19193,18.0,234,SingularPoint
19567,23.0,243,
19883,26.0,257,SingularPoint
20159,28.0,249,
20440,25.0,251,
20735,23.0,259,SingularPoint
21068,21.0,272,
21435,16.0,270,SingularPoint
21783,15.0,258,SingularPoint
22153,8.0,274,SingularPoint
22540,5.0,263,SingularPoint
22899,6.0,224,SingularPoint
23282,2.0,238,SingularPoint
23692,9.0,244,SingularPoint
24036,8.0,263,
24218,4.0,258,SingularPoint
24404,4.0,206,SingularPoint
24718,4.0,228,
24868,1.0,247,SingularPoint
25024,3.0,105,SingularPoint
25397,3.0,122,
25796,7.0,139,SingularPoint
26191,3.0,198,SingularPoint
26515,3.0,226,
26714,3.0,249,SingularPoint
27029,3.0,240,SingularPoint
27178,2.0,262,SingularPoint
27443,3.0,23,SingularPoint
27799,4.0,40,
28220,3.0,49,SingularPoint
28348,3.0,37,SingularPoint
28579,3.0,316,SingularPoint
28813,5.0,332,SingularPoint
29260,4.0,34,SingularPoint
29466,3.0,94,SingularPoint
29740,3.0,117,SingularPoint
30085,5.0,62,SingularPoint
30447,7.0,65,SingularPoint
30894,5.0,122,
31240,4.0,151,SingularPoint
31599,5.0,181,
31985,5.0,198,SingularPoint
32311,8.0,206,SingularPoint
32654,5.0,242,SingularPoint
33114,6.0,239,SingularPoint
33405,5.0,254,SingularPoint
33610,4.0,319,SingularPoint
33714,4.0,327,SingularPoint
34038,5.0,262,SingularPoint
34491,5.0,251,SingularPoint
