,station_name,station_name_kana,station_name_roman,fuken_id,type,longitude,latitude,height
47401,稚内,ワツカナイ,Watsukanai,11,S,141.678333333,45.415,2.8
47402,北見枝幸,キタミエサシ,Kitamiesashi,11,S,142.585,44.94,6.7
47407,旭川,アサヒカワ,Asahikawa,12,S,142.371666667,43.7566666667,120.0
47404,羽幌,ハボロ,Haboro,13,S,141.7,44.3633333333,7.9
47406,留萌,ルモイ,Rumoi,13,S,141.631666667,43.945,23.6
47412,札幌,サツポロ,Satsuporo,14,S,141.328333333,43.06,17.2
47413,岩見沢,イワミザワ,Iwamizawa,15,S,141.785,43.2116666667,42.3
47411,小樽,オタル,Otaru,16,S,141.016666667,43.1816666667,24.9
47433,倶知安,クツチヤン,Kutsuchiyan,16,S,140.756666667,42.9,176.1
47421,寿都,スツツ,Sutsutsu,16,S,140.223333333,42.795,33.4
47405,雄武,オウム,Oumu,17,S,142.963333333,44.58,13.8
47435,紋別,モンベツ,Monbetsu,17,S,143.355,44.345,15.8
47409,網走,アバシリ,Abashiri,17,S,144.278333333,44.0166666667,37.6
47420,根室,ネムロ,Nemuro,18,S,145.585,43.33,25.2
47418,釧路,クシロ,Kushiro,19,S,144.376666667,42.985,4.5
47417,帯広,オビヒロ,Obihiro,20,S,143.211666667,42.9216666667,38.4
47440,広尾,ヒロオ,Hiroo,20,S,143.315,42.2933333333,32.4
47424,苫小牧,トマコマイ,Tomakomai,21,S,141.546666667,42.6233333333,6.3
47423,室蘭,ムロラン,Muroran,21,S,140.975,42.3116666667,39.9
47426,浦河,ウラカワ,Urakawa,22,S,142.776666667,42.1616666667,36.7
47430,函館,ハコダテ,Hakodate,23,S,140.753333333,41.8166666667,35.0
47428,江差,エサシ,Esashi,24,S,140.123333333,41.8666666667,3.7
47576,むつ,ムツ,Mutsu,31,S,141.21,41.2833333333,2.9
47575,青森,アオモリ,Aomori,31,S,140.768333333,40.8216666667,2.8
47574,深浦,フカウラ,Fukaura,31,S,139.931666667,40.645,66.1
47581,八戸,ハチノヘ,Hachinohe,31,S,141.521666667,40.5266666667,27.1
47582,秋田,アキタ,Akita,32,S,140.098333333,39.7166666667,6.3
47584,盛岡,モリオカ,Morioka,33,S,141.165,39.6983333333,155.2
47585,宮古,ミヤコ,Miyako,33,S,141.965,39.6466666667,42.5
47512,大船渡,オオフナト,Oofunato,33,S,141.713333333,39.0633333333,36.9
47592,石巻,イシノマキ,Ishinomaki,34,S,141.298333333,38.4266666667,42.5
47590,仙台,センダイ,Sendai,34,S,140.896666667,38.2616666667,38.9
