region,country,place,latitude,longitude,altitude,koppen
Region-1,Algeria,Adrar,27.856666666666666,-0.245,279.230000,BWh
Region-1,Algeria,AinSefra,32.76166666666666,-0.6466666666666667,1076.000000,BWk
Region-1,Algeria,AlgerDarElBeida,36.72333333333333,3.216666666666667,25.000000,Csa
Region-1,Algeria,Annaba,36.85,7.815,3.000000,Csa
Region-1,Algeria,BBArreridj,36.07166666666667,4.85,955.000000,BSk
Region-1,Algeria,BBMokhtar,21.423333333333336,1.0083333333333333,395.000000,BWh
Region-1,Algeria,Bechar,31.674999999999997,-2.263333333333333,808.640000,BWh
Region-1,Algeria,BeniSaf,35.306666666666665,-1.455,68.000000,BSh
Region-1,Algeria,Biskra,34.85166666666667,5.801666666666667,82.000000,BWh
Region-1,Algeria,Constantine,36.333333333333336,6.686666666666667,685.200000,Csa
Region-1,Algeria,Djanet,24.313333333333336,9.473333333333333,968.000000,BWh
Region-1,Algeria,Djelfa,34.67166666666667,3.355,1180.000000,BSk
Region-1,Algeria,ElBayadh,33.735,1.1516666666666666,1361.000000,BSk
Region-1,Algeria,ElGolea,30.601666666666667,2.875,397.000000,BWh
Region-1,Algeria,ElOued,33.53666666666667,6.8133333333333335,63.000000,BWh
Region-1,Algeria,Ghardaia,32.401666666666664,3.785,466.000000,BWh
Region-1,Algeria,HassiMessaoud,31.701666666666664,6.181666666666667,140.000000,BWh
Region-1,Algeria,Illizi,26.731666666666666,8.620000000000001,542.000000,BWh
Region-1,Algeria,InAmenas,28.068333333333335,9.671666666666669,560.000000,BWh
Region-1,Algeria,InSalah,27.27166666666667,2.57,268.000000,BWh
Region-1,Algeria,JijelAeroport,36.85166666666667,5.930000000000001,8.000000,Csa
Region-1,Algeria,Mecheria,33.608333333333334,-0.245,1123.200000,BWk
Region-1,Algeria,Medea,36.35333333333333,2.806666666666666,1030.000000,Csa
Region-1,Algeria,Miliana,36.334999999999994,2.286666666666666,714.960000,Csa
Region-1,Algeria,Mostaganem,35.97,0.1616666666666666,137.000000,Csa
Region-1,Algeria,Naama,33.31666666666667,-0.3216666666666666,1166.000000,BWk
Region-1,Algeria,OranSennia,35.70333333333333,-0.6233333333333333,90.000000,BSh
Region-1,Algeria,Ouargla,31.951666666666668,5.470000000000001,143.650000,BWh
Region-1,Algeria,Saida,34.935,0.1966666666666666,750.000000,BSk
Region-1,Algeria,SidiBelAbbes,35.21,-0.655,482.000000,BSk
Region-1,Algeria,SoukAhras,36.36833333333333,7.953333333333334,860.000000,Csa
Region-1,Algeria,Tamanrasset,22.868333333333332,5.465,1372.000000,BWh
Region-1,Algeria,Tiaret,35.406666666666666,1.475,977.000000,BSk
Region-1,Algeria,Timimoun,29.298333333333336,0.2866666666666667,312.000000,BWh
